state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
AK,1598737787750,AK DOC - ANCHORAGE CORRECTIONAL COMPLEX/EAST (ANCHORAGE JAIL),AdvancedConnect,true,9074653500,0.000,0.210,0.210,0.210,false,null,0.000
AK,1598737787750,AK DOC - ANCHORAGE CORRECTIONAL COMPLEX/EAST (ANCHORAGE JAIL),AdvancedConnect,false,5184748390,0.000,0.210,0.210,0.210,false,null,0.000
AK,1598737787750,AK DOC - ANCHORAGE CORRECTIONAL COMPLEX/EAST (ANCHORAGE JAIL),Direct Bill,true,9074653500,0.000,0.250,0.250,0.250,false,null,0.000
AK,1598737787750,AK DOC - ANCHORAGE CORRECTIONAL COMPLEX/EAST (ANCHORAGE JAIL),Direct Bill,false,5184748390,0.000,0.250,0.250,0.250,false,null,0.000
AL,1598732932682,AL DOC - ALEXANDER CITY COMMUNITY WORK CENTER/RELEASE,AdvancedConnect,true,3342427100,0.000,0.050,0.050,0.050,false,null,0.000
AL,1598732932682,AL DOC - ALEXANDER CITY COMMUNITY WORK CENTER/RELEASE,AdvancedConnect,false,3609024111,0.000,0.050,0.050,0.050,false,null,0.000
AL,1598732932682,AL DOC - ALEXANDER CITY COMMUNITY WORK CENTER/RELEASE,Direct Bill,true,3342427100,0.000,0.050,0.050,0.050,false,null,0.000
AL,1598732932682,AL DOC - ALEXANDER CITY COMMUNITY WORK CENTER/RELEASE,Direct Bill,false,3609024111,0.000,0.050,0.050,0.050,false,null,0.000
AL,1598732932682,AL DOC - ALEXANDER CITY COMMUNITY WORK CENTER/RELEASE,Inmate Debit,true,3342427100,0.000,0.050,0.050,0.050,false,null,0.000
AL,1598732932682,AL DOC - ALEXANDER CITY COMMUNITY WORK CENTER/RELEASE,Inmate Debit,false,3609024111,0.000,0.050,0.050,0.050,false,null,0.000
AL,1598732932682,AL DOC - ALEXANDER CITY COMMUNITY WORK CENTER/RELEASE,Traditional Collect,true,3342427100,0.000,0.050,0.050,0.050,false,null,0.000
AL,1598732932682,AL DOC - ALEXANDER CITY COMMUNITY WORK CENTER/RELEASE,Traditional Collect,false,3609024111,0.000,0.050,0.050,0.050,false,null,0.000
AL,1598732932682,AL DOC - ALEXANDER CITY COMMUNITY WORK CENTER/RELEASE,Voicemail,true,3342427100,0.000,0.000,0.000,0.000,false,null,0.000
AL,1598732932682,AL DOC - ALEXANDER CITY COMMUNITY WORK CENTER/RELEASE,Voicemail,false,3609024111,0.000,0.000,0.000,0.000,false,null,0.000
AL,1598732937884,AL DOC - BIBB COUNTY CORRECTIONAL FACILITY,AdvancedConnect,true,3342427100,0.000,0.050,0.050,0.050,false,null,0.000
AL,1598732937884,AL DOC - BIBB COUNTY CORRECTIONAL FACILITY,AdvancedConnect,false,9074653500,0.000,0.050,0.050,0.050,false,null,0.000
AL,1598732937884,AL DOC - BIBB COUNTY CORRECTIONAL FACILITY,Direct Bill,true,3342427100,0.000,0.050,0.050,0.050,false,null,0.000
