date,state,siteId,siteName,customerId,displayId,displayName,onSiteUserAccountNeeded
09/06/2020,AK,04660,AK DOC - ANCHORAGE CORRECTIONAL COMPLEX/EAST (ANCHORAGE JAIL),,,,
09/06/2020,AK,05138,AK DOC - ANCHORAGE CORRECTIONAL COMPLEX/WEST,,,,
09/06/2020,AK,05139,AK DOC - ANVIL MOUNTAIN CORRECTIONAL CENTER,,,,
09/06/2020,AK,05137,AK DOC - FAIRBANKS CORRECTIONAL CENTER,,,,
09/06/2020,AK,09075,AK DOC - GOOSE CREEK CORRECTIONAL CENTER,,,,
09/06/2020,AK,05136,AK DOC - HILAND MOUNTAIN CORRECTIONAL CENTER,,,,
09/06/2020,AK,05129,AK DOC - KETCHIKAN CORRECTIONAL CENTER,,,,
09/06/2020,AK,05135,AK DOC - LEMON CREEK CORRECTIONAL CENTER,,,,
09/06/2020,AK,05134,AK DOC - MAT-SU PRETRIAL FACILITY,,,,
09/06/2020,AK,04745,AK DOC - POINT MACKENZIE CORRECTIONAL FARM,,,,
09/06/2020,AK,05132,AK DOC - SPRING CREEK CORRECTIONAL CENTER,,,,
09/06/2020,AK,05130,AK DOC - WILDWOOD CORRECTIONAL COMPLEX,,,,
09/06/2020,AK,05131,AK DOC - YUKON KUSKOKWIM CORRECTIONAL CENTER,,,,
