state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
AK,09/06/2020,AK DOC - ANCHORAGE CORRECTIONAL COMPLEX/EAST (ANCHORAGE JAIL),AdvancedConnect,1,9074653500,0.000,0.210,0.210,0.210,,,0.000
AK,09/06/2020,AK DOC - ANCHORAGE CORRECTIONAL COMPLEX/EAST (ANCHORAGE JAIL),AdvancedConnect,,6082661212,0.000,0.210,0.210,0.210,,,0.000
AK,09/06/2020,AK DOC - ANCHORAGE CORRECTIONAL COMPLEX/EAST (ANCHORAGE JAIL),Direct Bill,1,9074653500,0.000,0.250,0.250,0.250,,,0.000
AK,09/06/2020,AK DOC - ANCHORAGE CORRECTIONAL COMPLEX/EAST (ANCHORAGE JAIL),Direct Bill,,6082661212,0.000,0.250,0.250,0.250,,,0.000
AK,09/06/2020,AK DOC - ANCHORAGE CORRECTIONAL COMPLEX/EAST (ANCHORAGE JAIL),Inmate Debit,1,9074653500,0.000,0.250,0.250,0.250,,,0.000
AK,09/06/2020,AK DOC - ANCHORAGE CORRECTIONAL COMPLEX/EAST (ANCHORAGE JAIL),Inmate Debit,,6082661212,0.000,0.210,0.210,0.210,,,0.000
AK,09/06/2020,AK DOC - ANCHORAGE CORRECTIONAL COMPLEX/EAST (ANCHORAGE JAIL),Traditional Collect,1,9074653500,0.000,0.250,0.250,0.250,,,0.000
AK,09/06/2020,AK DOC - ANCHORAGE CORRECTIONAL COMPLEX/EAST (ANCHORAGE JAIL),Traditional Collect,,6082661212,0.000,0.250,0.250,0.250,,,0.000
AK,09/06/2020,AK DOC - ANCHORAGE CORRECTIONAL COMPLEX/EAST (ANCHORAGE JAIL),Voicemail,1,9074653500,0.000,0.000,0.000,0.000,,,0.000
AK,09/06/2020,AK DOC - ANCHORAGE CORRECTIONAL COMPLEX/EAST (ANCHORAGE JAIL),Voicemail,,6082661212,0.000,0.000,0.000,0.000,,,0.000
AK,09/06/2020,AK DOC - ANCHORAGE CORRECTIONAL COMPLEX/WEST,AdvancedConnect,1,9074653500,0.000,0.210,0.210,0.210,,,0.000
AK,09/06/2020,AK DOC - ANCHORAGE CORRECTIONAL COMPLEX/WEST,AdvancedConnect,,2072873531,0.000,0.210,0.210,0.210,,,0.000
