state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
AK,1599315054303,AK DOC - ANCHORAGE CORRECTIONAL COMPLEX/EAST (ANCHORAGE JAIL),AdvancedConnect,true,9074653500,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
AK,1599315054303,AK DOC - ANCHORAGE CORRECTIONAL COMPLEX/EAST (ANCHORAGE JAIL),AdvancedConnect,false,5737513222,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
AK,1599315054303,AK DOC - ANCHORAGE CORRECTIONAL COMPLEX/EAST (ANCHORAGE JAIL),Direct Bill,true,9074653500,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
AK,1599315054303,AK DOC - ANCHORAGE CORRECTIONAL COMPLEX/EAST (ANCHORAGE JAIL),Direct Bill,false,5737513222,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
AK,1599315054303,AK DOC - ANCHORAGE CORRECTIONAL COMPLEX/EAST (ANCHORAGE JAIL),Inmate Debit,true,9074653500,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
AK,1599315054303,AK DOC - ANCHORAGE CORRECTIONAL COMPLEX/EAST (ANCHORAGE JAIL),Inmate Debit,false,5737513222,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
AK,1599315054303,AK DOC - ANCHORAGE CORRECTIONAL COMPLEX/EAST (ANCHORAGE JAIL),Traditional Collect,true,9074653500,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
AK,1599315054303,AK DOC - ANCHORAGE CORRECTIONAL COMPLEX/EAST (ANCHORAGE JAIL),Traditional Collect,false,5737513222,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
AK,1599315054303,AK DOC - ANCHORAGE CORRECTIONAL COMPLEX/EAST (ANCHORAGE JAIL),Voicemail,true,9074653500,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
AK,1599315054303,AK DOC - ANCHORAGE CORRECTIONAL COMPLEX/EAST (ANCHORAGE JAIL),Voicemail,false,5737513222,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
AK,1599315058239,AK DOC - ANCHORAGE CORRECTIONAL COMPLEX/WEST,AdvancedConnect,true,9074653500,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
