state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
AR,1598733232609,AR DOC - BENTON UNIT,AdvancedConnect,true,5016822345,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733232609,AR DOC - BENTON UNIT,AdvancedConnect,false,5025642517,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733232609,AR DOC - BENTON UNIT,Direct Bill,true,5016822345,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733232609,AR DOC - BENTON UNIT,Direct Bill,false,5025642517,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733232609,AR DOC - BENTON UNIT,Inmate Debit,true,5016822345,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733232609,AR DOC - BENTON UNIT,Inmate Debit,false,5025642517,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733232609,AR DOC - BENTON UNIT,Traditional Collect,true,5016822345,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733232609,AR DOC - BENTON UNIT,Traditional Collect,false,5025642517,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733232609,AR DOC - BENTON UNIT,Voicemail,true,5016822345,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
AR,1598733232609,AR DOC - BENTON UNIT,Voicemail,false,5025642517,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
AR,1598733238582,AR DOC - CENTRAL ARKANSAS COMMUNITY CORRECTION CENTER,AdvancedConnect,true,5016822345,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733238582,AR DOC - CENTRAL ARKANSAS COMMUNITY CORRECTION CENTER,AdvancedConnect,false,5184748390,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733238582,AR DOC - CENTRAL ARKANSAS COMMUNITY CORRECTION CENTER,Direct Bill,true,5016822345,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733238582,AR DOC - CENTRAL ARKANSAS COMMUNITY CORRECTION CENTER,Direct Bill,false,5184748390,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733238582,AR DOC - CENTRAL ARKANSAS COMMUNITY CORRECTION CENTER,Inmate Debit,true,5016822345,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733238582,AR DOC - CENTRAL ARKANSAS COMMUNITY CORRECTION CENTER,Inmate Debit,false,5184748390,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733238582,AR DOC - CENTRAL ARKANSAS COMMUNITY CORRECTION CENTER,Traditional Collect,true,5016822345,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733238582,AR DOC - CENTRAL ARKANSAS COMMUNITY CORRECTION CENTER,Traditional Collect,false,5184748390,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733238582,AR DOC - CENTRAL ARKANSAS COMMUNITY CORRECTION CENTER,Voicemail,true,5016822345,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
AR,1598733238582,AR DOC - CENTRAL ARKANSAS COMMUNITY CORRECTION CENTER,Voicemail,false,5184748390,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
AR,1598733244140,AR DOC - CUMMINS UNIT,AdvancedConnect,true,5016822345,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733244140,AR DOC - CUMMINS UNIT,AdvancedConnect,false,3045882000,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733244140,AR DOC - CUMMINS UNIT,Direct Bill,true,5016822345,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733244140,AR DOC - CUMMINS UNIT,Direct Bill,false,3045882000,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733244140,AR DOC - CUMMINS UNIT,Inmate Debit,true,5016822345,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733244140,AR DOC - CUMMINS UNIT,Inmate Debit,false,3045882000,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733244140,AR DOC - CUMMINS UNIT,Traditional Collect,true,5016822345,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733244140,AR DOC - CUMMINS UNIT,Traditional Collect,false,3045882000,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733244140,AR DOC - CUMMINS UNIT,Voicemail,true,5016822345,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
AR,1598733244140,AR DOC - CUMMINS UNIT,Voicemail,false,3045882000,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
AR,1598733249315,AR DOC - DELTA REGIONAL UNIT,AdvancedConnect,true,5016822345,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733249315,AR DOC - DELTA REGIONAL UNIT,AdvancedConnect,false,6177254005,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733249315,AR DOC - DELTA REGIONAL UNIT,Direct Bill,true,5016822345,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733249315,AR DOC - DELTA REGIONAL UNIT,Direct Bill,false,6177254005,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733249315,AR DOC - DELTA REGIONAL UNIT,Inmate Debit,true,5016822345,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733249315,AR DOC - DELTA REGIONAL UNIT,Inmate Debit,false,6177254005,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733249315,AR DOC - DELTA REGIONAL UNIT,Traditional Collect,true,5016822345,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733249315,AR DOC - DELTA REGIONAL UNIT,Traditional Collect,false,6177254005,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733249315,AR DOC - DELTA REGIONAL UNIT,Voicemail,true,5016822345,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
AR,1598733249315,AR DOC - DELTA REGIONAL UNIT,Voicemail,false,6177254005,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
AR,1598733254465,AR DOC - EAST ARKANSAS REGIONAL UNIT,AdvancedConnect,true,5016822345,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733254465,AR DOC - EAST ARKANSAS REGIONAL UNIT,AdvancedConnect,false,5737513222,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733254465,AR DOC - EAST ARKANSAS REGIONAL UNIT,Direct Bill,true,5016822345,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733254465,AR DOC - EAST ARKANSAS REGIONAL UNIT,Direct Bill,false,5737513222,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733254465,AR DOC - EAST ARKANSAS REGIONAL UNIT,Inmate Debit,true,5016822345,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733254465,AR DOC - EAST ARKANSAS REGIONAL UNIT,Inmate Debit,false,5737513222,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733254465,AR DOC - EAST ARKANSAS REGIONAL UNIT,Traditional Collect,true,5016822345,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733254465,AR DOC - EAST ARKANSAS REGIONAL UNIT,Traditional Collect,false,5737513222,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
AR,1598733254465,AR DOC - EAST ARKANSAS REGIONAL UNIT,Voicemail,true,5016822345,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
