state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
AZ,1598737858298,AK - CHIN POLICE DEPT,AdvancedConnect,true,6025424331,$0.000,$0.470,$0.400,$0.470,false,null,$0.000
AZ,1598737858298,AK - CHIN POLICE DEPT,AdvancedConnect,false,8504887146,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
AZ,1598737858298,AK - CHIN POLICE DEPT,Direct Bill,true,6025424331,$0.000,$0.470,$0.400,$0.470,false,null,$0.000
AZ,1598737858298,AK - CHIN POLICE DEPT,Direct Bill,false,8504887146,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
AZ,1598737858298,AK - CHIN POLICE DEPT,Inmate Debit,true,6025424331,$0.000,$0.470,$0.400,$0.470,false,null,$0.000
AZ,1598737858298,AK - CHIN POLICE DEPT,Inmate Debit,false,8504887146,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
AZ,1598737858298,AK - CHIN POLICE DEPT,Traditional Collect,true,6025424331,$0.000,$0.470,$0.400,$0.470,false,null,$0.000
AZ,1598737858298,AK - CHIN POLICE DEPT,Traditional Collect,false,8504887146,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
AZ,1598737858298,AK - CHIN POLICE DEPT,Voicemail,true,6025424331,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
AZ,1598737858298,AK - CHIN POLICE DEPT,Voicemail,false,8504887146,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
AZ,1598737866349,APACHE COUNTY JAIL,AdvancedConnect,true,6025424331,$0.000,$0.400,$0.400,$0.400,false,null,$0.000
AZ,1598737866349,APACHE COUNTY JAIL,AdvancedConnect,false,3027444101,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
AZ,1598737866349,APACHE COUNTY JAIL,Direct Bill,true,6025424331,$0.000,$0.400,$0.400,$0.400,false,null,$0.000
AZ,1598737866349,APACHE COUNTY JAIL,Direct Bill,false,3027444101,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
AZ,1598737866349,APACHE COUNTY JAIL,Inmate Debit,true,6025424331,$0.000,$0.400,$0.400,$0.400,false,null,$0.000
AZ,1598737866349,APACHE COUNTY JAIL,Inmate Debit,false,3027444101,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
AZ,1598737866349,APACHE COUNTY JAIL,Traditional Collect,true,6025424331,$0.000,$0.400,$0.400,$0.400,false,null,$0.000
AZ,1598737866349,APACHE COUNTY JAIL,Traditional Collect,false,3027444101,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
AZ,1598737866349,APACHE COUNTY JAIL,Voicemail,true,6025424331,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
AZ,1598737866349,APACHE COUNTY JAIL,Voicemail,false,3027444101,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
AZ,1598737872129,COCHISE COUNTY MAIN JAIL,AdvancedConnect,true,6025424331,$0.000,$0.470,$0.470,$0.470,false,null,$0.000
AZ,1598737872129,COCHISE COUNTY MAIN JAIL,AdvancedConnect,false,8028283333,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
AZ,1598737872129,COCHISE COUNTY MAIN JAIL,Direct Bill,true,6025424331,$0.000,$0.470,$0.470,$0.470,false,null,$0.000
AZ,1598737872129,COCHISE COUNTY MAIN JAIL,Direct Bill,false,8028283333,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
AZ,1598737872129,COCHISE COUNTY MAIN JAIL,Inmate Debit,true,6025424331,$0.000,$0.470,$0.470,$0.470,false,null,$0.000
AZ,1598737872129,COCHISE COUNTY MAIN JAIL,Inmate Debit,false,8028283333,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
AZ,1598737872129,COCHISE COUNTY MAIN JAIL,Traditional Collect,true,6025424331,$0.000,$0.470,$0.470,$0.470,false,null,$0.000
AZ,1598737872129,COCHISE COUNTY MAIN JAIL,Traditional Collect,false,8028283333,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
AZ,1598737872129,COCHISE COUNTY MAIN JAIL,Voicemail,true,6025424331,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
AZ,1598737872129,COCHISE COUNTY MAIN JAIL,Voicemail,false,8028283333,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
AZ,1598737877945,COCHISE COUNTY SIERRA VISTA,AdvancedConnect,true,6025424331,$0.000,$0.470,$0.470,$0.470,false,null,$0.000
AZ,1598737877945,COCHISE COUNTY SIERRA VISTA,AdvancedConnect,false,5173733400,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
AZ,1598737877945,COCHISE COUNTY SIERRA VISTA,Direct Bill,true,6025424331,$0.000,$0.470,$0.470,$0.470,false,null,$0.000
AZ,1598737877945,COCHISE COUNTY SIERRA VISTA,Direct Bill,false,5173733400,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
AZ,1598737877945,COCHISE COUNTY SIERRA VISTA,Inmate Debit,true,6025424331,$0.000,$0.470,$0.470,$0.470,false,null,$0.000
AZ,1598737877945,COCHISE COUNTY SIERRA VISTA,Inmate Debit,false,5173733400,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
AZ,1598737877945,COCHISE COUNTY SIERRA VISTA,Traditional Collect,true,6025424331,$0.000,$0.470,$0.470,$0.470,false,null,$0.000
AZ,1598737877945,COCHISE COUNTY SIERRA VISTA,Traditional Collect,false,5173733400,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
AZ,1598737877945,COCHISE COUNTY SIERRA VISTA,Voicemail,true,6025424331,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
AZ,1598737877945,COCHISE COUNTY SIERRA VISTA,Voicemail,false,5173733400,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
AZ,1598737885041,COCHISE COUNTY WILLCOX,AdvancedConnect,true,6025424331,$0.000,$0.470,$0.470,$0.470,false,null,$0.000
AZ,1598737885041,COCHISE COUNTY WILLCOX,AdvancedConnect,false,5173733400,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
AZ,1598737885041,COCHISE COUNTY WILLCOX,Direct Bill,true,6025424331,$0.000,$0.470,$0.470,$0.470,false,null,$0.000
AZ,1598737885041,COCHISE COUNTY WILLCOX,Direct Bill,false,5173733400,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
