state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
CA,1598737933787,AMADOR COUNTY JAIL,AdvancedConnect,true,9165883160,$0.000,$0.311,$0.311,$0.320,false,null,$0.000
CA,1598737933787,AMADOR COUNTY JAIL,AdvancedConnect,false,6144663555,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
CA,1598737933787,AMADOR COUNTY JAIL,Direct Bill,true,9165883160,$0.000,$0.311,$0.311,$0.320,false,null,$0.000
CA,1598737933787,AMADOR COUNTY JAIL,Direct Bill,false,6144663555,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
CA,1598737933787,AMADOR COUNTY JAIL,Inmate Debit,true,9165883160,$0.000,$0.311,$0.311,$0.320,false,null,$0.000
CA,1598737933787,AMADOR COUNTY JAIL,Inmate Debit,false,6144663555,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
CA,1598737933787,AMADOR COUNTY JAIL,Traditional Collect,true,9165883160,$0.000,$0.311,$0.311,$0.320,false,null,$0.000
CA,1598737933787,AMADOR COUNTY JAIL,Traditional Collect,false,6144663555,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
CA,1598737933787,AMADOR COUNTY JAIL,Voicemail,true,9165883160,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
CA,1598737933787,AMADOR COUNTY JAIL,Voicemail,false,6144663555,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
CA,1598737939046,CALAVERAS COUNTY SHERIFF'S OFFICE,AdvancedConnect,true,9165883160,$0.000,$0.310,$0.310,$0.310,false,null,$0.000
CA,1598737939046,CALAVERAS COUNTY SHERIFF'S OFFICE,AdvancedConnect,false,6032712121,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
CA,1598737939046,CALAVERAS COUNTY SHERIFF'S OFFICE,Direct Bill,true,9165883160,$0.000,$0.310,$0.310,$0.310,false,null,$0.000
CA,1598737939046,CALAVERAS COUNTY SHERIFF'S OFFICE,Direct Bill,false,6032712121,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
CA,1598737939046,CALAVERAS COUNTY SHERIFF'S OFFICE,Inmate Debit,true,9165883160,$0.000,$0.310,$0.310,$0.310,false,null,$0.000
CA,1598737939046,CALAVERAS COUNTY SHERIFF'S OFFICE,Inmate Debit,false,6032712121,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
CA,1598737939046,CALAVERAS COUNTY SHERIFF'S OFFICE,Traditional Collect,true,9165883160,$0.000,$0.310,$0.310,$0.310,false,null,$0.000
CA,1598737939046,CALAVERAS COUNTY SHERIFF'S OFFICE,Traditional Collect,false,6032712121,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
CA,1598737939046,CALAVERAS COUNTY SHERIFF'S OFFICE,Voicemail,true,9165883160,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
CA,1598737939046,CALAVERAS COUNTY SHERIFF'S OFFICE,Voicemail,false,6032712121,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
CA,1598737944386,DEL NORTE COUNTY SHERIFF'S OFFICE,AdvancedConnect,true,9165883160,$0.000,$2.880,$0.380,$2.880,false,null,$0.000
CA,1598737944386,DEL NORTE COUNTY SHERIFF'S OFFICE,AdvancedConnect,false,5016822345,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
CA,1598737944386,DEL NORTE COUNTY SHERIFF'S OFFICE,Direct Bill,true,9165883160,$0.000,$2.880,$0.380,$2.880,false,null,$0.000
CA,1598737944386,DEL NORTE COUNTY SHERIFF'S OFFICE,Direct Bill,false,5016822345,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
CA,1598737944386,DEL NORTE COUNTY SHERIFF'S OFFICE,Inmate Debit,true,9165883160,$0.000,$2.880,$0.380,$2.880,false,null,$0.000
CA,1598737944386,DEL NORTE COUNTY SHERIFF'S OFFICE,Inmate Debit,false,5016822345,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
