state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
CO,1598738275100,ARAPAHOE COUNTY SHERIFF'S OFFICE,AdvancedConnect,true,3038662471,$0.000,$2.600,$0.100,$2.600,false,null,$0.000
CO,1598738275100,ARAPAHOE COUNTY SHERIFF'S OFFICE,AdvancedConnect,false,6032712121,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
CO,1598738275100,ARAPAHOE COUNTY SHERIFF'S OFFICE,Direct Bill,true,3038662471,$0.000,$2.600,$0.100,$2.600,false,null,$0.000
CO,1598738275100,ARAPAHOE COUNTY SHERIFF'S OFFICE,Direct Bill,false,6032712121,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
CO,1598738275100,ARAPAHOE COUNTY SHERIFF'S OFFICE,Inmate Debit,true,3038662471,$0.000,$2.600,$0.100,$2.600,false,null,$0.000
CO,1598738275100,ARAPAHOE COUNTY SHERIFF'S OFFICE,Inmate Debit,false,6032712121,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
CO,1598738275100,ARAPAHOE COUNTY SHERIFF'S OFFICE,Traditional Collect,true,3038662471,$0.000,$2.600,$0.100,$2.600,false,null,$0.000
CO,1598738275100,ARAPAHOE COUNTY SHERIFF'S OFFICE,Traditional Collect,false,6032712121,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
CO,1598738275100,ARAPAHOE COUNTY SHERIFF'S OFFICE,Voicemail,true,3038662471,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
CO,1598738275100,ARAPAHOE COUNTY SHERIFF'S OFFICE,Voicemail,false,6032712121,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
CO,1598738281180,AURORA MUNICIPAL COURT ADMINISTRATION,AdvancedConnect,true,3038662471,$0.000,$2.920,$0.620,$2.920,false,null,$0.000
CO,1598738281180,AURORA MUNICIPAL COURT ADMINISTRATION,AdvancedConnect,false,2253427015,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
CO,1598738281180,AURORA MUNICIPAL COURT ADMINISTRATION,Direct Bill,true,3038662471,$0.000,$2.920,$0.620,$2.920,false,null,$0.000
CO,1598738281180,AURORA MUNICIPAL COURT ADMINISTRATION,Direct Bill,false,2253427015,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
CO,1598738281180,AURORA MUNICIPAL COURT ADMINISTRATION,Inmate Debit,true,3038662471,$0.000,$2.920,$0.620,$2.920,false,null,$0.000
CO,1598738281180,AURORA MUNICIPAL COURT ADMINISTRATION,Inmate Debit,false,2253427015,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
CO,1598738281180,AURORA MUNICIPAL COURT ADMINISTRATION,Traditional Collect,true,3038662471,$0.000,$2.920,$0.620,$2.920,false,null,$0.000
