state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
CT,1599315867858,CT DOC - BRIDGEPORT CORRECTIONAL CENTER,AdvancedConnect,true,8605664840,$0.000,$0.243,$0.243,$0.250,false,null,$0.000
CT,1599315867858,CT DOC - BRIDGEPORT CORRECTIONAL CENTER,AdvancedConnect,false,6013593150,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
CT,1599315867858,CT DOC - BRIDGEPORT CORRECTIONAL CENTER,Direct Bill,true,8605664840,$0.000,$0.325,$0.325,$0.330,false,null,$0.000
CT,1599315867858,CT DOC - BRIDGEPORT CORRECTIONAL CENTER,Direct Bill,false,6013593150,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
CT,1599315867858,CT DOC - BRIDGEPORT CORRECTIONAL CENTER,Inmate Debit,true,8605664840,$0.000,$0.325,$0.325,$0.330,false,null,$0.000
CT,1599315867858,CT DOC - BRIDGEPORT CORRECTIONAL CENTER,Inmate Debit,false,6013593150,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
CT,1599315867858,CT DOC - BRIDGEPORT CORRECTIONAL CENTER,Traditional Collect,true,8605664840,$0.000,$0.325,$0.325,$0.330,false,null,$0.000
CT,1599315867858,CT DOC - BRIDGEPORT CORRECTIONAL CENTER,Traditional Collect,false,6013593150,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
CT,1599315867858,CT DOC - BRIDGEPORT CORRECTIONAL CENTER,Voicemail,true,8605664840,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
CT,1599315867858,CT DOC - BRIDGEPORT CORRECTIONAL CENTER,Voicemail,false,6013593150,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
CT,1599315871550,CT DOC - BROOKLYN CORRECTIONAL INSTITUTION,AdvancedConnect,true,8605664840,$0.000,$0.243,$0.243,$0.250,false,null,$0.000
CT,1599315871550,CT DOC - BROOKLYN CORRECTIONAL INSTITUTION,AdvancedConnect,false,8015381000,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
CT,1599315871550,CT DOC - BROOKLYN CORRECTIONAL INSTITUTION,Direct Bill,true,8605664840,$0.000,$0.325,$0.325,$0.330,false,null,$0.000
CT,1599315871550,CT DOC - BROOKLYN CORRECTIONAL INSTITUTION,Direct Bill,false,8015381000,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
CT,1599315871550,CT DOC - BROOKLYN CORRECTIONAL INSTITUTION,Inmate Debit,true,8605664840,$0.000,$0.325,$0.325,$0.330,false,null,$0.000
CT,1599315871550,CT DOC - BROOKLYN CORRECTIONAL INSTITUTION,Inmate Debit,false,8015381000,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
CT,1599315871550,CT DOC - BROOKLYN CORRECTIONAL INSTITUTION,Traditional Collect,true,8605664840,$0.000,$0.325,$0.325,$0.330,false,null,$0.000
CT,1599315871550,CT DOC - BROOKLYN CORRECTIONAL INSTITUTION,Traditional Collect,false,8015381000,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
CT,1599315871550,CT DOC - BROOKLYN CORRECTIONAL INSTITUTION,Voicemail,true,8605664840,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
CT,1599315871550,CT DOC - BROOKLYN CORRECTIONAL INSTITUTION,Voicemail,false,8015381000,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
CT,1599315875263,CT DOC - CENTRAL OFFICE,AdvancedConnect,true,8605664840,$0.000,$0.243,$0.243,$0.250,false,null,$0.000
CT,1599315875263,CT DOC - CENTRAL OFFICE,AdvancedConnect,false,9074653500,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
CT,1599315875263,CT DOC - CENTRAL OFFICE,Direct Bill,true,8605664840,$0.000,$0.325,$0.325,$0.330,false,null,$0.000
