state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
FL,1599315947276,ALACHUA COUNTY JAIL,AdvancedConnect,true,8504887146,$0.000,$2.360,$0.400,$2.360,false,null,$0.000
FL,1599315947276,ALACHUA COUNTY JAIL,AdvancedConnect,false,5033784582,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
FL,1599315947276,ALACHUA COUNTY JAIL,Direct Bill,true,8504887146,$0.000,$2.360,$0.400,$2.360,false,null,$0.000
FL,1599315947276,ALACHUA COUNTY JAIL,Direct Bill,false,5033784582,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
FL,1599315947276,ALACHUA COUNTY JAIL,Inmate Debit,true,8504887146,$0.000,$2.360,$0.400,$2.360,false,null,$0.000
FL,1599315947276,ALACHUA COUNTY JAIL,Inmate Debit,false,5033784582,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
FL,1599315947276,ALACHUA COUNTY JAIL,Traditional Collect,true,8504887146,$0.000,$2.360,$0.400,$2.360,false,null,$0.000
FL,1599315947276,ALACHUA COUNTY JAIL,Traditional Collect,false,5033784582,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
FL,1599315947276,ALACHUA COUNTY JAIL,Voicemail,true,8504887146,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
FL,1599315947276,ALACHUA COUNTY JAIL,Voicemail,false,5033784582,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
FL,1599315960760,BAKER COUNTY DETENTION CENTER (ATTORNEY ONLY),AdvancedConnect,true,8504887146,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
FL,1599315960760,BAKER COUNTY DETENTION CENTER (ATTORNEY ONLY),AdvancedConnect,false,8015381000,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
FL,1599315960760,BAKER COUNTY DETENTION CENTER (ATTORNEY ONLY),Direct Bill,true,8504887146,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
FL,1599315960760,BAKER COUNTY DETENTION CENTER (ATTORNEY ONLY),Direct Bill,false,8015381000,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
FL,1599315960760,BAKER COUNTY DETENTION CENTER (ATTORNEY ONLY),Inmate Debit,true,8504887146,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
FL,1599315960760,BAKER COUNTY DETENTION CENTER (ATTORNEY ONLY),Inmate Debit,false,8015381000,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
FL,1599315960760,BAKER COUNTY DETENTION CENTER (ATTORNEY ONLY),Traditional Collect,true,8504887146,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
FL,1599315960760,BAKER COUNTY DETENTION CENTER (ATTORNEY ONLY),Traditional Collect,false,8015381000,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
FL,1599315960760,BAKER COUNTY DETENTION CENTER (ATTORNEY ONLY),Voicemail,true,8504887146,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
FL,1599315960760,BAKER COUNTY DETENTION CENTER (ATTORNEY ONLY),Voicemail,false,8015381000,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
FL,1599315964448,BAKER COUNTY SHERIFF'S OFFICE,AdvancedConnect,true,8504887146,$0.000,$2.130,$0.380,$2.130,false,null,$0.000
FL,1599315964448,BAKER COUNTY SHERIFF'S OFFICE,AdvancedConnect,false,4055212342,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
FL,1599315964448,BAKER COUNTY SHERIFF'S OFFICE,Direct Bill,true,8504887146,$0.000,$2.130,$0.380,$2.130,false,null,$0.000
FL,1599315964448,BAKER COUNTY SHERIFF'S OFFICE,Direct Bill,false,4055212342,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
FL,1599315964448,BAKER COUNTY SHERIFF'S OFFICE,Inmate Debit,true,8504887146,$0.000,$2.130,$0.380,$2.130,false,null,$0.000
FL,1599315964448,BAKER COUNTY SHERIFF'S OFFICE,Inmate Debit,false,4055212342,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
FL,1599315964448,BAKER COUNTY SHERIFF'S OFFICE,Traditional Collect,true,8504887146,$0.000,$2.130,$0.380,$2.130,false,null,$0.000
FL,1599315964448,BAKER COUNTY SHERIFF'S OFFICE,Traditional Collect,false,4055212342,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
FL,1599315964448,BAKER COUNTY SHERIFF'S OFFICE,Voicemail,true,8504887146,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
FL,1599315964448,BAKER COUNTY SHERIFF'S OFFICE,Voicemail,false,4055212342,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
FL,1599315973178,BRADFORD COUNTY JAIL,AdvancedConnect,true,8504887146,$0.000,$2.050,$0.300,$2.050,false,null,$0.000
FL,1599315973178,BRADFORD COUNTY JAIL,AdvancedConnect,false,2177820244,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
