state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
GA,1599316604192,ATHENS CLARKE COUNTY JAIL,AdvancedConnect,true,4046561776,$0.000,$0.190,$0.190,$0.190,false,null,$0.000
GA,1599316604192,ATHENS CLARKE COUNTY JAIL,AdvancedConnect,false,6092926000,$0.000,$0.165,$0.165,$0.170,false,null,$0.000
GA,1599316604192,ATHENS CLARKE COUNTY JAIL,Direct Bill,true,4046561776,$0.000,$0.190,$0.190,$0.190,false,null,$0.000
GA,1599316604192,ATHENS CLARKE COUNTY JAIL,Direct Bill,false,6092926000,$0.000,$0.165,$0.165,$0.170,false,null,$0.000
GA,1599316604192,ATHENS CLARKE COUNTY JAIL,Inmate Debit,true,4046561776,$0.000,$0.190,$0.190,$0.190,false,null,$0.000
GA,1599316604192,ATHENS CLARKE COUNTY JAIL,Inmate Debit,false,6092926000,$0.000,$0.165,$0.165,$0.170,false,null,$0.000
GA,1599316604192,ATHENS CLARKE COUNTY JAIL,Traditional Collect,true,4046561776,$0.000,$0.190,$0.190,$0.190,false,null,$0.000
GA,1599316604192,ATHENS CLARKE COUNTY JAIL,Traditional Collect,false,6092926000,$0.000,$0.165,$0.165,$0.170,false,null,$0.000
GA,1599316604192,ATHENS CLARKE COUNTY JAIL,Voicemail,true,4046561776,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
GA,1599316604192,ATHENS CLARKE COUNTY JAIL,Voicemail,false,6092926000,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
GA,1599316607954,ATKINSON COUNTY JAIL,AdvancedConnect,true,4046561776,$0.000,$0.190,$0.190,$0.190,false,null,$0.000
GA,1599316607954,ATKINSON COUNTY JAIL,AdvancedConnect,false,8047862211,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
GA,1599316607954,ATKINSON COUNTY JAIL,Direct Bill,true,4046561776,$0.000,$0.190,$0.190,$0.190,false,null,$0.000
GA,1599316607954,ATKINSON COUNTY JAIL,Direct Bill,false,8047862211,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
GA,1599316607954,ATKINSON COUNTY JAIL,Inmate Debit,true,4046561776,$0.000,$0.190,$0.190,$0.190,false,null,$0.000
GA,1599316607954,ATKINSON COUNTY JAIL,Inmate Debit,false,8047862211,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
GA,1599316607954,ATKINSON COUNTY JAIL,Traditional Collect,true,4046561776,$0.000,$0.190,$0.190,$0.190,false,null,$0.000
GA,1599316607954,ATKINSON COUNTY JAIL,Traditional Collect,false,8047862211,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
GA,1599316607954,ATKINSON COUNTY JAIL,Voicemail,true,4046561776,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
GA,1599316607954,ATKINSON COUNTY JAIL,Voicemail,false,8047862211,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
GA,1599316611835,BALDWIN COUNTY JAIL,AdvancedConnect,true,4046561776,$0.000,$0.190,$0.190,$0.190,false,null,$0.000
GA,1599316611835,BALDWIN COUNTY JAIL,AdvancedConnect,false,3045882000,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
GA,1599316611835,BALDWIN COUNTY JAIL,Direct Bill,true,4046561776,$0.000,$0.190,$0.190,$0.190,false,null,$0.000
GA,1599316611835,BALDWIN COUNTY JAIL,Direct Bill,false,3045882000,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
