state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
IA,1599317054432,AUDUBON COUNTY JAIL,AdvancedConnect,true,5152815211,$0.000,$4.000,$0.500,$4.000,false,null,$0.000
IA,1599317054432,AUDUBON COUNTY JAIL,AdvancedConnect,false,9165883160,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
IA,1599317054432,AUDUBON COUNTY JAIL,Direct Bill,true,5152815211,$0.000,$4.000,$0.500,$4.000,false,null,$0.000
IA,1599317054432,AUDUBON COUNTY JAIL,Direct Bill,false,9165883160,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
IA,1599317054432,AUDUBON COUNTY JAIL,Inmate Debit,true,5152815211,$0.000,$4.000,$0.500,$4.000,false,null,$0.000
IA,1599317054432,AUDUBON COUNTY JAIL,Inmate Debit,false,9165883160,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
IA,1599317054432,AUDUBON COUNTY JAIL,Traditional Collect,true,5152815211,$0.000,$4.000,$0.500,$4.000,false,null,$0.000
IA,1599317054432,AUDUBON COUNTY JAIL,Traditional Collect,false,9165883160,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
IA,1599317054432,AUDUBON COUNTY JAIL,Voicemail,true,5152815211,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
IA,1599317054432,AUDUBON COUNTY JAIL,Voicemail,false,9165883160,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
IA,1599317058418,BREMER COUNTY SHERIFF'S DEPT,AdvancedConnect,true,5152815211,$0.000,$3.740,$0.740,$3.740,false,null,$0.000
IA,1599317058418,BREMER COUNTY SHERIFF'S DEPT,AdvancedConnect,false,8047862211,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
IA,1599317058418,BREMER COUNTY SHERIFF'S DEPT,Direct Bill,true,5152815211,$0.000,$3.740,$0.740,$3.740,false,null,$0.000
IA,1599317058418,BREMER COUNTY SHERIFF'S DEPT,Direct Bill,false,8047862211,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
IA,1599317058418,BREMER COUNTY SHERIFF'S DEPT,Inmate Debit,true,5152815211,$0.000,$3.740,$0.740,$3.740,false,null,$0.000
IA,1599317058418,BREMER COUNTY SHERIFF'S DEPT,Inmate Debit,false,8047862211,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
IA,1599317058418,BREMER COUNTY SHERIFF'S DEPT,Traditional Collect,true,5152815211,$0.000,$3.740,$0.740,$3.740,false,null,$0.000
IA,1599317058418,BREMER COUNTY SHERIFF'S DEPT,Traditional Collect,false,8047862211,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
IA,1599317058418,BREMER COUNTY SHERIFF'S DEPT,Voicemail,true,5152815211,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
IA,1599317058418,BREMER COUNTY SHERIFF'S DEPT,Voicemail,false,8047862211,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
IA,1599317062112,CASS COUNTY JAIL,AdvancedConnect,true,5152815211,$0.000,$0.220,$0.220,$0.220,false,null,$0.000
IA,1599317062112,CASS COUNTY JAIL,AdvancedConnect,false,4012222080,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
IA,1599317062112,CASS COUNTY JAIL,Direct Bill,true,5152815211,$0.000,$0.220,$0.220,$0.220,false,null,$0.000
IA,1599317062112,CASS COUNTY JAIL,Direct Bill,false,4012222080,$0.000,$0.220,$0.220,$0.220,false,null,$0.000
IA,1599317062112,CASS COUNTY JAIL,Inmate Debit,true,5152815211,$0.000,$0.220,$0.220,$0.220,false,null,$0.000
IA,1599317062112,CASS COUNTY JAIL,Inmate Debit,false,4012222080,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
IA,1599317062112,CASS COUNTY JAIL,Traditional Collect,true,5152815211,$0.000,$0.220,$0.220,$0.220,false,null,$0.000
IA,1599317062112,CASS COUNTY JAIL,Traditional Collect,false,4012222080,$0.000,$0.220,$0.220,$0.220,false,null,$0.000
