state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
ID,1598740520655,BENEWAH COUNTY JAIL,AdvancedConnect,true,2083342100,$0.000,$0.310,$0.310,$0.310,false,null,$0.000
ID,1598740520655,BENEWAH COUNTY JAIL,AdvancedConnect,false,2177820244,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
ID,1598740520655,BENEWAH COUNTY JAIL,Direct Bill,true,2083342100,$0.000,$0.310,$0.310,$0.310,false,null,$0.000
ID,1598740520655,BENEWAH COUNTY JAIL,Direct Bill,false,2177820244,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
ID,1598740520655,BENEWAH COUNTY JAIL,Inmate Debit,true,2083342100,$0.000,$0.310,$0.310,$0.310,false,null,$0.000
ID,1598740520655,BENEWAH COUNTY JAIL,Inmate Debit,false,2177820244,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
ID,1598740520655,BENEWAH COUNTY JAIL,Traditional Collect,true,2083342100,$0.000,$0.310,$0.310,$0.310,false,null,$0.000
ID,1598740520655,BENEWAH COUNTY JAIL,Traditional Collect,false,2177820244,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
ID,1598740520655,BENEWAH COUNTY JAIL,Voicemail,true,2083342100,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
ID,1598740520655,BENEWAH COUNTY JAIL,Voicemail,false,2177820244,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
ID,1598740526386,CUSTER COUNTY JAIL,AdvancedConnect,true,2083342100,$0.000,$3.250,$0.500,$3.250,false,null,$0.000
ID,1598740526386,CUSTER COUNTY JAIL,AdvancedConnect,false,3045882000,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
ID,1598740526386,CUSTER COUNTY JAIL,Direct Bill,true,2083342100,$0.000,$3.250,$0.500,$3.250,false,null,$0.000
ID,1598740526386,CUSTER COUNTY JAIL,Direct Bill,false,3045882000,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
ID,1598740526386,CUSTER COUNTY JAIL,Inmate Debit,true,2083342100,$0.000,$3.250,$0.500,$3.250,false,null,$0.000
ID,1598740526386,CUSTER COUNTY JAIL,Inmate Debit,false,3045882000,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
ID,1598740526386,CUSTER COUNTY JAIL,Traditional Collect,true,2083342100,$0.000,$3.250,$0.500,$3.250,false,null,$0.000
ID,1598740526386,CUSTER COUNTY JAIL,Traditional Collect,false,3045882000,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
ID,1598740526386,CUSTER COUNTY JAIL,Voicemail,true,2083342100,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
ID,1598740526386,CUSTER COUNTY JAIL,Voicemail,false,3045882000,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
ID,1598740532146,IDAHO COUNTY JAIL,AdvancedConnect,true,2083342100,$0.000,$3.250,$0.500,$3.250,false,null,$0.000
ID,1598740532146,IDAHO COUNTY JAIL,AdvancedConnect,false,5025642517,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
ID,1598740532146,IDAHO COUNTY JAIL,Direct Bill,true,2083342100,$0.000,$3.250,$0.500,$3.250,false,null,$0.000
ID,1598740532146,IDAHO COUNTY JAIL,Direct Bill,false,5025642517,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
ID,1598740532146,IDAHO COUNTY JAIL,Inmate Debit,true,2083342100,$0.000,$3.250,$0.500,$3.250,false,null,$0.000
ID,1598740532146,IDAHO COUNTY JAIL,Inmate Debit,false,5025642517,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
ID,1598740532146,IDAHO COUNTY JAIL,Traditional Collect,true,2083342100,$0.000,$3.250,$0.500,$3.250,false,null,$0.000
ID,1598740532146,IDAHO COUNTY JAIL,Traditional Collect,false,5025642517,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
ID,1598740532146,IDAHO COUNTY JAIL,Voicemail,true,2083342100,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
ID,1598740532146,IDAHO COUNTY JAIL,Voicemail,false,5025642517,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
ID,1598740537480,MINI-CASSIA CRIMINAL JUSTICE CENTER,AdvancedConnect,true,2083342100,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
ID,1598740537480,MINI-CASSIA CRIMINAL JUSTICE CENTER,AdvancedConnect,false,4055212342,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
ID,1598740537480,MINI-CASSIA CRIMINAL JUSTICE CENTER,Direct Bill,true,2083342100,$0.000,$0.500,$0.500,$0.500,false,null,$0.000
ID,1598740537480,MINI-CASSIA CRIMINAL JUSTICE CENTER,Direct Bill,false,4055212342,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
ID,1598740537480,MINI-CASSIA CRIMINAL JUSTICE CENTER,Inmate Debit,true,2083342100,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
ID,1598740537480,MINI-CASSIA CRIMINAL JUSTICE CENTER,Inmate Debit,false,4055212342,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
ID,1598740537480,MINI-CASSIA CRIMINAL JUSTICE CENTER,Traditional Collect,true,2083342100,$0.000,$0.500,$0.500,$0.500,false,null,$0.000
