state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
IL,1598740554211,ADAMS COUNTY JAIL,AdvancedConnect,true,2177820244,$0.000,$3.927,$0.377,$3.930,false,null,$0.000
IL,1598740554211,ADAMS COUNTY JAIL,AdvancedConnect,false,4109743901,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
IL,1598740554211,ADAMS COUNTY JAIL,Direct Bill,true,2177820244,$0.000,$3.927,$0.377,$3.930,false,null,$0.000
IL,1598740554211,ADAMS COUNTY JAIL,Direct Bill,false,4109743901,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
IL,1598740554211,ADAMS COUNTY JAIL,Inmate Debit,true,2177820244,$0.000,$3.527,$0.377,$3.530,false,null,$0.000
IL,1598740554211,ADAMS COUNTY JAIL,Inmate Debit,false,4109743901,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
IL,1598740554211,ADAMS COUNTY JAIL,Traditional Collect,true,2177820244,$0.000,$3.927,$0.377,$3.930,false,null,$0.000
IL,1598740554211,ADAMS COUNTY JAIL,Traditional Collect,false,4109743901,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
IL,1598740554211,ADAMS COUNTY JAIL,Voicemail,true,2177820244,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
IL,1598740554211,ADAMS COUNTY JAIL,Voicemail,false,4109743901,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
IL,1598740559897,ALTON CITY POLICE DEPT,AdvancedConnect,true,2177820244,$0.000,$3.817,$0.267,$3.820,false,null,$0.000
IL,1598740559897,ALTON CITY POLICE DEPT,AdvancedConnect,false,6032712121,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
IL,1598740559897,ALTON CITY POLICE DEPT,Direct Bill,true,2177820244,$0.000,$3.817,$0.267,$3.820,false,null,$0.000
IL,1598740559897,ALTON CITY POLICE DEPT,Direct Bill,false,6032712121,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
IL,1598740559897,ALTON CITY POLICE DEPT,Inmate Debit,true,2177820244,$0.000,$3.817,$0.267,$3.820,false,null,$0.000
IL,1598740559897,ALTON CITY POLICE DEPT,Inmate Debit,false,6032712121,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
IL,1598740559897,ALTON CITY POLICE DEPT,Traditional Collect,true,2177820244,$0.000,$3.817,$0.267,$3.820,false,null,$0.000
IL,1598740559897,ALTON CITY POLICE DEPT,Traditional Collect,false,6032712121,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
IL,1598740559897,ALTON CITY POLICE DEPT,Voicemail,true,2177820244,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
IL,1598740559897,ALTON CITY POLICE DEPT,Voicemail,false,6032712121,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
IL,1598740565341,BOONE COUNTY JAIL,AdvancedConnect,true,2177820244,$0.000,$3.650,$0.300,$3.650,false,null,$0.000
IL,1598740565341,BOONE COUNTY JAIL,AdvancedConnect,false,4055212342,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
IL,1598740565341,BOONE COUNTY JAIL,Direct Bill,true,2177820244,$0.000,$3.650,$0.300,$3.650,false,null,$0.000
IL,1598740565341,BOONE COUNTY JAIL,Direct Bill,false,4055212342,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
IL,1598740565341,BOONE COUNTY JAIL,Inmate Debit,true,2177820244,$0.000,$0.500,$0.500,$0.500,false,null,$0.000
IL,1598740565341,BOONE COUNTY JAIL,Inmate Debit,false,4055212342,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
IL,1598740565341,BOONE COUNTY JAIL,Traditional Collect,true,2177820244,$0.000,$3.650,$0.300,$3.650,false,null,$0.000
IL,1598740565341,BOONE COUNTY JAIL,Traditional Collect,false,4055212342,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
IL,1598740565341,BOONE COUNTY JAIL,Voicemail,true,2177820244,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
IL,1598740565341,BOONE COUNTY JAIL,Voicemail,false,4055212342,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
IL,1598740570992,CHAMPAIGN COUNTY SATELLITE JAIL,AdvancedConnect,true,2177820244,$0.000,$0.125,$0.125,$0.130,false,null,$0.000
IL,1598740570992,CHAMPAIGN COUNTY SATELLITE JAIL,AdvancedConnect,false,8504887146,$0.000,$0.125,$0.125,$0.130,false,null,$0.000
IL,1598740570992,CHAMPAIGN COUNTY SATELLITE JAIL,Direct Bill,true,2177820244,$0.000,$0.125,$0.125,$0.130,false,null,$0.000
IL,1598740570992,CHAMPAIGN COUNTY SATELLITE JAIL,Direct Bill,false,8504887146,$0.000,$0.125,$0.125,$0.130,false,null,$0.000
IL,1598740570992,CHAMPAIGN COUNTY SATELLITE JAIL,Inmate Debit,true,2177820244,$0.000,$0.125,$0.125,$0.130,false,null,$0.000
IL,1598740570992,CHAMPAIGN COUNTY SATELLITE JAIL,Inmate Debit,false,8504887146,$0.000,$0.125,$0.125,$0.130,false,null,$0.000
IL,1598740570992,CHAMPAIGN COUNTY SATELLITE JAIL,Traditional Collect,true,2177820244,$0.000,$0.125,$0.125,$0.130,false,null,$0.000
IL,1598740570992,CHAMPAIGN COUNTY SATELLITE JAIL,Traditional Collect,false,8504887146,$0.000,$0.125,$0.125,$0.130,false,null,$0.000
IL,1598740570992,CHAMPAIGN COUNTY SATELLITE JAIL,Voicemail,true,2177820244,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
IL,1598740570992,CHAMPAIGN COUNTY SATELLITE JAIL,Voicemail,false,8504887146,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
IL,1598740576500,CHAMPAIGN COUNTY SHERIFF'S OFFICE,AdvancedConnect,true,2177820244,$0.000,$0.125,$0.125,$0.130,false,null,$0.000
IL,1598740576500,CHAMPAIGN COUNTY SHERIFF'S OFFICE,AdvancedConnect,false,6512013400,$0.000,$0.125,$0.125,$0.130,false,null,$0.000
IL,1598740576500,CHAMPAIGN COUNTY SHERIFF'S OFFICE,Direct Bill,true,2177820244,$0.000,$0.125,$0.125,$0.130,false,null,$0.000
IL,1598740576500,CHAMPAIGN COUNTY SHERIFF'S OFFICE,Direct Bill,false,6512013400,$0.000,$0.125,$0.125,$0.130,false,null,$0.000
IL,1598740576500,CHAMPAIGN COUNTY SHERIFF'S OFFICE,Inmate Debit,true,2177820244,$0.000,$0.125,$0.125,$0.130,false,null,$0.000
