state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
IN,1598741342691,BARTHOLOMEW COUNTY JAIL,AdvancedConnect,true,3172324567,$0.000,$0.240,$0.240,$0.240,false,null,$0.000
IN,1598741342691,BARTHOLOMEW COUNTY JAIL,AdvancedConnect,false,8028283333,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
IN,1598741342691,BARTHOLOMEW COUNTY JAIL,Direct Bill,true,3172324567,$0.000,$0.240,$0.240,$0.240,false,null,$0.000
IN,1598741342691,BARTHOLOMEW COUNTY JAIL,Direct Bill,false,8028283333,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
IN,1598741342691,BARTHOLOMEW COUNTY JAIL,Inmate Debit,true,3172324567,$0.000,$0.240,$0.240,$0.240,false,null,$0.000
IN,1598741342691,BARTHOLOMEW COUNTY JAIL,Inmate Debit,false,8028283333,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
IN,1598741342691,BARTHOLOMEW COUNTY JAIL,Traditional Collect,true,3172324567,$0.000,$0.240,$0.240,$0.240,false,null,$0.000
IN,1598741342691,BARTHOLOMEW COUNTY JAIL,Traditional Collect,false,8028283333,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
IN,1598741342691,BARTHOLOMEW COUNTY JAIL,Voicemail,true,3172324567,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
IN,1598741342691,BARTHOLOMEW COUNTY JAIL,Voicemail,false,8028283333,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
IN,1598741349716,CLAY COUNTY JUSTICE CENTER,AdvancedConnect,true,3172324567,$0.000,$0.420,$0.420,$0.420,false,null,$0.000
IN,1598741349716,CLAY COUNTY JUSTICE CENTER,AdvancedConnect,false,9165883160,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
IN,1598741349716,CLAY COUNTY JUSTICE CENTER,Direct Bill,true,3172324567,$0.000,$0.420,$0.420,$0.420,false,null,$0.000
IN,1598741349716,CLAY COUNTY JUSTICE CENTER,Direct Bill,false,9165883160,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
IN,1598741349716,CLAY COUNTY JUSTICE CENTER,Inmate Debit,true,3172324567,$0.000,$0.420,$0.420,$0.420,false,null,$0.000
