state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
KY,1599317722746,BARREN COUNTY DETENTION CENTER,AdvancedConnect,true,5025642517,$0.000,$1.800,$0.300,$1.800,false,null,$0.000
KY,1599317722746,BARREN COUNTY DETENTION CENTER,AdvancedConnect,false,2177820244,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
KY,1599317722746,BARREN COUNTY DETENTION CENTER,Direct Bill,true,5025642517,$0.000,$1.800,$0.300,$1.800,false,null,$0.000
KY,1599317722746,BARREN COUNTY DETENTION CENTER,Direct Bill,false,2177820244,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
KY,1599317722746,BARREN COUNTY DETENTION CENTER,Inmate Debit,true,5025642517,$0.000,$1.800,$0.300,$1.800,false,null,$0.000
KY,1599317722746,BARREN COUNTY DETENTION CENTER,Inmate Debit,false,2177820244,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
KY,1599317722746,BARREN COUNTY DETENTION CENTER,Traditional Collect,true,5025642517,$0.000,$1.800,$0.300,$1.800,false,null,$0.000
KY,1599317722746,BARREN COUNTY DETENTION CENTER,Traditional Collect,false,2177820244,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
KY,1599317722746,BARREN COUNTY DETENTION CENTER,Voicemail,true,5025642517,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
KY,1599317722746,BARREN COUNTY DETENTION CENTER,Voicemail,false,2177820244,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
KY,1599317726766,BIG SANDY REGIONAL DETENTION CENTER,AdvancedConnect,true,5025642517,$0.000,$3.160,$0.410,$3.160,false,null,$0.000
KY,1599317726766,BIG SANDY REGIONAL DETENTION CENTER,AdvancedConnect,false,5184748390,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
KY,1599317726766,BIG SANDY REGIONAL DETENTION CENTER,Direct Bill,true,5025642517,$0.000,$3.160,$0.410,$3.160,false,null,$0.000
KY,1599317726766,BIG SANDY REGIONAL DETENTION CENTER,Direct Bill,false,5184748390,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
KY,1599317726766,BIG SANDY REGIONAL DETENTION CENTER,Inmate Debit,true,5025642517,$0.000,$3.160,$0.410,$3.160,false,null,$0.000
KY,1599317726766,BIG SANDY REGIONAL DETENTION CENTER,Inmate Debit,false,5184748390,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
KY,1599317726766,BIG SANDY REGIONAL DETENTION CENTER,Traditional Collect,true,5025642517,$0.000,$3.160,$0.410,$3.160,false,null,$0.000
KY,1599317726766,BIG SANDY REGIONAL DETENTION CENTER,Traditional Collect,false,5184748390,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
