state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
LA,1599317898027,BERWICK CITY POLICE DEPT,AdvancedConnect,true,2253427015,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
LA,1599317898027,BERWICK CITY POLICE DEPT,AdvancedConnect,false,9074653500,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
LA,1599317898027,BERWICK CITY POLICE DEPT,Direct Bill,true,2253427015,$0.000,$0.300,$0.300,$0.300,false,null,$0.000
LA,1599317898027,BERWICK CITY POLICE DEPT,Direct Bill,false,9074653500,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
LA,1599317898027,BERWICK CITY POLICE DEPT,Inmate Debit,true,2253427015,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
LA,1599317898027,BERWICK CITY POLICE DEPT,Inmate Debit,false,9074653500,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
LA,1599317898027,BERWICK CITY POLICE DEPT,Traditional Collect,true,2253427015,$0.000,$0.300,$0.300,$0.300,false,null,$0.000
LA,1599317898027,BERWICK CITY POLICE DEPT,Traditional Collect,false,9074653500,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
LA,1599317898027,BERWICK CITY POLICE DEPT,Voicemail,true,2253427015,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
LA,1599317898027,BERWICK CITY POLICE DEPT,Voicemail,false,9074653500,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
LA,1599317901800,CEDARWOOD MANOR,AdvancedConnect,true,2253427015,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
LA,1599317901800,CEDARWOOD MANOR,AdvancedConnect,false,6032712121,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
LA,1599317901800,CEDARWOOD MANOR,Direct Bill,true,2253427015,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
LA,1599317901800,CEDARWOOD MANOR,Direct Bill,false,6032712121,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
LA,1599317901800,CEDARWOOD MANOR,Inmate Debit,true,2253427015,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
LA,1599317901800,CEDARWOOD MANOR,Inmate Debit,false,6032712121,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
LA,1599317901800,CEDARWOOD MANOR,Traditional Collect,true,2253427015,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
LA,1599317901800,CEDARWOOD MANOR,Traditional Collect,false,6032712121,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
LA,1599317901800,CEDARWOOD MANOR,Voicemail,true,2253427015,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
LA,1599317901800,CEDARWOOD MANOR,Voicemail,false,6032712121,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
LA,1599317908093,CEDARWOOD MANOR WOMEN'S,AdvancedConnect,true,2253427015,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
LA,1599317908093,CEDARWOOD MANOR WOMEN'S,AdvancedConnect,false,8028283333,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
LA,1599317908093,CEDARWOOD MANOR WOMEN'S,Direct Bill,true,2253427015,$0.000,$0.300,$0.300,$0.300,false,null,$0.000
LA,1599317908093,CEDARWOOD MANOR WOMEN'S,Direct Bill,false,8028283333,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
LA,1599317908093,CEDARWOOD MANOR WOMEN'S,Inmate Debit,true,2253427015,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
LA,1599317908093,CEDARWOOD MANOR WOMEN'S,Inmate Debit,false,8028283333,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
LA,1599317908093,CEDARWOOD MANOR WOMEN'S,Traditional Collect,true,2253427015,$0.000,$0.300,$0.300,$0.300,false,null,$0.000
LA,1599317908093,CEDARWOOD MANOR WOMEN'S,Traditional Collect,false,8028283333,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
LA,1599317908093,CEDARWOOD MANOR WOMEN'S,Voicemail,true,2253427015,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
LA,1599317908093,CEDARWOOD MANOR WOMEN'S,Voicemail,false,8028283333,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
LA,1599317911925,EAST CARROLL RIVERBEND PHASE 2,AdvancedConnect,true,2253427015,$0.000,$0.160,$0.160,$0.160,false,null,$0.000
LA,1599317911925,EAST CARROLL RIVERBEND PHASE 2,AdvancedConnect,false,7852963232,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
LA,1599317911925,EAST CARROLL RIVERBEND PHASE 2,Direct Bill,true,2253427015,$0.000,$0.160,$0.160,$0.160,false,null,$0.000
LA,1599317911925,EAST CARROLL RIVERBEND PHASE 2,Direct Bill,false,7852963232,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
LA,1599317911925,EAST CARROLL RIVERBEND PHASE 2,Inmate Debit,true,2253427015,$0.000,$0.160,$0.160,$0.160,false,null,$0.000
LA,1599317911925,EAST CARROLL RIVERBEND PHASE 2,Inmate Debit,false,7852963232,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
LA,1599317911925,EAST CARROLL RIVERBEND PHASE 2,Traditional Collect,true,2253427015,$0.000,$0.160,$0.160,$0.160,false,null,$0.000
