state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
MA,1599318082599,BARNSTABLE COUNTY CORRECTIONS FACILITY,AdvancedConnect,true,6177254005,$0.000,$3.100,$0.100,$3.100,false,null,$0.000
MA,1599318082599,BARNSTABLE COUNTY CORRECTIONS FACILITY,AdvancedConnect,false,5033784582,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MA,1599318082599,BARNSTABLE COUNTY CORRECTIONS FACILITY,Direct Bill,true,6177254005,$0.000,$3.100,$0.100,$3.100,false,null,$0.000
MA,1599318082599,BARNSTABLE COUNTY CORRECTIONS FACILITY,Direct Bill,false,5033784582,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MA,1599318082599,BARNSTABLE COUNTY CORRECTIONS FACILITY,Inmate Debit,true,6177254005,$0.000,$3.100,$0.100,$3.100,false,null,$0.000
MA,1599318082599,BARNSTABLE COUNTY CORRECTIONS FACILITY,Inmate Debit,false,5033784582,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MA,1599318082599,BARNSTABLE COUNTY CORRECTIONS FACILITY,Traditional Collect,true,6177254005,$0.000,$3.100,$0.100,$3.100,false,null,$0.000
MA,1599318082599,BARNSTABLE COUNTY CORRECTIONS FACILITY,Traditional Collect,false,5033784582,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MA,1599318082599,BARNSTABLE COUNTY CORRECTIONS FACILITY,Voicemail,true,6177254005,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
MA,1599318082599,BARNSTABLE COUNTY CORRECTIONS FACILITY,Voicemail,false,5033784582,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
MA,1599318086368,BERKSHIRE COUNTY HOUSE OF CORRECTIONS,AdvancedConnect,true,6177254005,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MA,1599318086368,BERKSHIRE COUNTY HOUSE OF CORRECTIONS,AdvancedConnect,false,8504887146,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MA,1599318086368,BERKSHIRE COUNTY HOUSE OF CORRECTIONS,Direct Bill,true,6177254005,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MA,1599318086368,BERKSHIRE COUNTY HOUSE OF CORRECTIONS,Direct Bill,false,8504887146,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MA,1599318086368,BERKSHIRE COUNTY HOUSE OF CORRECTIONS,Inmate Debit,true,6177254005,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MA,1599318086368,BERKSHIRE COUNTY HOUSE OF CORRECTIONS,Inmate Debit,false,8504887146,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MA,1599318086368,BERKSHIRE COUNTY HOUSE OF CORRECTIONS,Traditional Collect,true,6177254005,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
