state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
MD,1599318213011,CECIL COUNTY DETENTION CENTER,AdvancedConnect,true,4109743901,$0.000,$0.160,$0.160,$0.160,false,null,$0.000
MD,1599318213011,CECIL COUNTY DETENTION CENTER,AdvancedConnect,false,8015381000,$0.000,$0.160,$0.160,$0.160,false,null,$0.000
MD,1599318213011,CECIL COUNTY DETENTION CENTER,Direct Bill,true,4109743901,$0.000,$0.160,$0.160,$0.160,false,null,$0.000
MD,1599318213011,CECIL COUNTY DETENTION CENTER,Direct Bill,false,8015381000,$0.000,$0.160,$0.160,$0.160,false,null,$0.000
MD,1599318213011,CECIL COUNTY DETENTION CENTER,Inmate Debit,true,4109743901,$0.000,$0.160,$0.160,$0.160,false,null,$0.000
MD,1599318213011,CECIL COUNTY DETENTION CENTER,Inmate Debit,false,8015381000,$0.000,$0.160,$0.160,$0.160,false,null,$0.000
MD,1599318213011,CECIL COUNTY DETENTION CENTER,Traditional Collect,true,4109743901,$0.000,$0.160,$0.160,$0.160,false,null,$0.000
MD,1599318213011,CECIL COUNTY DETENTION CENTER,Traditional Collect,false,8015381000,$0.000,$0.160,$0.160,$0.160,false,null,$0.000
MD,1599318213011,CECIL COUNTY DETENTION CENTER,Voicemail,true,4109743901,$0.000,$0.160,$0.160,$0.160,false,null,$0.000
MD,1599318213011,CECIL COUNTY DETENTION CENTER,Voicemail,false,8015381000,$0.000,$0.160,$0.160,$0.160,false,null,$0.000
MD,1599318217012,DORCHESTER COUNTY DETENTION CENTER,AdvancedConnect,true,4109743901,$0.000,$0.220,$0.220,$0.220,false,null,$0.000
MD,1599318217012,DORCHESTER COUNTY DETENTION CENTER,AdvancedConnect,false,3077777434,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MD,1599318217012,DORCHESTER COUNTY DETENTION CENTER,Direct Bill,true,4109743901,$0.000,$0.220,$0.220,$0.220,false,null,$0.000
MD,1599318217012,DORCHESTER COUNTY DETENTION CENTER,Direct Bill,false,3077777434,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MD,1599318217012,DORCHESTER COUNTY DETENTION CENTER,Inmate Debit,true,4109743901,$0.000,$0.220,$0.220,$0.220,false,null,$0.000
MD,1599318217012,DORCHESTER COUNTY DETENTION CENTER,Inmate Debit,false,3077777434,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MD,1599318217012,DORCHESTER COUNTY DETENTION CENTER,Traditional Collect,true,4109743901,$0.000,$0.220,$0.220,$0.220,false,null,$0.000
MD,1599318217012,DORCHESTER COUNTY DETENTION CENTER,Traditional Collect,false,3077777434,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MD,1599318217012,DORCHESTER COUNTY DETENTION CENTER,Voicemail,true,4109743901,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
MD,1599318217012,DORCHESTER COUNTY DETENTION CENTER,Voicemail,false,3077777434,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
MD,1599318221149,QUEEN ANNE'S COUNTY DETENTION CENTER,AdvancedConnect,true,4109743901,$0.000,$0.250,$0.140,$0.250,false,null,$0.000
MD,1599318221149,QUEEN ANNE'S COUNTY DETENTION CENTER,AdvancedConnect,false,6013593150,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MD,1599318221149,QUEEN ANNE'S COUNTY DETENTION CENTER,Direct Bill,true,4109743901,$0.000,$0.250,$0.140,$0.250,false,null,$0.000
MD,1599318221149,QUEEN ANNE'S COUNTY DETENTION CENTER,Direct Bill,false,6013593150,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MD,1599318221149,QUEEN ANNE'S COUNTY DETENTION CENTER,Inmate Debit,true,4109743901,$0.000,$0.250,$0.140,$0.250,false,null,$0.000
MD,1599318221149,QUEEN ANNE'S COUNTY DETENTION CENTER,Inmate Debit,false,6013593150,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MD,1599318221149,QUEEN ANNE'S COUNTY DETENTION CENTER,Traditional Collect,true,4109743901,$0.000,$0.250,$0.140,$0.250,false,null,$0.000
MD,1599318221149,QUEEN ANNE'S COUNTY DETENTION CENTER,Traditional Collect,false,6013593150,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MD,1599318221149,QUEEN ANNE'S COUNTY DETENTION CENTER,Voicemail,true,4109743901,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
MD,1599318221149,QUEEN ANNE'S COUNTY DETENTION CENTER,Voicemail,false,6013593150,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
MD,1599318225362,SOMERSET COUNTY DETENTION CENTER,AdvancedConnect,true,4109743901,$0.000,$0.160,$0.160,$0.160,false,null,$0.000
MD,1599318225362,SOMERSET COUNTY DETENTION CENTER,AdvancedConnect,false,3045882000,$0.000,$0.160,$0.160,$0.160,false,null,$0.000
MD,1599318225362,SOMERSET COUNTY DETENTION CENTER,Direct Bill,true,4109743901,$0.000,$0.160,$0.160,$0.160,false,null,$0.000
MD,1599318225362,SOMERSET COUNTY DETENTION CENTER,Direct Bill,false,3045882000,$0.000,$0.160,$0.160,$0.160,false,null,$0.000
MD,1599318225362,SOMERSET COUNTY DETENTION CENTER,Inmate Debit,true,4109743901,$0.000,$0.160,$0.160,$0.160,false,null,$0.000
MD,1599318225362,SOMERSET COUNTY DETENTION CENTER,Inmate Debit,false,3045882000,$0.000,$0.160,$0.160,$0.160,false,null,$0.000
MD,1599318225362,SOMERSET COUNTY DETENTION CENTER,Traditional Collect,true,4109743901,$0.000,$0.160,$0.160,$0.160,false,null,$0.000
MD,1599318225362,SOMERSET COUNTY DETENTION CENTER,Traditional Collect,false,3045882000,$0.000,$0.160,$0.160,$0.160,false,null,$0.000
MD,1599318225362,SOMERSET COUNTY DETENTION CENTER,Voicemail,true,4109743901,$0.000,$0.160,$0.160,$0.160,false,null,$0.000
MD,1599318225362,SOMERSET COUNTY DETENTION CENTER,Voicemail,false,3045882000,$0.000,$0.160,$0.160,$0.160,false,null,$0.000
MD,1599318229372,TALBOT COUNTY DETENTION CENTER,AdvancedConnect,true,4109743901,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MD,1599318229372,TALBOT COUNTY DETENTION CENTER,AdvancedConnect,false,8015381000,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MD,1599318229372,TALBOT COUNTY DETENTION CENTER,Direct Bill,true,4109743901,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MD,1599318229372,TALBOT COUNTY DETENTION CENTER,Direct Bill,false,8015381000,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MD,1599318229372,TALBOT COUNTY DETENTION CENTER,Inmate Debit,true,4109743901,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MD,1599318229372,TALBOT COUNTY DETENTION CENTER,Inmate Debit,false,8015381000,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MD,1599318229372,TALBOT COUNTY DETENTION CENTER,Traditional Collect,true,4109743901,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MD,1599318229372,TALBOT COUNTY DETENTION CENTER,Traditional Collect,false,8015381000,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MD,1599318229372,TALBOT COUNTY DETENTION CENTER,Voicemail,true,4109743901,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
MD,1599318229372,TALBOT COUNTY DETENTION CENTER,Voicemail,false,8015381000,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
MD,1599318233095,WORCESTER COUNTY DETENTION CENTER,AdvancedConnect,true,4109743901,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MD,1599318233095,WORCESTER COUNTY DETENTION CENTER,AdvancedConnect,false,6032712121,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
