state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
MN,1598744634952,BROOKLYN PARK POLICE DEPT,AdvancedConnect,true,6512013400,$0.000,$3.000,$0.250,$3.000,false,null,$0.000
MN,1598744634952,BROOKLYN PARK POLICE DEPT,AdvancedConnect,false,3342427100,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MN,1598744634952,BROOKLYN PARK POLICE DEPT,Direct Bill,true,6512013400,$0.000,$3.000,$0.250,$3.000,false,null,$0.000
MN,1598744634952,BROOKLYN PARK POLICE DEPT,Direct Bill,false,3342427100,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MN,1598744634952,BROOKLYN PARK POLICE DEPT,Inmate Debit,true,6512013400,$0.000,$3.000,$0.250,$3.000,false,null,$0.000
MN,1598744634952,BROOKLYN PARK POLICE DEPT,Inmate Debit,false,3342427100,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MN,1598744634952,BROOKLYN PARK POLICE DEPT,Traditional Collect,true,6512013400,$0.000,$3.000,$0.250,$3.000,false,null,$0.000
MN,1598744634952,BROOKLYN PARK POLICE DEPT,Traditional Collect,false,3342427100,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MN,1598744634952,BROOKLYN PARK POLICE DEPT,Voicemail,true,6512013400,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
MN,1598744634952,BROOKLYN PARK POLICE DEPT,Voicemail,false,3342427100,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
MN,1598744639988,CARVER COUNTY JAIL,AdvancedConnect,true,6512013400,$0.000,$2.100,$0.350,$2.100,false,null,$0.000
MN,1598744639988,CARVER COUNTY JAIL,AdvancedConnect,false,5054762200,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MN,1598744639988,CARVER COUNTY JAIL,Direct Bill,true,6512013400,$0.000,$2.100,$0.350,$2.100,false,null,$0.000
MN,1598744639988,CARVER COUNTY JAIL,Direct Bill,false,5054762200,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MN,1598744639988,CARVER COUNTY JAIL,Inmate Debit,true,6512013400,$0.000,$2.100,$0.350,$2.100,false,null,$0.000
MN,1598744639988,CARVER COUNTY JAIL,Inmate Debit,false,5054762200,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MN,1598744639988,CARVER COUNTY JAIL,Traditional Collect,true,6512013400,$0.000,$2.100,$0.350,$2.100,false,null,$0.000
MN,1598744639988,CARVER COUNTY JAIL,Traditional Collect,false,5054762200,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MN,1598744639988,CARVER COUNTY JAIL,Voicemail,true,6512013400,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
MN,1598744639988,CARVER COUNTY JAIL,Voicemail,false,5054762200,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
MN,1598744650661,DAKOTA COUNTY SHERIFF'S DEPT,AdvancedConnect,true,6512013400,$0.000,$0.180,$0.180,$0.180,false,null,$0.000
MN,1598744650661,DAKOTA COUNTY SHERIFF'S DEPT,AdvancedConnect,false,6092926000,$0.000,$0.180,$0.180,$0.180,false,null,$0.000
MN,1598744650661,DAKOTA COUNTY SHERIFF'S DEPT,Direct Bill,true,6512013400,$0.000,$0.180,$0.180,$0.180,false,null,$0.000
MN,1598744650661,DAKOTA COUNTY SHERIFF'S DEPT,Direct Bill,false,6092926000,$0.000,$0.180,$0.180,$0.180,false,null,$0.000
MN,1598744650661,DAKOTA COUNTY SHERIFF'S DEPT,Inmate Debit,true,6512013400,$0.000,$0.180,$0.180,$0.180,false,null,$0.000
MN,1598744650661,DAKOTA COUNTY SHERIFF'S DEPT,Inmate Debit,false,6092926000,$0.000,$0.180,$0.180,$0.180,false,null,$0.000
MN,1598744650661,DAKOTA COUNTY SHERIFF'S DEPT,Traditional Collect,true,6512013400,$0.000,$0.180,$0.180,$0.180,false,null,$0.000
MN,1598744650661,DAKOTA COUNTY SHERIFF'S DEPT,Traditional Collect,false,6092926000,$0.000,$0.180,$0.180,$0.180,false,null,$0.000
MN,1598744650661,DAKOTA COUNTY SHERIFF'S DEPT,Voicemail,true,6512013400,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
MN,1598744650661,DAKOTA COUNTY SHERIFF'S DEPT,Voicemail,false,6092926000,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
MN,1598744654398,GOODHUE SHERFF'S DEPT,AdvancedConnect,true,6512013400,$0.000,$0.361,$0.261,$0.370,false,null,$0.000
MN,1598744654398,GOODHUE SHERFF'S DEPT,AdvancedConnect,false,7756845670,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MN,1598744654398,GOODHUE SHERFF'S DEPT,Direct Bill,true,6512013400,$0.000,$0.361,$0.261,$0.370,false,null,$0.000
MN,1598744654398,GOODHUE SHERFF'S DEPT,Direct Bill,false,7756845670,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MN,1598744654398,GOODHUE SHERFF'S DEPT,Inmate Debit,true,6512013400,$0.000,$0.361,$0.261,$0.370,false,null,$0.000
MN,1598744654398,GOODHUE SHERFF'S DEPT,Inmate Debit,false,7756845670,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MN,1598744654398,GOODHUE SHERFF'S DEPT,Traditional Collect,true,6512013400,$0.000,$0.361,$0.261,$0.370,false,null,$0.000
MN,1598744654398,GOODHUE SHERFF'S DEPT,Traditional Collect,false,7756845670,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MN,1598744654398,GOODHUE SHERFF'S DEPT,Voicemail,true,6512013400,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
MN,1598744654398,GOODHUE SHERFF'S DEPT,Voicemail,false,7756845670,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
MN,1598744658288,HENNEPIN COUNTY ADULT DETENTION CENTER,AdvancedConnect,true,6512013400,$0.000,$0.140,$0.140,$0.140,false,null,$0.000
MN,1598744658288,HENNEPIN COUNTY ADULT DETENTION CENTER,AdvancedConnect,false,6032712121,$0.000,$0.140,$0.140,$0.140,false,null,$0.000
MN,1598744658288,HENNEPIN COUNTY ADULT DETENTION CENTER,Direct Bill,true,6512013400,$0.000,$0.140,$0.140,$0.140,false,null,$0.000
MN,1598744658288,HENNEPIN COUNTY ADULT DETENTION CENTER,Direct Bill,false,6032712121,$0.000,$0.140,$0.140,$0.140,false,null,$0.000
MN,1598744658288,HENNEPIN COUNTY ADULT DETENTION CENTER,Inmate Debit,true,6512013400,$0.000,$0.140,$0.140,$0.140,false,null,$0.000
MN,1598744658288,HENNEPIN COUNTY ADULT DETENTION CENTER,Inmate Debit,false,6032712121,$0.000,$0.140,$0.140,$0.140,false,null,$0.000
MN,1598744658288,HENNEPIN COUNTY ADULT DETENTION CENTER,Traditional Collect,true,6512013400,$0.000,$0.140,$0.140,$0.140,false,null,$0.000
MN,1598744658288,HENNEPIN COUNTY ADULT DETENTION CENTER,Traditional Collect,false,6032712121,$0.000,$0.140,$0.140,$0.140,false,null,$0.000
MN,1598744658288,HENNEPIN COUNTY ADULT DETENTION CENTER,Voicemail,true,6512013400,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
MN,1598744658288,HENNEPIN COUNTY ADULT DETENTION CENTER,Voicemail,false,6032712121,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
MN,1598744662307,HENNEPIN COUNTY ADULT DETENTION CENTER - WORK CENTER,AdvancedConnect,true,6512013400,$0.000,$0.140,$0.140,$0.140,false,null,$0.000
MN,1598744662307,HENNEPIN COUNTY ADULT DETENTION CENTER - WORK CENTER,AdvancedConnect,false,5124632000,$0.000,$0.140,$0.140,$0.140,false,null,$0.000
MN,1598744662307,HENNEPIN COUNTY ADULT DETENTION CENTER - WORK CENTER,Direct Bill,true,6512013400,$0.000,$0.140,$0.140,$0.140,false,null,$0.000
MN,1598744662307,HENNEPIN COUNTY ADULT DETENTION CENTER - WORK CENTER,Direct Bill,false,5124632000,$0.000,$0.140,$0.140,$0.140,false,null,$0.000
MN,1598744662307,HENNEPIN COUNTY ADULT DETENTION CENTER - WORK CENTER,Inmate Debit,true,6512013400,$0.000,$0.140,$0.140,$0.140,false,null,$0.000
MN,1598744662307,HENNEPIN COUNTY ADULT DETENTION CENTER - WORK CENTER,Inmate Debit,false,5124632000,$0.000,$0.140,$0.140,$0.140,false,null,$0.000
MN,1598744662307,HENNEPIN COUNTY ADULT DETENTION CENTER - WORK CENTER,Traditional Collect,true,6512013400,$0.000,$0.140,$0.140,$0.140,false,null,$0.000
MN,1598744662307,HENNEPIN COUNTY ADULT DETENTION CENTER - WORK CENTER,Traditional Collect,false,5124632000,$0.000,$0.140,$0.140,$0.140,false,null,$0.000
MN,1598744662307,HENNEPIN COUNTY ADULT DETENTION CENTER - WORK CENTER,Voicemail,true,6512013400,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
MN,1598744662307,HENNEPIN COUNTY ADULT DETENTION CENTER - WORK CENTER,Voicemail,false,5124632000,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
MN,1598744666010,KANDIYOHI COUNTY JAIL,AdvancedConnect,true,6512013400,$0.000,$0.400,$0.400,$0.400,false,null,$0.000
MN,1598744666010,KANDIYOHI COUNTY JAIL,AdvancedConnect,false,9165883160,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MN,1598744666010,KANDIYOHI COUNTY JAIL,Direct Bill,true,6512013400,$0.000,$0.500,$0.500,$0.500,false,null,$0.000
MN,1598744666010,KANDIYOHI COUNTY JAIL,Direct Bill,false,9165883160,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MN,1598744666010,KANDIYOHI COUNTY JAIL,Inmate Debit,true,6512013400,$0.000,$0.400,$0.400,$0.400,false,null,$0.000
MN,1598744666010,KANDIYOHI COUNTY JAIL,Inmate Debit,false,9165883160,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MN,1598744666010,KANDIYOHI COUNTY JAIL,Traditional Collect,true,6512013400,$0.000,$0.400,$0.400,$0.400,false,null,$0.000
MN,1598744666010,KANDIYOHI COUNTY JAIL,Traditional Collect,false,9165883160,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MN,1598744666010,KANDIYOHI COUNTY JAIL,Voicemail,true,6512013400,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
MN,1598744666010,KANDIYOHI COUNTY JAIL,Voicemail,false,9165883160,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
MN,1598744669980,MCLEOD COUNTY JAIL,AdvancedConnect,true,6512013400,$0.000,$4.091,$0.491,$4.100,false,null,$0.000
MN,1598744669980,MCLEOD COUNTY JAIL,AdvancedConnect,false,8085860034,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MN,1598744669980,MCLEOD COUNTY JAIL,Direct Bill,true,6512013400,$0.000,$4.091,$0.491,$4.100,false,null,$0.000
MN,1598744669980,MCLEOD COUNTY JAIL,Direct Bill,false,8085860034,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MN,1598744669980,MCLEOD COUNTY JAIL,Inmate Debit,true,6512013400,$0.000,$4.091,$0.491,$4.100,false,null,$0.000
MN,1598744669980,MCLEOD COUNTY JAIL,Inmate Debit,false,8085860034,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MN,1598744669980,MCLEOD COUNTY JAIL,Traditional Collect,true,6512013400,$0.000,$4.091,$0.491,$4.100,false,null,$0.000
MN,1598744669980,MCLEOD COUNTY JAIL,Traditional Collect,false,8085860034,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MN,1598744669980,MCLEOD COUNTY JAIL,Voicemail,true,6512013400,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
MN,1598744669980,MCLEOD COUNTY JAIL,Voicemail,false,8085860034,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
MN,1598744674316,NORTHWEST REGIONAL CORRECTIONS CENTER,AdvancedConnect,true,6512013400,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MN,1598744674316,NORTHWEST REGIONAL CORRECTIONS CENTER,AdvancedConnect,false,6082661212,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MN,1598744674316,NORTHWEST REGIONAL CORRECTIONS CENTER,Direct Bill,true,6512013400,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MN,1598744674316,NORTHWEST REGIONAL CORRECTIONS CENTER,Direct Bill,false,6082661212,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MN,1598744674316,NORTHWEST REGIONAL CORRECTIONS CENTER,Inmate Debit,true,6512013400,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MN,1598744674316,NORTHWEST REGIONAL CORRECTIONS CENTER,Inmate Debit,false,6082661212,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
