state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
MO,1598744710356,ARNOLD CITY JAIL,AdvancedConnect,true,5737513222,$0.000,$3.501,$0.651,$3.510,false,null,$0.000
MO,1598744710356,ARNOLD CITY JAIL,AdvancedConnect,false,8085860034,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MO,1598744710356,ARNOLD CITY JAIL,Direct Bill,true,5737513222,$0.000,$3.501,$0.651,$3.510,false,null,$0.000
MO,1598744710356,ARNOLD CITY JAIL,Direct Bill,false,8085860034,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MO,1598744710356,ARNOLD CITY JAIL,Inmate Debit,true,5737513222,$0.000,$3.501,$0.651,$3.510,false,null,$0.000
MO,1598744710356,ARNOLD CITY JAIL,Inmate Debit,false,8085860034,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MO,1598744710356,ARNOLD CITY JAIL,Traditional Collect,true,5737513222,$0.000,$3.501,$0.651,$3.510,false,null,$0.000
MO,1598744710356,ARNOLD CITY JAIL,Traditional Collect,false,8085860034,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MO,1598744710356,ARNOLD CITY JAIL,Voicemail,true,5737513222,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
MO,1598744710356,ARNOLD CITY JAIL,Voicemail,false,8085860034,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
MO,1598744714395,AURORA CITY POLICE DEPT,AdvancedConnect,true,5737513222,$0.000,$3.251,$0.651,$3.260,false,null,$0.000
MO,1598744714395,AURORA CITY POLICE DEPT,AdvancedConnect,false,5025642517,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MO,1598744714395,AURORA CITY POLICE DEPT,Direct Bill,true,5737513222,$0.000,$3.251,$0.651,$3.260,false,null,$0.000
MO,1598744714395,AURORA CITY POLICE DEPT,Direct Bill,false,5025642517,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MO,1598744714395,AURORA CITY POLICE DEPT,Inmate Debit,true,5737513222,$0.000,$3.251,$0.651,$3.260,false,null,$0.000
MO,1598744714395,AURORA CITY POLICE DEPT,Inmate Debit,false,5025642517,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MO,1598744714395,AURORA CITY POLICE DEPT,Traditional Collect,true,5737513222,$0.000,$3.251,$0.651,$3.260,false,null,$0.000
MO,1598744714395,AURORA CITY POLICE DEPT,Traditional Collect,false,5025642517,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MO,1598744714395,AURORA CITY POLICE DEPT,Voicemail,true,5737513222,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
MO,1598744714395,AURORA CITY POLICE DEPT,Voicemail,false,5025642517,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
MO,1598744718505,BERKELEY CITY POLICE DEPT (NEW),AdvancedConnect,true,5737513222,$0.000,$3.251,$0.651,$3.260,false,null,$0.000
MO,1598744718505,BERKELEY CITY POLICE DEPT (NEW),AdvancedConnect,false,3172324567,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MO,1598744718505,BERKELEY CITY POLICE DEPT (NEW),Direct Bill,true,5737513222,$0.000,$3.251,$0.651,$3.260,false,null,$0.000
MO,1598744718505,BERKELEY CITY POLICE DEPT (NEW),Direct Bill,false,3172324567,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MO,1598744718505,BERKELEY CITY POLICE DEPT (NEW),Inmate Debit,true,5737513222,$0.000,$3.251,$0.651,$3.260,false,null,$0.000
MO,1598744718505,BERKELEY CITY POLICE DEPT (NEW),Inmate Debit,false,3172324567,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MO,1598744718505,BERKELEY CITY POLICE DEPT (NEW),Traditional Collect,true,5737513222,$0.000,$3.251,$0.651,$3.260,false,null,$0.000
MO,1598744718505,BERKELEY CITY POLICE DEPT (NEW),Traditional Collect,false,3172324567,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MO,1598744718505,BERKELEY CITY POLICE DEPT (NEW),Voicemail,true,5737513222,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
MO,1598744718505,BERKELEY CITY POLICE DEPT (NEW),Voicemail,false,3172324567,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
MO,1598744722670,BLUE SPRINGS POLICE DEPT,AdvancedConnect,true,5737513222,$0.000,$1.310,$0.500,$1.310,false,null,$0.000
MO,1598744722670,BLUE SPRINGS POLICE DEPT,AdvancedConnect,false,3609024111,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MO,1598744722670,BLUE SPRINGS POLICE DEPT,Direct Bill,true,5737513222,$0.000,$1.310,$0.500,$1.310,false,null,$0.000
MO,1598744722670,BLUE SPRINGS POLICE DEPT,Direct Bill,false,3609024111,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MO,1598744722670,BLUE SPRINGS POLICE DEPT,Inmate Debit,true,5737513222,$0.000,$1.310,$0.500,$1.310,false,null,$0.000
MO,1598744722670,BLUE SPRINGS POLICE DEPT,Inmate Debit,false,3609024111,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MO,1598744722670,BLUE SPRINGS POLICE DEPT,Traditional Collect,true,5737513222,$0.000,$1.310,$0.500,$1.310,false,null,$0.000
MO,1598744722670,BLUE SPRINGS POLICE DEPT,Traditional Collect,false,3609024111,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MO,1598744722670,BLUE SPRINGS POLICE DEPT,Voicemail,true,5737513222,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
MO,1598744722670,BLUE SPRINGS POLICE DEPT,Voicemail,false,3609024111,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
MO,1598744726674,BUCHANAN COUNTY JAIL,AdvancedConnect,true,5737513222,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MO,1598744726674,BUCHANAN COUNTY JAIL,AdvancedConnect,false,3609024111,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MO,1598744726674,BUCHANAN COUNTY JAIL,Direct Bill,true,5737513222,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
