state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
MS,1599318773400,CHICKASAW COUNTY JAIL,AdvancedConnect,true,6013593150,$0.000,$0.500,$0.500,$0.500,false,null,$0.000
MS,1599318773400,CHICKASAW COUNTY JAIL,AdvancedConnect,false,2072873531,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MS,1599318773400,CHICKASAW COUNTY JAIL,Direct Bill,true,6013593150,$0.000,$0.500,$0.500,$0.500,false,null,$0.000
MS,1599318773400,CHICKASAW COUNTY JAIL,Direct Bill,false,2072873531,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MS,1599318773400,CHICKASAW COUNTY JAIL,Inmate Debit,true,6013593150,$0.000,$0.500,$0.500,$0.500,false,null,$0.000
MS,1599318773400,CHICKASAW COUNTY JAIL,Inmate Debit,false,2072873531,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MS,1599318773400,CHICKASAW COUNTY JAIL,Traditional Collect,true,6013593150,$0.000,$0.500,$0.500,$0.500,false,null,$0.000
MS,1599318773400,CHICKASAW COUNTY JAIL,Traditional Collect,false,2072873531,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MS,1599318773400,CHICKASAW COUNTY JAIL,Voicemail,true,6013593150,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
MS,1599318773400,CHICKASAW COUNTY JAIL,Voicemail,false,2072873531,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
MS,1599318777115,CHICKASAW COUNTY REGIONAL CORRECTIONAL FACILITY,AdvancedConnect,true,6013593150,$0.000,$0.110,$0.110,$0.110,false,null,$0.000
MS,1599318777115,CHICKASAW COUNTY REGIONAL CORRECTIONAL FACILITY,AdvancedConnect,false,5054762200,$0.000,$0.110,$0.110,$0.110,false,null,$0.000
MS,1599318777115,CHICKASAW COUNTY REGIONAL CORRECTIONAL FACILITY,Direct Bill,true,6013593150,$0.000,$0.110,$0.110,$0.110,false,null,$0.000
MS,1599318777115,CHICKASAW COUNTY REGIONAL CORRECTIONAL FACILITY,Direct Bill,false,5054762200,$0.000,$0.110,$0.110,$0.110,false,null,$0.000
MS,1599318777115,CHICKASAW COUNTY REGIONAL CORRECTIONAL FACILITY,Inmate Debit,true,6013593150,$0.000,$0.110,$0.110,$0.110,false,null,$0.000
MS,1599318777115,CHICKASAW COUNTY REGIONAL CORRECTIONAL FACILITY,Inmate Debit,false,5054762200,$0.000,$0.110,$0.110,$0.110,false,null,$0.000
MS,1599318777115,CHICKASAW COUNTY REGIONAL CORRECTIONAL FACILITY,Traditional Collect,true,6013593150,$0.000,$0.110,$0.110,$0.110,false,null,$0.000
MS,1599318777115,CHICKASAW COUNTY REGIONAL CORRECTIONAL FACILITY,Traditional Collect,false,5054762200,$0.000,$0.110,$0.110,$0.110,false,null,$0.000
MS,1599318777115,CHICKASAW COUNTY REGIONAL CORRECTIONAL FACILITY,Voicemail,true,6013593150,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
MS,1599318777115,CHICKASAW COUNTY REGIONAL CORRECTIONAL FACILITY,Voicemail,false,5054762200,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
MS,1599318781050,COPIAH COUNTY DETENTION CENTER,AdvancedConnect,true,6013593150,$0.000,$0.500,$0.500,$0.500,false,null,$0.000
MS,1599318781050,COPIAH COUNTY DETENTION CENTER,AdvancedConnect,false,4012222080,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MS,1599318781050,COPIAH COUNTY DETENTION CENTER,Direct Bill,true,6013593150,$0.000,$0.500,$0.500,$0.500,false,null,$0.000
MS,1599318781050,COPIAH COUNTY DETENTION CENTER,Direct Bill,false,4012222080,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MS,1599318781050,COPIAH COUNTY DETENTION CENTER,Inmate Debit,true,6013593150,$0.000,$0.500,$0.500,$0.500,false,null,$0.000
MS,1599318781050,COPIAH COUNTY DETENTION CENTER,Inmate Debit,false,4012222080,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
MS,1599318781050,COPIAH COUNTY DETENTION CENTER,Traditional Collect,true,6013593150,$0.000,$0.500,$0.500,$0.500,false,null,$0.000
MS,1599318781050,COPIAH COUNTY DETENTION CENTER,Traditional Collect,false,4012222080,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
MS,1599318781050,COPIAH COUNTY DETENTION CENTER,Voicemail,true,6013593150,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
MS,1599318781050,COPIAH COUNTY DETENTION CENTER,Voicemail,false,4012222080,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
MS,1599318785259,DESOTO COUNTY ADULT DETENTION CENTER,AdvancedConnect,true,6013593150,$0.000,$0.500,$0.500,$0.500,false,null,$0.000
MS,1599318785259,DESOTO COUNTY ADULT DETENTION CENTER,AdvancedConnect,false,6057333212,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
