state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
NC,1598745138762,ALBEMARLE DISTRICT JAIL,AdvancedConnect,true,9198142000,$0.000,$0.240,$0.240,$0.240,false,null,$0.000
NC,1598745138762,ALBEMARLE DISTRICT JAIL,AdvancedConnect,false,4109743901,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NC,1598745138762,ALBEMARLE DISTRICT JAIL,Direct Bill,true,9198142000,$0.000,$0.240,$0.240,$0.240,false,null,$0.000
NC,1598745138762,ALBEMARLE DISTRICT JAIL,Direct Bill,false,4109743901,$0.000,$0.240,$0.240,$0.240,false,null,$0.000
NC,1598745138762,ALBEMARLE DISTRICT JAIL,Inmate Debit,true,9198142000,$0.000,$0.240,$0.240,$0.240,false,null,$0.000
NC,1598745138762,ALBEMARLE DISTRICT JAIL,Inmate Debit,false,4109743901,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NC,1598745138762,ALBEMARLE DISTRICT JAIL,Traditional Collect,true,9198142000,$0.000,$0.240,$0.240,$0.240,false,null,$0.000
NC,1598745138762,ALBEMARLE DISTRICT JAIL,Traditional Collect,false,4109743901,$0.000,$0.240,$0.240,$0.240,false,null,$0.000
NC,1598745138762,ALBEMARLE DISTRICT JAIL,Voicemail,true,9198142000,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
NC,1598745138762,ALBEMARLE DISTRICT JAIL,Voicemail,false,4109743901,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
NC,1598745142876,ANSON COUNTY SHERIFF'S OFFICE,AdvancedConnect,true,9198142000,$0.000,$0.240,$0.240,$0.240,false,null,$0.000
NC,1598745142876,ANSON COUNTY SHERIFF'S OFFICE,AdvancedConnect,false,5025642517,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NC,1598745142876,ANSON COUNTY SHERIFF'S OFFICE,Direct Bill,true,9198142000,$0.000,$0.240,$0.240,$0.240,false,null,$0.000
