state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
NH,1599319156519,BELKNAP COUNTY HOC,AdvancedConnect,true,6032712121,$0.000,$2.270,$0.300,$2.270,false,null,$0.000
NH,1599319156519,BELKNAP COUNTY HOC,AdvancedConnect,false,5025642517,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NH,1599319156519,BELKNAP COUNTY HOC,Direct Bill,true,6032712121,$0.000,$2.270,$0.300,$2.270,false,null,$0.000
NH,1599319156519,BELKNAP COUNTY HOC,Direct Bill,false,5025642517,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
NH,1599319156519,BELKNAP COUNTY HOC,Inmate Debit,true,6032712121,$0.000,$1.920,$0.300,$1.920,false,null,$0.000
NH,1599319156519,BELKNAP COUNTY HOC,Inmate Debit,false,5025642517,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NH,1599319156519,BELKNAP COUNTY HOC,Traditional Collect,true,6032712121,$0.000,$2.270,$0.300,$2.270,false,null,$0.000
NH,1599319156519,BELKNAP COUNTY HOC,Traditional Collect,false,5025642517,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
NH,1599319156519,BELKNAP COUNTY HOC,Voicemail,true,6032712121,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
NH,1599319156519,BELKNAP COUNTY HOC,Voicemail,false,5025642517,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
NH,1599319160352,CARROLL COUNTY DOC,AdvancedConnect,true,6032712121,$0.000,$1.710,$0.210,$1.710,false,null,$0.000
NH,1599319160352,CARROLL COUNTY DOC,AdvancedConnect,false,5016822345,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NH,1599319160352,CARROLL COUNTY DOC,Direct Bill,true,6032712121,$0.000,$1.710,$0.210,$1.710,false,null,$0.000
NH,1599319160352,CARROLL COUNTY DOC,Direct Bill,false,5016822345,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
