state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
NM,1599319192041,CHAVES COUNTY ADULT DETENTION CENTER,AdvancedConnect,true,5054762200,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
NM,1599319192041,CHAVES COUNTY ADULT DETENTION CENTER,AdvancedConnect,false,8504887146,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NM,1599319192041,CHAVES COUNTY ADULT DETENTION CENTER,Direct Bill,true,5054762200,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
NM,1599319192041,CHAVES COUNTY ADULT DETENTION CENTER,Direct Bill,false,8504887146,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
NM,1599319192041,CHAVES COUNTY ADULT DETENTION CENTER,Inmate Debit,true,5054762200,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
NM,1599319192041,CHAVES COUNTY ADULT DETENTION CENTER,Inmate Debit,false,8504887146,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NM,1599319192041,CHAVES COUNTY ADULT DETENTION CENTER,Traditional Collect,true,5054762200,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
NM,1599319192041,CHAVES COUNTY ADULT DETENTION CENTER,Traditional Collect,false,8504887146,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
NM,1599319192041,CHAVES COUNTY ADULT DETENTION CENTER,Voicemail,true,5054762200,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
NM,1599319192041,CHAVES COUNTY ADULT DETENTION CENTER,Voicemail,false,8504887146,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
NM,1599319195895,CURRY COUNTY DETENTION CENTER,AdvancedConnect,true,5054762200,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
NM,1599319195895,CURRY COUNTY DETENTION CENTER,AdvancedConnect,false,3342427100,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
NM,1599319195895,CURRY COUNTY DETENTION CENTER,Direct Bill,true,5054762200,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
NM,1599319195895,CURRY COUNTY DETENTION CENTER,Direct Bill,false,3342427100,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
NM,1599319195895,CURRY COUNTY DETENTION CENTER,Inmate Debit,true,5054762200,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
NM,1599319195895,CURRY COUNTY DETENTION CENTER,Inmate Debit,false,3342427100,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
NM,1599319195895,CURRY COUNTY DETENTION CENTER,Traditional Collect,true,5054762200,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
NM,1599319195895,CURRY COUNTY DETENTION CENTER,Traditional Collect,false,3342427100,$0.000,$0.150,$0.150,$0.150,false,null,$0.000
NM,1599319195895,CURRY COUNTY DETENTION CENTER,Voicemail,true,5054762200,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
NM,1599319195895,CURRY COUNTY DETENTION CENTER,Voicemail,false,3342427100,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
NM,1599319199638,EDDY COUNTY ADULT DETENTION,AdvancedConnect,true,5054762200,$0.000,$0.110,$0.110,$0.110,false,null,$0.000
NM,1599319199638,EDDY COUNTY ADULT DETENTION,AdvancedConnect,false,5025642517,$0.000,$0.110,$0.110,$0.110,false,null,$0.000
NM,1599319199638,EDDY COUNTY ADULT DETENTION,Direct Bill,true,5054762200,$0.000,$0.110,$0.110,$0.110,false,null,$0.000
NM,1599319199638,EDDY COUNTY ADULT DETENTION,Direct Bill,false,5025642517,$0.000,$0.110,$0.110,$0.110,false,null,$0.000
NM,1599319199638,EDDY COUNTY ADULT DETENTION,Inmate Debit,true,5054762200,$0.000,$0.110,$0.110,$0.110,false,null,$0.000
NM,1599319199638,EDDY COUNTY ADULT DETENTION,Inmate Debit,false,5025642517,$0.000,$0.110,$0.110,$0.110,false,null,$0.000
NM,1599319199638,EDDY COUNTY ADULT DETENTION,Traditional Collect,true,5054762200,$0.000,$0.110,$0.110,$0.110,false,null,$0.000
NM,1599319199638,EDDY COUNTY ADULT DETENTION,Traditional Collect,false,5025642517,$0.000,$0.110,$0.110,$0.110,false,null,$0.000
NM,1599319199638,EDDY COUNTY ADULT DETENTION,Voicemail,true,5054762200,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
NM,1599319199638,EDDY COUNTY ADULT DETENTION,Voicemail,false,5025642517,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
NM,1599319203517,EDDY COUNTY ADULT DETENTION,AdvancedConnect,true,5054762200,$0.000,$0.110,$0.110,$0.110,false,null,$0.000
NM,1599319203517,EDDY COUNTY ADULT DETENTION,AdvancedConnect,false,9165883160,$0.000,$0.110,$0.110,$0.110,false,null,$0.000
NM,1599319203517,EDDY COUNTY ADULT DETENTION,Direct Bill,true,5054762200,$0.000,$0.110,$0.110,$0.110,false,null,$0.000
NM,1599319203517,EDDY COUNTY ADULT DETENTION,Direct Bill,false,9165883160,$0.000,$0.110,$0.110,$0.110,false,null,$0.000
NM,1599319203517,EDDY COUNTY ADULT DETENTION,Inmate Debit,true,5054762200,$0.000,$0.110,$0.110,$0.110,false,null,$0.000
NM,1599319203517,EDDY COUNTY ADULT DETENTION,Inmate Debit,false,9165883160,$0.000,$0.110,$0.110,$0.110,false,null,$0.000
NM,1599319203517,EDDY COUNTY ADULT DETENTION,Traditional Collect,true,5054762200,$0.000,$0.110,$0.110,$0.110,false,null,$0.000
NM,1599319203517,EDDY COUNTY ADULT DETENTION,Traditional Collect,false,9165883160,$0.000,$0.110,$0.110,$0.110,false,null,$0.000
NM,1599319203517,EDDY COUNTY ADULT DETENTION,Voicemail,true,5054762200,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
NM,1599319203517,EDDY COUNTY ADULT DETENTION,Voicemail,false,9165883160,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
NM,1599319207678,GEO - NM DOC - LEA HOBBS COUNTY CORRECTIONAL FACILITY,AdvancedConnect,true,5054762200,$0.000,$0.080,$0.080,$0.080,false,null,$0.000
NM,1599319207678,GEO - NM DOC - LEA HOBBS COUNTY CORRECTIONAL FACILITY,AdvancedConnect,false,8085860034,$0.000,$0.080,$0.080,$0.080,false,null,$0.000
NM,1599319207678,GEO - NM DOC - LEA HOBBS COUNTY CORRECTIONAL FACILITY,Direct Bill,true,5054762200,$0.000,$0.080,$0.080,$0.080,false,null,$0.000
NM,1599319207678,GEO - NM DOC - LEA HOBBS COUNTY CORRECTIONAL FACILITY,Direct Bill,false,8085860034,$0.000,$0.080,$0.080,$0.080,false,null,$0.000
NM,1599319207678,GEO - NM DOC - LEA HOBBS COUNTY CORRECTIONAL FACILITY,Inmate Debit,true,5054762200,$0.000,$0.080,$0.080,$0.080,false,null,$0.000
NM,1599319207678,GEO - NM DOC - LEA HOBBS COUNTY CORRECTIONAL FACILITY,Inmate Debit,false,8085860034,$0.000,$0.080,$0.080,$0.080,false,null,$0.000
NM,1599319207678,GEO - NM DOC - LEA HOBBS COUNTY CORRECTIONAL FACILITY,Traditional Collect,true,5054762200,$0.000,$0.080,$0.080,$0.080,false,null,$0.000
NM,1599319207678,GEO - NM DOC - LEA HOBBS COUNTY CORRECTIONAL FACILITY,Traditional Collect,false,8085860034,$0.000,$0.080,$0.080,$0.080,false,null,$0.000
NM,1599319207678,GEO - NM DOC - LEA HOBBS COUNTY CORRECTIONAL FACILITY,Voicemail,true,5054762200,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
NM,1599319207678,GEO - NM DOC - LEA HOBBS COUNTY CORRECTIONAL FACILITY,Voicemail,false,8085860034,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
NM,1599319211714,GEO - NM DOC- GUADALUPE COUNTY CORRECTIONAL FACILITY,AdvancedConnect,true,5054762200,$0.000,$0.080,$0.080,$0.080,false,null,$0.000
NM,1599319211714,GEO - NM DOC- GUADALUPE COUNTY CORRECTIONAL FACILITY,AdvancedConnect,false,6092926000,$0.000,$0.080,$0.080,$0.080,false,null,$0.000
NM,1599319211714,GEO - NM DOC- GUADALUPE COUNTY CORRECTIONAL FACILITY,Direct Bill,true,5054762200,$0.000,$0.080,$0.080,$0.080,false,null,$0.000
