state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
NV,1599319303571,CLARK COUNTY DETENTION CENTER,AdvancedConnect,true,7756845670,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NV,1599319303571,CLARK COUNTY DETENTION CENTER,AdvancedConnect,false,6082661212,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NV,1599319303571,CLARK COUNTY DETENTION CENTER,Direct Bill,true,7756845670,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
NV,1599319303571,CLARK COUNTY DETENTION CENTER,Direct Bill,false,6082661212,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
NV,1599319303571,CLARK COUNTY DETENTION CENTER,Inmate Debit,true,7756845670,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NV,1599319303571,CLARK COUNTY DETENTION CENTER,Inmate Debit,false,6082661212,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NV,1599319303571,CLARK COUNTY DETENTION CENTER,Traditional Collect,true,7756845670,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
NV,1599319303571,CLARK COUNTY DETENTION CENTER,Traditional Collect,false,6082661212,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
NV,1599319303571,CLARK COUNTY DETENTION CENTER,Voicemail,true,7756845670,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
NV,1599319303571,CLARK COUNTY DETENTION CENTER,Voicemail,false,6082661212,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
NV,1599319307459,CLARK COUNTY DETENTION CENTER NORTH VALLEY COMPLEX,AdvancedConnect,true,7756845670,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NV,1599319307459,CLARK COUNTY DETENTION CENTER NORTH VALLEY COMPLEX,AdvancedConnect,false,4109743901,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NV,1599319307459,CLARK COUNTY DETENTION CENTER NORTH VALLEY COMPLEX,Direct Bill,true,7756845670,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
NV,1599319307459,CLARK COUNTY DETENTION CENTER NORTH VALLEY COMPLEX,Direct Bill,false,4109743901,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
NV,1599319307459,CLARK COUNTY DETENTION CENTER NORTH VALLEY COMPLEX,Inmate Debit,true,7756845670,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NV,1599319307459,CLARK COUNTY DETENTION CENTER NORTH VALLEY COMPLEX,Inmate Debit,false,4109743901,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NV,1599319307459,CLARK COUNTY DETENTION CENTER NORTH VALLEY COMPLEX,Traditional Collect,true,7756845670,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
NV,1599319307459,CLARK COUNTY DETENTION CENTER NORTH VALLEY COMPLEX,Traditional Collect,false,4109743901,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
NV,1599319307459,CLARK COUNTY DETENTION CENTER NORTH VALLEY COMPLEX,Voicemail,true,7756845670,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
NV,1599319307459,CLARK COUNTY DETENTION CENTER NORTH VALLEY COMPLEX,Voicemail,false,4109743901,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
NV,1599319312907,CLARK COUNTY TUCKER HOLDING FACILITY,AdvancedConnect,true,7756845670,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NV,1599319312907,CLARK COUNTY TUCKER HOLDING FACILITY,AdvancedConnect,false,6177254005,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NV,1599319312907,CLARK COUNTY TUCKER HOLDING FACILITY,Direct Bill,true,7756845670,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
NV,1599319312907,CLARK COUNTY TUCKER HOLDING FACILITY,Direct Bill,false,6177254005,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
NV,1599319312907,CLARK COUNTY TUCKER HOLDING FACILITY,Inmate Debit,true,7756845670,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NV,1599319312907,CLARK COUNTY TUCKER HOLDING FACILITY,Inmate Debit,false,6177254005,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NV,1599319312907,CLARK COUNTY TUCKER HOLDING FACILITY,Traditional Collect,true,7756845670,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
NV,1599319312907,CLARK COUNTY TUCKER HOLDING FACILITY,Traditional Collect,false,6177254005,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
NV,1599319312907,CLARK COUNTY TUCKER HOLDING FACILITY,Voicemail,true,7756845670,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
NV,1599319312907,CLARK COUNTY TUCKER HOLDING FACILITY,Voicemail,false,6177254005,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
NV,1599319317362,DOUGLAS COUNTY - LAKE TAHOE JAIL,AdvancedConnect,true,7756845670,$0.000,$1.910,$0.410,$1.910,false,null,$0.000
NV,1599319317362,DOUGLAS COUNTY - LAKE TAHOE JAIL,AdvancedConnect,false,9074653500,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NV,1599319317362,DOUGLAS COUNTY - LAKE TAHOE JAIL,Direct Bill,true,7756845670,$0.000,$1.910,$0.410,$1.910,false,null,$0.000
NV,1599319317362,DOUGLAS COUNTY - LAKE TAHOE JAIL,Direct Bill,false,9074653500,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
NV,1599319317362,DOUGLAS COUNTY - LAKE TAHOE JAIL,Inmate Debit,true,7756845670,$0.000,$1.910,$0.410,$1.910,false,null,$0.000
NV,1599319317362,DOUGLAS COUNTY - LAKE TAHOE JAIL,Inmate Debit,false,9074653500,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NV,1599319317362,DOUGLAS COUNTY - LAKE TAHOE JAIL,Traditional Collect,true,7756845670,$0.000,$1.910,$0.410,$1.910,false,null,$0.000
NV,1599319317362,DOUGLAS COUNTY - LAKE TAHOE JAIL,Traditional Collect,false,9074653500,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
NV,1599319317362,DOUGLAS COUNTY - LAKE TAHOE JAIL,Voicemail,true,7756845670,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
NV,1599319317362,DOUGLAS COUNTY - LAKE TAHOE JAIL,Voicemail,false,9074653500,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
NV,1599319321102,DOUGLAS COUNTY - MINDEN JAIL,AdvancedConnect,true,7756845670,$0.000,$1.910,$0.410,$1.910,false,null,$0.000
NV,1599319321102,DOUGLAS COUNTY - MINDEN JAIL,AdvancedConnect,false,4055212342,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NV,1599319321102,DOUGLAS COUNTY - MINDEN JAIL,Direct Bill,true,7756845670,$0.000,$1.910,$0.410,$1.910,false,null,$0.000
NV,1599319321102,DOUGLAS COUNTY - MINDEN JAIL,Direct Bill,false,4055212342,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
NV,1599319321102,DOUGLAS COUNTY - MINDEN JAIL,Inmate Debit,true,7756845670,$0.000,$1.910,$0.410,$1.910,false,null,$0.000
NV,1599319321102,DOUGLAS COUNTY - MINDEN JAIL,Inmate Debit,false,4055212342,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NV,1599319321102,DOUGLAS COUNTY - MINDEN JAIL,Traditional Collect,true,7756845670,$0.000,$1.910,$0.410,$1.910,false,null,$0.000
NV,1599319321102,DOUGLAS COUNTY - MINDEN JAIL,Traditional Collect,false,4055212342,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
NV,1599319321102,DOUGLAS COUNTY - MINDEN JAIL,Voicemail,true,7756845670,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
NV,1599319321102,DOUGLAS COUNTY - MINDEN JAIL,Voicemail,false,4055212342,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
NV,1599319326699,HENDERSON DETENTION CENTER,AdvancedConnect,true,7756845670,$0.000,$1.870,$0.370,$1.870,false,null,$0.000
NV,1599319326699,HENDERSON DETENTION CENTER,AdvancedConnect,false,2177820244,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NV,1599319326699,HENDERSON DETENTION CENTER,Direct Bill,true,7756845670,$0.000,$1.870,$0.370,$1.870,false,null,$0.000
NV,1599319326699,HENDERSON DETENTION CENTER,Direct Bill,false,2177820244,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
NV,1599319326699,HENDERSON DETENTION CENTER,Inmate Debit,true,7756845670,$0.000,$1.870,$0.370,$1.870,false,null,$0.000
NV,1599319326699,HENDERSON DETENTION CENTER,Inmate Debit,false,2177820244,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NV,1599319326699,HENDERSON DETENTION CENTER,Traditional Collect,true,7756845670,$0.000,$1.870,$0.370,$1.870,false,null,$0.000
NV,1599319326699,HENDERSON DETENTION CENTER,Traditional Collect,false,2177820244,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
NV,1599319326699,HENDERSON DETENTION CENTER,Voicemail,true,7756845670,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
NV,1599319326699,HENDERSON DETENTION CENTER,Voicemail,false,2177820244,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
NV,1599319330478,HUMBOLDT COUNTY SHERIFF'S OFFICE,AdvancedConnect,true,7756845670,$0.000,$1.940,$0.300,$1.940,false,null,$0.000
NV,1599319330478,HUMBOLDT COUNTY SHERIFF'S OFFICE,AdvancedConnect,false,2072873531,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NV,1599319330478,HUMBOLDT COUNTY SHERIFF'S OFFICE,Direct Bill,true,7756845670,$0.000,$1.940,$0.300,$1.940,false,null,$0.000
NV,1599319330478,HUMBOLDT COUNTY SHERIFF'S OFFICE,Direct Bill,false,2072873531,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
NV,1599319330478,HUMBOLDT COUNTY SHERIFF'S OFFICE,Inmate Debit,true,7756845670,$0.000,$1.940,$0.300,$1.940,false,null,$0.000
NV,1599319330478,HUMBOLDT COUNTY SHERIFF'S OFFICE,Inmate Debit,false,2072873531,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NV,1599319330478,HUMBOLDT COUNTY SHERIFF'S OFFICE,Traditional Collect,true,7756845670,$0.000,$1.940,$0.300,$1.940,false,null,$0.000
NV,1599319330478,HUMBOLDT COUNTY SHERIFF'S OFFICE,Traditional Collect,false,2072873531,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
NV,1599319330478,HUMBOLDT COUNTY SHERIFF'S OFFICE,Voicemail,true,7756845670,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
NV,1599319330478,HUMBOLDT COUNTY SHERIFF'S OFFICE,Voicemail,false,2072873531,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
NV,1599319334206,LAS VEGAS CITY CORRECTIONAL CENTER CLARK,AdvancedConnect,true,7756845670,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
