state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
NY,1599319459916,ALBANY COUNTY CORRECTIONAL FACILITY,AdvancedConnect,true,5184748390,$0.000,$0.200,$0.200,$0.200,false,null,$0.000
NY,1599319459916,ALBANY COUNTY CORRECTIONAL FACILITY,AdvancedConnect,false,6177254005,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NY,1599319459916,ALBANY COUNTY CORRECTIONAL FACILITY,Direct Bill,true,5184748390,$0.000,$0.200,$0.200,$0.200,false,null,$0.000
NY,1599319459916,ALBANY COUNTY CORRECTIONAL FACILITY,Direct Bill,false,6177254005,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NY,1599319459916,ALBANY COUNTY CORRECTIONAL FACILITY,Inmate Debit,true,5184748390,$0.000,$0.200,$0.200,$0.200,false,null,$0.000
NY,1599319459916,ALBANY COUNTY CORRECTIONAL FACILITY,Inmate Debit,false,6177254005,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NY,1599319459916,ALBANY COUNTY CORRECTIONAL FACILITY,Traditional Collect,true,5184748390,$0.000,$0.200,$0.200,$0.200,false,null,$0.000
NY,1599319459916,ALBANY COUNTY CORRECTIONAL FACILITY,Traditional Collect,false,6177254005,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
NY,1599319459916,ALBANY COUNTY CORRECTIONAL FACILITY,Voicemail,true,5184748390,$0.000,$0.200,$0.200,$0.200,false,null,$0.000
NY,1599319459916,ALBANY COUNTY CORRECTIONAL FACILITY,Voicemail,false,6177254005,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
NY,1599319465852,ALBANY COUNTY CORRECTIONAL FACILITY-ATTORNEY,AdvancedConnect,true,5184748390,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
NY,1599319465852,ALBANY COUNTY CORRECTIONAL FACILITY-ATTORNEY,AdvancedConnect,false,8028283333,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
NY,1599319465852,ALBANY COUNTY CORRECTIONAL FACILITY-ATTORNEY,Direct Bill,true,5184748390,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
NY,1599319465852,ALBANY COUNTY CORRECTIONAL FACILITY-ATTORNEY,Direct Bill,false,8028283333,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
NY,1599319465852,ALBANY COUNTY CORRECTIONAL FACILITY-ATTORNEY,Inmate Debit,true,5184748390,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
NY,1599319465852,ALBANY COUNTY CORRECTIONAL FACILITY-ATTORNEY,Inmate Debit,false,8028283333,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
NY,1599319465852,ALBANY COUNTY CORRECTIONAL FACILITY-ATTORNEY,Traditional Collect,true,5184748390,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
