state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
OH,1598745915568,ALLEN COUNTY SHERIFF'S OFFICE,AdvancedConnect,true,6144663555,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
OH,1598745915568,ALLEN COUNTY SHERIFF'S OFFICE,AdvancedConnect,false,3045882000,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
OH,1598745915568,ALLEN COUNTY SHERIFF'S OFFICE,Direct Bill,true,6144663555,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
OH,1598745915568,ALLEN COUNTY SHERIFF'S OFFICE,Direct Bill,false,3045882000,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
OH,1598745915568,ALLEN COUNTY SHERIFF'S OFFICE,Inmate Debit,true,6144663555,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
OH,1598745915568,ALLEN COUNTY SHERIFF'S OFFICE,Inmate Debit,false,3045882000,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
OH,1598745915568,ALLEN COUNTY SHERIFF'S OFFICE,Traditional Collect,true,6144663555,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
OH,1598745915568,ALLEN COUNTY SHERIFF'S OFFICE,Traditional Collect,false,3045882000,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
OH,1598745915568,ALLEN COUNTY SHERIFF'S OFFICE,Voicemail,true,6144663555,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
OH,1598745915568,ALLEN COUNTY SHERIFF'S OFFICE,Voicemail,false,3045882000,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
OH,1598745919286,ASHTABULA CITY POLICE DEPT,AdvancedConnect,true,6144663555,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
OH,1598745919286,ASHTABULA CITY POLICE DEPT,AdvancedConnect,false,7013282200,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
OH,1598745919286,ASHTABULA CITY POLICE DEPT,Direct Bill,true,6144663555,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
OH,1598745919286,ASHTABULA CITY POLICE DEPT,Direct Bill,false,7013282200,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
OH,1598745919286,ASHTABULA CITY POLICE DEPT,Inmate Debit,true,6144663555,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
OH,1598745919286,ASHTABULA CITY POLICE DEPT,Inmate Debit,false,7013282200,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
OH,1598745919286,ASHTABULA CITY POLICE DEPT,Traditional Collect,true,6144663555,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
OH,1598745919286,ASHTABULA CITY POLICE DEPT,Traditional Collect,false,7013282200,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
OH,1598745919286,ASHTABULA CITY POLICE DEPT,Voicemail,true,6144663555,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
OH,1598745919286,ASHTABULA CITY POLICE DEPT,Voicemail,false,7013282200,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
OH,1598745923420,ASHTABULA COUNTY JAIL,AdvancedConnect,true,6144663555,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
OH,1598745923420,ASHTABULA COUNTY JAIL,AdvancedConnect,false,3609024111,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
OH,1598745923420,ASHTABULA COUNTY JAIL,Direct Bill,true,6144663555,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
OH,1598745923420,ASHTABULA COUNTY JAIL,Direct Bill,false,3609024111,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
OH,1598745923420,ASHTABULA COUNTY JAIL,Inmate Debit,true,6144663555,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
OH,1598745923420,ASHTABULA COUNTY JAIL,Inmate Debit,false,3609024111,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
OH,1598745923420,ASHTABULA COUNTY JAIL,Traditional Collect,true,6144663555,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
OH,1598745923420,ASHTABULA COUNTY JAIL,Traditional Collect,false,3609024111,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
OH,1598745923420,ASHTABULA COUNTY JAIL,Voicemail,true,6144663555,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
OH,1598745923420,ASHTABULA COUNTY JAIL,Voicemail,false,3609024111,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
OH,1598745927379,BEDFORD HEIGHTS CITY POLICE DEPT,AdvancedConnect,true,6144663555,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
OH,1598745927379,BEDFORD HEIGHTS CITY POLICE DEPT,AdvancedConnect,false,8015381000,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
OH,1598745927379,BEDFORD HEIGHTS CITY POLICE DEPT,Direct Bill,true,6144663555,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
OH,1598745927379,BEDFORD HEIGHTS CITY POLICE DEPT,Direct Bill,false,8015381000,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
OH,1598745927379,BEDFORD HEIGHTS CITY POLICE DEPT,Inmate Debit,true,6144663555,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
OH,1598745927379,BEDFORD HEIGHTS CITY POLICE DEPT,Inmate Debit,false,8015381000,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
OH,1598745927379,BEDFORD HEIGHTS CITY POLICE DEPT,Traditional Collect,true,6144663555,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
