state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
OK,1599320013319,CHEROKEE COUNTY JAIL,AdvancedConnect,true,4055212342,$0.000,$0.490,$0.490,$0.490,false,null,$0.000
OK,1599320013319,CHEROKEE COUNTY JAIL,AdvancedConnect,false,2253427015,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
OK,1599320013319,CHEROKEE COUNTY JAIL,Direct Bill,true,4055212342,$0.000,$0.490,$0.490,$0.490,false,null,$0.000
OK,1599320013319,CHEROKEE COUNTY JAIL,Direct Bill,false,2253427015,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
OK,1599320013319,CHEROKEE COUNTY JAIL,Inmate Debit,true,4055212342,$0.000,$0.490,$0.490,$0.490,false,null,$0.000
OK,1599320013319,CHEROKEE COUNTY JAIL,Inmate Debit,false,2253427015,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
OK,1599320013319,CHEROKEE COUNTY JAIL,Traditional Collect,true,4055212342,$0.000,$0.490,$0.490,$0.490,false,null,$0.000
OK,1599320013319,CHEROKEE COUNTY JAIL,Traditional Collect,false,2253427015,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
OK,1599320013319,CHEROKEE COUNTY JAIL,Voicemail,true,4055212342,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
OK,1599320013319,CHEROKEE COUNTY JAIL,Voicemail,false,2253427015,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
OK,1599320017121,DAVIS CCA,AdvancedConnect,true,4055212342,$0.000,$3.600,$0.110,$3.600,false,null,$0.000
OK,1599320017121,DAVIS CCA,AdvancedConnect,false,9165883160,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
OK,1599320017121,DAVIS CCA,Direct Bill,true,4055212342,$0.000,$3.600,$0.110,$3.600,false,null,$0.000
OK,1599320017121,DAVIS CCA,Direct Bill,false,9165883160,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
OK,1599320017121,DAVIS CCA,Inmate Debit,true,4055212342,$0.000,$3.600,$0.110,$3.600,false,null,$0.000
OK,1599320017121,DAVIS CCA,Inmate Debit,false,9165883160,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
OK,1599320017121,DAVIS CCA,Traditional Collect,true,4055212342,$0.000,$3.600,$0.110,$3.600,false,null,$0.000
OK,1599320017121,DAVIS CCA,Traditional Collect,false,9165883160,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
OK,1599320017121,DAVIS CCA,Voicemail,true,4055212342,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
OK,1599320017121,DAVIS CCA,Voicemail,false,9165883160,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
OK,1599320020875,DEL CITY POLICE DEPT,AdvancedConnect,true,4055212342,$0.000,$3.850,$0.010,$3.850,false,null,$0.000
OK,1599320020875,DEL CITY POLICE DEPT,AdvancedConnect,false,3609024111,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
OK,1599320020875,DEL CITY POLICE DEPT,Direct Bill,true,4055212342,$0.000,$3.850,$0.010,$3.850,false,null,$0.000
