state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
OR,1599320147544,CLATSOP COUNTY SHERIFF'S OFFICE,AdvancedConnect,true,5033784582,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
OR,1599320147544,CLATSOP COUNTY SHERIFF'S OFFICE,AdvancedConnect,false,8504887146,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
OR,1599320147544,CLATSOP COUNTY SHERIFF'S OFFICE,Direct Bill,true,5033784582,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
OR,1599320147544,CLATSOP COUNTY SHERIFF'S OFFICE,Direct Bill,false,8504887146,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
OR,1599320147544,CLATSOP COUNTY SHERIFF'S OFFICE,Inmate Debit,true,5033784582,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
OR,1599320147544,CLATSOP COUNTY SHERIFF'S OFFICE,Inmate Debit,false,8504887146,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
OR,1599320147544,CLATSOP COUNTY SHERIFF'S OFFICE,Traditional Collect,true,5033784582,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
OR,1599320147544,CLATSOP COUNTY SHERIFF'S OFFICE,Traditional Collect,false,8504887146,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
OR,1599320147544,CLATSOP COUNTY SHERIFF'S OFFICE,Voicemail,true,5033784582,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
OR,1599320147544,CLATSOP COUNTY SHERIFF'S OFFICE,Voicemail,false,8504887146,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
OR,1599320151316,COLUMBIA COUNTY JAIL,AdvancedConnect,true,5033784582,$0.000,$0.310,$0.310,$0.310,false,null,$0.000
OR,1599320151316,COLUMBIA COUNTY JAIL,AdvancedConnect,false,8605664840,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
OR,1599320151316,COLUMBIA COUNTY JAIL,Direct Bill,true,5033784582,$0.000,$0.310,$0.310,$0.310,false,null,$0.000
OR,1599320151316,COLUMBIA COUNTY JAIL,Direct Bill,false,8605664840,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
OR,1599320151316,COLUMBIA COUNTY JAIL,Inmate Debit,true,5033784582,$0.000,$0.310,$0.310,$0.310,false,null,$0.000
OR,1599320151316,COLUMBIA COUNTY JAIL,Inmate Debit,false,8605664840,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
OR,1599320151316,COLUMBIA COUNTY JAIL,Traditional Collect,true,5033784582,$0.000,$0.310,$0.310,$0.310,false,null,$0.000
OR,1599320151316,COLUMBIA COUNTY JAIL,Traditional Collect,false,8605664840,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
OR,1599320151316,COLUMBIA COUNTY JAIL,Voicemail,true,5033784582,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
OR,1599320151316,COLUMBIA COUNTY JAIL,Voicemail,false,8605664840,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
OR,1599320156057,JEFFERSON COUNTY SHERIFF'S OFFICE,AdvancedConnect,true,5033784582,$0.000,$0.820,$0.570,$0.820,false,null,$0.000
OR,1599320156057,JEFFERSON COUNTY SHERIFF'S OFFICE,AdvancedConnect,false,6157412001,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
OR,1599320156057,JEFFERSON COUNTY SHERIFF'S OFFICE,Direct Bill,true,5033784582,$0.000,$0.820,$0.570,$0.820,false,null,$0.000
OR,1599320156057,JEFFERSON COUNTY SHERIFF'S OFFICE,Direct Bill,false,6157412001,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
OR,1599320156057,JEFFERSON COUNTY SHERIFF'S OFFICE,Inmate Debit,true,5033784582,$0.000,$0.820,$0.570,$0.820,false,null,$0.000
OR,1599320156057,JEFFERSON COUNTY SHERIFF'S OFFICE,Inmate Debit,false,6157412001,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
OR,1599320156057,JEFFERSON COUNTY SHERIFF'S OFFICE,Traditional Collect,true,5033784582,$0.000,$0.820,$0.570,$0.820,false,null,$0.000
OR,1599320156057,JEFFERSON COUNTY SHERIFF'S OFFICE,Traditional Collect,false,6157412001,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
OR,1599320156057,JEFFERSON COUNTY SHERIFF'S OFFICE,Voicemail,true,5033784582,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
OR,1599320156057,JEFFERSON COUNTY SHERIFF'S OFFICE,Voicemail,false,6157412001,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
OR,1599320159829,JOSEPHINE COUNTY ADULT JAIL,AdvancedConnect,true,5033784582,$0.000,$0.320,$0.320,$0.320,false,null,$0.000
OR,1599320159829,JOSEPHINE COUNTY ADULT JAIL,AdvancedConnect,false,5737513222,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
OR,1599320159829,JOSEPHINE COUNTY ADULT JAIL,Direct Bill,true,5033784582,$0.000,$0.320,$0.320,$0.320,false,null,$0.000
OR,1599320159829,JOSEPHINE COUNTY ADULT JAIL,Direct Bill,false,5737513222,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
OR,1599320159829,JOSEPHINE COUNTY ADULT JAIL,Inmate Debit,true,5033784582,$0.000,$0.320,$0.320,$0.320,false,null,$0.000
OR,1599320159829,JOSEPHINE COUNTY ADULT JAIL,Inmate Debit,false,5737513222,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
OR,1599320159829,JOSEPHINE COUNTY ADULT JAIL,Traditional Collect,true,5033784582,$0.000,$0.320,$0.320,$0.320,false,null,$0.000
OR,1599320159829,JOSEPHINE COUNTY ADULT JAIL,Traditional Collect,false,5737513222,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
OR,1599320159829,JOSEPHINE COUNTY ADULT JAIL,Voicemail,true,5033784582,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
OR,1599320159829,JOSEPHINE COUNTY ADULT JAIL,Voicemail,false,5737513222,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
OR,1599320164442,KLAMATH COUNTY SHERIFF'S OFFICE,AdvancedConnect,true,5033784582,$0.000,$2.490,$0.490,$2.490,false,null,$0.000
OR,1599320164442,KLAMATH COUNTY SHERIFF'S OFFICE,AdvancedConnect,false,2083342100,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
OR,1599320164442,KLAMATH COUNTY SHERIFF'S OFFICE,Direct Bill,true,5033784582,$0.000,$2.490,$0.490,$2.490,false,null,$0.000
OR,1599320164442,KLAMATH COUNTY SHERIFF'S OFFICE,Direct Bill,false,2083342100,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
OR,1599320164442,KLAMATH COUNTY SHERIFF'S OFFICE,Inmate Debit,true,5033784582,$0.000,$2.490,$0.490,$2.490,false,null,$0.000
OR,1599320164442,KLAMATH COUNTY SHERIFF'S OFFICE,Inmate Debit,false,2083342100,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
OR,1599320164442,KLAMATH COUNTY SHERIFF'S OFFICE,Traditional Collect,true,5033784582,$0.000,$2.490,$0.490,$2.490,false,null,$0.000
OR,1599320164442,KLAMATH COUNTY SHERIFF'S OFFICE,Traditional Collect,false,2083342100,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
OR,1599320164442,KLAMATH COUNTY SHERIFF'S OFFICE,Voicemail,true,5033784582,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
OR,1599320164442,KLAMATH COUNTY SHERIFF'S OFFICE,Voicemail,false,2083342100,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
OR,1599320168222,MULTNOMAH COUNTY DETENTION CENTER,AdvancedConnect,true,5033784582,$0.000,$0.170,$0.170,$0.170,false,null,$0.000
OR,1599320168222,MULTNOMAH COUNTY DETENTION CENTER,AdvancedConnect,false,7852963232,$0.000,$0.170,$0.170,$0.170,false,null,$0.000
OR,1599320168222,MULTNOMAH COUNTY DETENTION CENTER,Direct Bill,true,5033784582,$0.000,$0.170,$0.170,$0.170,false,null,$0.000
OR,1599320168222,MULTNOMAH COUNTY DETENTION CENTER,Direct Bill,false,7852963232,$0.000,$0.170,$0.170,$0.170,false,null,$0.000
OR,1599320168222,MULTNOMAH COUNTY DETENTION CENTER,Inmate Debit,true,5033784582,$0.000,$0.170,$0.170,$0.170,false,null,$0.000
OR,1599320168222,MULTNOMAH COUNTY DETENTION CENTER,Inmate Debit,false,7852963232,$0.000,$0.170,$0.170,$0.170,false,null,$0.000
OR,1599320168222,MULTNOMAH COUNTY DETENTION CENTER,Traditional Collect,true,5033784582,$0.000,$0.170,$0.170,$0.170,false,null,$0.000
OR,1599320168222,MULTNOMAH COUNTY DETENTION CENTER,Traditional Collect,false,7852963232,$0.000,$0.170,$0.170,$0.170,false,null,$0.000
OR,1599320168222,MULTNOMAH COUNTY DETENTION CENTER,Voicemail,true,5033784582,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
OR,1599320168222,MULTNOMAH COUNTY DETENTION CENTER,Voicemail,false,7852963232,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
OR,1599320172247,MULTNOMAH COUNTY INVERNESS JAIL,AdvancedConnect,true,5033784582,$0.000,$0.170,$0.170,$0.170,false,null,$0.000
OR,1599320172247,MULTNOMAH COUNTY INVERNESS JAIL,AdvancedConnect,false,8015381000,$0.000,$0.170,$0.170,$0.170,false,null,$0.000
OR,1599320172247,MULTNOMAH COUNTY INVERNESS JAIL,Direct Bill,true,5033784582,$0.000,$0.170,$0.170,$0.170,false,null,$0.000
OR,1599320172247,MULTNOMAH COUNTY INVERNESS JAIL,Direct Bill,false,8015381000,$0.000,$0.170,$0.170,$0.170,false,null,$0.000
OR,1599320172247,MULTNOMAH COUNTY INVERNESS JAIL,Inmate Debit,true,5033784582,$0.000,$0.170,$0.170,$0.170,false,null,$0.000
OR,1599320172247,MULTNOMAH COUNTY INVERNESS JAIL,Inmate Debit,false,8015381000,$0.000,$0.170,$0.170,$0.170,false,null,$0.000
OR,1599320172247,MULTNOMAH COUNTY INVERNESS JAIL,Traditional Collect,true,5033784582,$0.000,$0.170,$0.170,$0.170,false,null,$0.000
OR,1599320172247,MULTNOMAH COUNTY INVERNESS JAIL,Traditional Collect,false,8015381000,$0.000,$0.170,$0.170,$0.170,false,null,$0.000
OR,1599320172247,MULTNOMAH COUNTY INVERNESS JAIL,Voicemail,true,5033784582,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
OR,1599320172247,MULTNOMAH COUNTY INVERNESS JAIL,Voicemail,false,8015381000,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
OR,1599320176133,MULTNOMAH COUNTY JUVENILE DEPT,AdvancedConnect,true,5033784582,$0.000,$0.170,$0.170,$0.170,false,null,$0.000
OR,1599320176133,MULTNOMAH COUNTY JUVENILE DEPT,AdvancedConnect,false,6144663555,$0.000,$0.170,$0.170,$0.170,false,null,$0.000
OR,1599320176133,MULTNOMAH COUNTY JUVENILE DEPT,Direct Bill,true,5033784582,$0.000,$0.170,$0.170,$0.170,false,null,$0.000
OR,1599320176133,MULTNOMAH COUNTY JUVENILE DEPT,Direct Bill,false,6144663555,$0.000,$0.170,$0.170,$0.170,false,null,$0.000
OR,1599320176133,MULTNOMAH COUNTY JUVENILE DEPT,Inmate Debit,true,5033784582,$0.000,$0.170,$0.170,$0.170,false,null,$0.000
OR,1599320176133,MULTNOMAH COUNTY JUVENILE DEPT,Inmate Debit,false,6144663555,$0.000,$0.170,$0.170,$0.170,false,null,$0.000
OR,1599320176133,MULTNOMAH COUNTY JUVENILE DEPT,Traditional Collect,true,5033784582,$0.000,$0.170,$0.170,$0.170,false,null,$0.000
OR,1599320176133,MULTNOMAH COUNTY JUVENILE DEPT,Traditional Collect,false,6144663555,$0.000,$0.170,$0.170,$0.170,false,null,$0.000
OR,1599320176133,MULTNOMAH COUNTY JUVENILE DEPT,Voicemail,true,5033784582,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
OR,1599320176133,MULTNOMAH COUNTY JUVENILE DEPT,Voicemail,false,6144663555,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
OR,1599320181684,UNION COUNTY SHERIFFS OFFICE,AdvancedConnect,true,5033784582,$0.000,$2.500,$0.250,$2.500,false,null,$0.000
OR,1599320181684,UNION COUNTY SHERIFFS OFFICE,AdvancedConnect,false,4012222080,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
OR,1599320181684,UNION COUNTY SHERIFFS OFFICE,Direct Bill,true,5033784582,$0.000,$2.500,$0.250,$2.500,false,null,$0.000
