state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
PA,1599320185491,BUTLER COUNTY PRISON,AdvancedConnect,true,7177872500,$0.000,$2.270,$0.270,$2.270,false,null,$0.000
PA,1599320185491,BUTLER COUNTY PRISON,AdvancedConnect,false,2177820244,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
PA,1599320185491,BUTLER COUNTY PRISON,Direct Bill,true,7177872500,$0.000,$2.270,$0.270,$2.270,false,null,$0.000
PA,1599320185491,BUTLER COUNTY PRISON,Direct Bill,false,2177820244,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
PA,1599320185491,BUTLER COUNTY PRISON,Inmate Debit,true,7177872500,$0.000,$2.270,$0.270,$2.270,false,null,$0.000
PA,1599320185491,BUTLER COUNTY PRISON,Inmate Debit,false,2177820244,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
PA,1599320185491,BUTLER COUNTY PRISON,Traditional Collect,true,7177872500,$0.000,$2.270,$0.270,$2.270,false,null,$0.000
PA,1599320185491,BUTLER COUNTY PRISON,Traditional Collect,false,2177820244,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
PA,1599320185491,BUTLER COUNTY PRISON,Voicemail,true,7177872500,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
PA,1599320185491,BUTLER COUNTY PRISON,Voicemail,false,2177820244,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
PA,1599320189236,CLINTON COUNTY CORRECTIONAL FACILITY,AdvancedConnect,true,7177872500,$0.000,$1.950,$0.200,$1.950,false,null,$0.000
PA,1599320189236,CLINTON COUNTY CORRECTIONAL FACILITY,AdvancedConnect,false,5737513222,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
PA,1599320189236,CLINTON COUNTY CORRECTIONAL FACILITY,Direct Bill,true,7177872500,$0.000,$1.950,$0.200,$1.950,false,null,$0.000
PA,1599320189236,CLINTON COUNTY CORRECTIONAL FACILITY,Direct Bill,false,5737513222,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
PA,1599320189236,CLINTON COUNTY CORRECTIONAL FACILITY,Inmate Debit,true,7177872500,$0.000,$1.950,$0.200,$1.950,false,null,$0.000
PA,1599320189236,CLINTON COUNTY CORRECTIONAL FACILITY,Inmate Debit,false,5737513222,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
PA,1599320189236,CLINTON COUNTY CORRECTIONAL FACILITY,Traditional Collect,true,7177872500,$0.000,$1.950,$0.200,$1.950,false,null,$0.000
PA,1599320189236,CLINTON COUNTY CORRECTIONAL FACILITY,Traditional Collect,false,5737513222,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
PA,1599320189236,CLINTON COUNTY CORRECTIONAL FACILITY,Voicemail,true,7177872500,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
