state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
RI,1598746484329,RI DOC - ADMINISTRATION BUILDING,AdvancedConnect,true,4012222080,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746484329,RI DOC - ADMINISTRATION BUILDING,AdvancedConnect,false,8504887146,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746484329,RI DOC - ADMINISTRATION BUILDING,Direct Bill,true,4012222080,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746484329,RI DOC - ADMINISTRATION BUILDING,Direct Bill,false,8504887146,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746484329,RI DOC - ADMINISTRATION BUILDING,Inmate Debit,true,4012222080,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746484329,RI DOC - ADMINISTRATION BUILDING,Inmate Debit,false,8504887146,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746484329,RI DOC - ADMINISTRATION BUILDING,Traditional Collect,true,4012222080,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746484329,RI DOC - ADMINISTRATION BUILDING,Traditional Collect,false,8504887146,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746484329,RI DOC - ADMINISTRATION BUILDING,Voicemail,true,4012222080,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746484329,RI DOC - ADMINISTRATION BUILDING,Voicemail,false,8504887146,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746488316,RI DOC - GLORIA MCDONALD WOMENS MEDIUM SECURITY FACILITY,AdvancedConnect,true,4012222080,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746488316,RI DOC - GLORIA MCDONALD WOMENS MEDIUM SECURITY FACILITY,AdvancedConnect,false,2253427015,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746488316,RI DOC - GLORIA MCDONALD WOMENS MEDIUM SECURITY FACILITY,Direct Bill,true,4012222080,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746488316,RI DOC - GLORIA MCDONALD WOMENS MEDIUM SECURITY FACILITY,Direct Bill,false,2253427015,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746488316,RI DOC - GLORIA MCDONALD WOMENS MEDIUM SECURITY FACILITY,Inmate Debit,true,4012222080,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746488316,RI DOC - GLORIA MCDONALD WOMENS MEDIUM SECURITY FACILITY,Inmate Debit,false,2253427015,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746488316,RI DOC - GLORIA MCDONALD WOMENS MEDIUM SECURITY FACILITY,Traditional Collect,true,4012222080,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746488316,RI DOC - GLORIA MCDONALD WOMENS MEDIUM SECURITY FACILITY,Traditional Collect,false,2253427015,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746488316,RI DOC - GLORIA MCDONALD WOMENS MEDIUM SECURITY FACILITY,Voicemail,true,4012222080,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746488316,RI DOC - GLORIA MCDONALD WOMENS MEDIUM SECURITY FACILITY,Voicemail,false,2253427015,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746492808,RI DOC - HIGH SECURITY CENTER,AdvancedConnect,true,4012222080,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746492808,RI DOC - HIGH SECURITY CENTER,AdvancedConnect,false,6082661212,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746492808,RI DOC - HIGH SECURITY CENTER,Direct Bill,true,4012222080,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746492808,RI DOC - HIGH SECURITY CENTER,Direct Bill,false,6082661212,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746492808,RI DOC - HIGH SECURITY CENTER,Inmate Debit,true,4012222080,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746492808,RI DOC - HIGH SECURITY CENTER,Inmate Debit,false,6082661212,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746492808,RI DOC - HIGH SECURITY CENTER,Traditional Collect,true,4012222080,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746492808,RI DOC - HIGH SECURITY CENTER,Traditional Collect,false,6082661212,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746492808,RI DOC - HIGH SECURITY CENTER,Voicemail,true,4012222080,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746492808,RI DOC - HIGH SECURITY CENTER,Voicemail,false,6082661212,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746498419,RI DOC - HIGH SECURITY CENTER-ATTORNEY,AdvancedConnect,true,4012222080,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746498419,RI DOC - HIGH SECURITY CENTER-ATTORNEY,AdvancedConnect,false,2253427015,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746498419,RI DOC - HIGH SECURITY CENTER-ATTORNEY,Direct Bill,true,4012222080,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746498419,RI DOC - HIGH SECURITY CENTER-ATTORNEY,Direct Bill,false,2253427015,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746498419,RI DOC - HIGH SECURITY CENTER-ATTORNEY,Inmate Debit,true,4012222080,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746498419,RI DOC - HIGH SECURITY CENTER-ATTORNEY,Inmate Debit,false,2253427015,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746498419,RI DOC - HIGH SECURITY CENTER-ATTORNEY,Traditional Collect,true,4012222080,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746498419,RI DOC - HIGH SECURITY CENTER-ATTORNEY,Traditional Collect,false,2253427015,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746498419,RI DOC - HIGH SECURITY CENTER-ATTORNEY,Voicemail,true,4012222080,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746498419,RI DOC - HIGH SECURITY CENTER-ATTORNEY,Voicemail,false,2253427015,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746502187,RI DOC - INTAKE SERVICE CENTER,AdvancedConnect,true,4012222080,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746502187,RI DOC - INTAKE SERVICE CENTER,AdvancedConnect,false,4055212342,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746502187,RI DOC - INTAKE SERVICE CENTER,Direct Bill,true,4012222080,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746502187,RI DOC - INTAKE SERVICE CENTER,Direct Bill,false,4055212342,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746502187,RI DOC - INTAKE SERVICE CENTER,Inmate Debit,true,4012222080,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746502187,RI DOC - INTAKE SERVICE CENTER,Inmate Debit,false,4055212342,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746502187,RI DOC - INTAKE SERVICE CENTER,Traditional Collect,true,4012222080,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746502187,RI DOC - INTAKE SERVICE CENTER,Traditional Collect,false,4055212342,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746502187,RI DOC - INTAKE SERVICE CENTER,Voicemail,true,4012222080,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746502187,RI DOC - INTAKE SERVICE CENTER,Voicemail,false,4055212342,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746507663,RI DOC - JOHN J MORAN MEDIUM SECURITY FACILITY,AdvancedConnect,true,4012222080,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746507663,RI DOC - JOHN J MORAN MEDIUM SECURITY FACILITY,AdvancedConnect,false,8085860034,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746507663,RI DOC - JOHN J MORAN MEDIUM SECURITY FACILITY,Direct Bill,true,4012222080,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746507663,RI DOC - JOHN J MORAN MEDIUM SECURITY FACILITY,Direct Bill,false,8085860034,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746507663,RI DOC - JOHN J MORAN MEDIUM SECURITY FACILITY,Inmate Debit,true,4012222080,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746507663,RI DOC - JOHN J MORAN MEDIUM SECURITY FACILITY,Inmate Debit,false,8085860034,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746507663,RI DOC - JOHN J MORAN MEDIUM SECURITY FACILITY,Traditional Collect,true,4012222080,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746507663,RI DOC - JOHN J MORAN MEDIUM SECURITY FACILITY,Traditional Collect,false,8085860034,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746507663,RI DOC - JOHN J MORAN MEDIUM SECURITY FACILITY,Voicemail,true,4012222080,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746507663,RI DOC - JOHN J MORAN MEDIUM SECURITY FACILITY,Voicemail,false,8085860034,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746511865,RI DOC - MAXIMUM SECURITY FACILITY,AdvancedConnect,true,4012222080,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746511865,RI DOC - MAXIMUM SECURITY FACILITY,AdvancedConnect,false,2177820244,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746511865,RI DOC - MAXIMUM SECURITY FACILITY,Direct Bill,true,4012222080,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746511865,RI DOC - MAXIMUM SECURITY FACILITY,Direct Bill,false,2177820244,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746511865,RI DOC - MAXIMUM SECURITY FACILITY,Inmate Debit,true,4012222080,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746511865,RI DOC - MAXIMUM SECURITY FACILITY,Inmate Debit,false,2177820244,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746511865,RI DOC - MAXIMUM SECURITY FACILITY,Traditional Collect,true,4012222080,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746511865,RI DOC - MAXIMUM SECURITY FACILITY,Traditional Collect,false,2177820244,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746511865,RI DOC - MAXIMUM SECURITY FACILITY,Voicemail,true,4012222080,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746511865,RI DOC - MAXIMUM SECURITY FACILITY,Voicemail,false,2177820244,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746515840,RI DOC - MAXIMUM SECURITY FACILITY-ATTORNEY,AdvancedConnect,true,4012222080,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746515840,RI DOC - MAXIMUM SECURITY FACILITY-ATTORNEY,AdvancedConnect,false,9198142000,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746515840,RI DOC - MAXIMUM SECURITY FACILITY-ATTORNEY,Direct Bill,true,4012222080,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746515840,RI DOC - MAXIMUM SECURITY FACILITY-ATTORNEY,Direct Bill,false,9198142000,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746515840,RI DOC - MAXIMUM SECURITY FACILITY-ATTORNEY,Inmate Debit,true,4012222080,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746515840,RI DOC - MAXIMUM SECURITY FACILITY-ATTORNEY,Inmate Debit,false,9198142000,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746515840,RI DOC - MAXIMUM SECURITY FACILITY-ATTORNEY,Traditional Collect,true,4012222080,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746515840,RI DOC - MAXIMUM SECURITY FACILITY-ATTORNEY,Traditional Collect,false,9198142000,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746515840,RI DOC - MAXIMUM SECURITY FACILITY-ATTORNEY,Voicemail,true,4012222080,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746515840,RI DOC - MAXIMUM SECURITY FACILITY-ATTORNEY,Voicemail,false,9198142000,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746521262,RI DOC - MINIMUM SECURITY FACILITY,AdvancedConnect,true,4012222080,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746521262,RI DOC - MINIMUM SECURITY FACILITY,AdvancedConnect,false,2253427015,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746521262,RI DOC - MINIMUM SECURITY FACILITY,Direct Bill,true,4012222080,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746521262,RI DOC - MINIMUM SECURITY FACILITY,Direct Bill,false,2253427015,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746521262,RI DOC - MINIMUM SECURITY FACILITY,Inmate Debit,true,4012222080,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746521262,RI DOC - MINIMUM SECURITY FACILITY,Inmate Debit,false,2253427015,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746521262,RI DOC - MINIMUM SECURITY FACILITY,Traditional Collect,true,4012222080,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746521262,RI DOC - MINIMUM SECURITY FACILITY,Traditional Collect,false,2253427015,$0.000,$0.029,$0.029,$0.030,false,null,$0.000
RI,1598746521262,RI DOC - MINIMUM SECURITY FACILITY,Voicemail,true,4012222080,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746521262,RI DOC - MINIMUM SECURITY FACILITY,Voicemail,false,2253427015,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746528624,RI DOC - MINIMUM SECURITY FACILITY-ATTORNEY,AdvancedConnect,true,4012222080,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746528624,RI DOC - MINIMUM SECURITY FACILITY-ATTORNEY,AdvancedConnect,false,6057333212,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746528624,RI DOC - MINIMUM SECURITY FACILITY-ATTORNEY,Direct Bill,true,4012222080,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746528624,RI DOC - MINIMUM SECURITY FACILITY-ATTORNEY,Direct Bill,false,6057333212,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746528624,RI DOC - MINIMUM SECURITY FACILITY-ATTORNEY,Inmate Debit,true,4012222080,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746528624,RI DOC - MINIMUM SECURITY FACILITY-ATTORNEY,Inmate Debit,false,6057333212,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746528624,RI DOC - MINIMUM SECURITY FACILITY-ATTORNEY,Traditional Collect,true,4012222080,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746528624,RI DOC - MINIMUM SECURITY FACILITY-ATTORNEY,Traditional Collect,false,6057333212,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746528624,RI DOC - MINIMUM SECURITY FACILITY-ATTORNEY,Voicemail,true,4012222080,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
RI,1598746528624,RI DOC - MINIMUM SECURITY FACILITY-ATTORNEY,Voicemail,false,6057333212,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
