state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
SC,1599320391150,ANDERSON CITY JAIL,AdvancedConnect,true,8037342100,$0.000,$0.220,$0.220,$0.220,false,null,$0.000
SC,1599320391150,ANDERSON CITY JAIL,AdvancedConnect,false,3609024111,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
SC,1599320391150,ANDERSON CITY JAIL,Direct Bill,true,8037342100,$0.000,$0.220,$0.220,$0.220,false,null,$0.000
SC,1599320391150,ANDERSON CITY JAIL,Direct Bill,false,3609024111,$0.000,$0.220,$0.220,$0.220,false,null,$0.000
SC,1599320391150,ANDERSON CITY JAIL,Inmate Debit,true,8037342100,$0.000,$0.220,$0.220,$0.220,false,null,$0.000
SC,1599320391150,ANDERSON CITY JAIL,Inmate Debit,false,3609024111,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
SC,1599320391150,ANDERSON CITY JAIL,Traditional Collect,true,8037342100,$0.000,$0.220,$0.220,$0.220,false,null,$0.000
SC,1599320391150,ANDERSON CITY JAIL,Traditional Collect,false,3609024111,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
SC,1599320391150,ANDERSON CITY JAIL,Voicemail,true,8037342100,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
SC,1599320391150,ANDERSON CITY JAIL,Voicemail,false,3609024111,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
SC,1599320395041,BAMBERG COUNTY JAIL,AdvancedConnect,true,8037342100,$0.000,$0.950,$0.280,$0.950,false,null,$0.000
SC,1599320395041,BAMBERG COUNTY JAIL,AdvancedConnect,false,6144663555,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
SC,1599320395041,BAMBERG COUNTY JAIL,Direct Bill,true,8037342100,$0.000,$0.950,$0.280,$0.950,false,null,$0.000
SC,1599320395041,BAMBERG COUNTY JAIL,Direct Bill,false,6144663555,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
SC,1599320395041,BAMBERG COUNTY JAIL,Inmate Debit,true,8037342100,$0.000,$0.950,$0.280,$0.950,false,null,$0.000
SC,1599320395041,BAMBERG COUNTY JAIL,Inmate Debit,false,6144663555,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
SC,1599320395041,BAMBERG COUNTY JAIL,Traditional Collect,true,8037342100,$0.000,$0.950,$0.280,$0.950,false,null,$0.000
SC,1599320395041,BAMBERG COUNTY JAIL,Traditional Collect,false,6144663555,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
SC,1599320395041,BAMBERG COUNTY JAIL,Voicemail,true,8037342100,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
SC,1599320395041,BAMBERG COUNTY JAIL,Voicemail,false,6144663555,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
SC,1599320398837,CHEROKEE COUNTY JAIL,AdvancedConnect,true,8037342100,$0.000,$2.500,$0.400,$2.500,false,null,$0.000
SC,1599320398837,CHEROKEE COUNTY JAIL,AdvancedConnect,false,3342427100,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
SC,1599320398837,CHEROKEE COUNTY JAIL,Direct Bill,true,8037342100,$0.000,$2.500,$0.400,$2.500,false,null,$0.000
SC,1599320398837,CHEROKEE COUNTY JAIL,Direct Bill,false,3342427100,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
SC,1599320398837,CHEROKEE COUNTY JAIL,Inmate Debit,true,8037342100,$0.000,$2.500,$0.400,$2.500,false,null,$0.000
SC,1599320398837,CHEROKEE COUNTY JAIL,Inmate Debit,false,3342427100,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
SC,1599320398837,CHEROKEE COUNTY JAIL,Traditional Collect,true,8037342100,$0.000,$2.500,$0.400,$2.500,false,null,$0.000
SC,1599320398837,CHEROKEE COUNTY JAIL,Traditional Collect,false,3342427100,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
SC,1599320398837,CHEROKEE COUNTY JAIL,Voicemail,true,8037342100,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
SC,1599320398837,CHEROKEE COUNTY JAIL,Voicemail,false,3342427100,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
SC,1599320402697,CHESTERFIELD COUNTY DETENTION CENTER,AdvancedConnect,true,8037342100,$0.000,$2.500,$0.400,$2.500,false,null,$0.000
SC,1599320402697,CHESTERFIELD COUNTY DETENTION CENTER,AdvancedConnect,false,8028283333,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
SC,1599320402697,CHESTERFIELD COUNTY DETENTION CENTER,Direct Bill,true,8037342100,$0.000,$2.500,$0.400,$2.500,false,null,$0.000
SC,1599320402697,CHESTERFIELD COUNTY DETENTION CENTER,Direct Bill,false,8028283333,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
SC,1599320402697,CHESTERFIELD COUNTY DETENTION CENTER,Inmate Debit,true,8037342100,$0.000,$2.500,$0.400,$2.500,false,null,$0.000
SC,1599320402697,CHESTERFIELD COUNTY DETENTION CENTER,Inmate Debit,false,8028283333,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
SC,1599320402697,CHESTERFIELD COUNTY DETENTION CENTER,Traditional Collect,true,8037342100,$0.000,$2.500,$0.400,$2.500,false,null,$0.000
SC,1599320402697,CHESTERFIELD COUNTY DETENTION CENTER,Traditional Collect,false,8028283333,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
SC,1599320402697,CHESTERFIELD COUNTY DETENTION CENTER,Voicemail,true,8037342100,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
SC,1599320402697,CHESTERFIELD COUNTY DETENTION CENTER,Voicemail,false,8028283333,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
SC,1599320406717,CHESTERFIELD COUNTY WORK CAMP,AdvancedConnect,true,8037342100,$0.000,$2.500,$0.400,$2.500,false,null,$0.000
SC,1599320406717,CHESTERFIELD COUNTY WORK CAMP,AdvancedConnect,false,3038662471,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
SC,1599320406717,CHESTERFIELD COUNTY WORK CAMP,Direct Bill,true,8037342100,$0.000,$2.500,$0.400,$2.500,false,null,$0.000
SC,1599320406717,CHESTERFIELD COUNTY WORK CAMP,Direct Bill,false,3038662471,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
SC,1599320406717,CHESTERFIELD COUNTY WORK CAMP,Inmate Debit,true,8037342100,$0.000,$2.500,$0.400,$2.500,false,null,$0.000
SC,1599320406717,CHESTERFIELD COUNTY WORK CAMP,Inmate Debit,false,3038662471,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
SC,1599320406717,CHESTERFIELD COUNTY WORK CAMP,Traditional Collect,true,8037342100,$0.000,$2.500,$0.400,$2.500,false,null,$0.000
SC,1599320406717,CHESTERFIELD COUNTY WORK CAMP,Traditional Collect,false,3038662471,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
SC,1599320406717,CHESTERFIELD COUNTY WORK CAMP,Voicemail,true,8037342100,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
SC,1599320406717,CHESTERFIELD COUNTY WORK CAMP,Voicemail,false,3038662471,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
SC,1599320410523,CLARENDON COUNTY JAIL,AdvancedConnect,true,8037342100,$0.000,$1.250,$0.275,$1.250,false,null,$0.000
SC,1599320410523,CLARENDON COUNTY JAIL,AdvancedConnect,false,9165883160,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
SC,1599320410523,CLARENDON COUNTY JAIL,Direct Bill,true,8037342100,$0.000,$1.250,$0.275,$1.250,false,null,$0.000
SC,1599320410523,CLARENDON COUNTY JAIL,Direct Bill,false,9165883160,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
SC,1599320410523,CLARENDON COUNTY JAIL,Inmate Debit,true,8037342100,$0.000,$1.250,$0.275,$1.250,false,null,$0.000
SC,1599320410523,CLARENDON COUNTY JAIL,Inmate Debit,false,9165883160,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
SC,1599320410523,CLARENDON COUNTY JAIL,Traditional Collect,true,8037342100,$0.000,$1.250,$0.275,$1.250,false,null,$0.000
SC,1599320410523,CLARENDON COUNTY JAIL,Traditional Collect,false,9165883160,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
SC,1599320410523,CLARENDON COUNTY JAIL,Voicemail,true,8037342100,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
SC,1599320410523,CLARENDON COUNTY JAIL,Voicemail,false,9165883160,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
SC,1599320414632,DILLON COUNTY DETENTION CENTER,AdvancedConnect,true,8037342100,$0.000,$2.500,$0.400,$2.500,false,null,$0.000
SC,1599320414632,DILLON COUNTY DETENTION CENTER,AdvancedConnect,false,3045882000,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
SC,1599320414632,DILLON COUNTY DETENTION CENTER,Direct Bill,true,8037342100,$0.000,$2.500,$0.400,$2.500,false,null,$0.000
SC,1599320414632,DILLON COUNTY DETENTION CENTER,Direct Bill,false,3045882000,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
SC,1599320414632,DILLON COUNTY DETENTION CENTER,Inmate Debit,true,8037342100,$0.000,$2.500,$0.400,$2.500,false,null,$0.000
SC,1599320414632,DILLON COUNTY DETENTION CENTER,Inmate Debit,false,3045882000,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
SC,1599320414632,DILLON COUNTY DETENTION CENTER,Traditional Collect,true,8037342100,$0.000,$2.500,$0.400,$2.500,false,null,$0.000
SC,1599320414632,DILLON COUNTY DETENTION CENTER,Traditional Collect,false,3045882000,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
SC,1599320414632,DILLON COUNTY DETENTION CENTER,Voicemail,true,8037342100,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
SC,1599320414632,DILLON COUNTY DETENTION CENTER,Voicemail,false,3045882000,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
