state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
SD,1599320509698,CODINGTON COUNTY JAIL,AdvancedConnect,true,6057333212,$0.000,$3.470,$0.470,$3.470,false,null,$0.000
SD,1599320509698,CODINGTON COUNTY JAIL,AdvancedConnect,false,5184748390,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
SD,1599320509698,CODINGTON COUNTY JAIL,Direct Bill,true,6057333212,$0.000,$3.470,$0.470,$3.470,false,null,$0.000
SD,1599320509698,CODINGTON COUNTY JAIL,Direct Bill,false,5184748390,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
SD,1599320509698,CODINGTON COUNTY JAIL,Inmate Debit,true,6057333212,$0.000,$3.470,$0.470,$3.470,false,null,$0.000
SD,1599320509698,CODINGTON COUNTY JAIL,Inmate Debit,false,5184748390,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
SD,1599320509698,CODINGTON COUNTY JAIL,Traditional Collect,true,6057333212,$0.000,$3.470,$0.470,$3.470,false,null,$0.000
SD,1599320509698,CODINGTON COUNTY JAIL,Traditional Collect,false,5184748390,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
SD,1599320509698,CODINGTON COUNTY JAIL,Voicemail,true,6057333212,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
SD,1599320509698,CODINGTON COUNTY JAIL,Voicemail,false,5184748390,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
SD,1599320513675,FALL RIVER COUNTY JAIL,AdvancedConnect,true,6057333212,$0.000,$2.851,$0.351,$2.860,false,null,$0.000
SD,1599320513675,FALL RIVER COUNTY JAIL,AdvancedConnect,false,4046561776,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
SD,1599320513675,FALL RIVER COUNTY JAIL,Direct Bill,true,6057333212,$0.000,$2.851,$0.351,$2.860,false,null,$0.000
SD,1599320513675,FALL RIVER COUNTY JAIL,Direct Bill,false,4046561776,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
SD,1599320513675,FALL RIVER COUNTY JAIL,Inmate Debit,true,6057333212,$0.000,$2.851,$0.351,$2.860,false,null,$0.000
SD,1599320513675,FALL RIVER COUNTY JAIL,Inmate Debit,false,4046561776,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
SD,1599320513675,FALL RIVER COUNTY JAIL,Traditional Collect,true,6057333212,$0.000,$2.851,$0.351,$2.860,false,null,$0.000
SD,1599320513675,FALL RIVER COUNTY JAIL,Traditional Collect,false,4046561776,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
SD,1599320513675,FALL RIVER COUNTY JAIL,Voicemail,true,6057333212,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
SD,1599320513675,FALL RIVER COUNTY JAIL,Voicemail,false,4046561776,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
SD,1599320517459,PENNINGTON COUNTY JAIL,AdvancedConnect,true,6057333212,$0.000,$0.280,$0.280,$0.280,false,null,$0.000
SD,1599320517459,PENNINGTON COUNTY JAIL,AdvancedConnect,false,8037342100,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
SD,1599320517459,PENNINGTON COUNTY JAIL,Direct Bill,true,6057333212,$0.000,$0.280,$0.280,$0.280,false,null,$0.000
SD,1599320517459,PENNINGTON COUNTY JAIL,Direct Bill,false,8037342100,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
SD,1599320517459,PENNINGTON COUNTY JAIL,Inmate Debit,true,6057333212,$0.000,$0.280,$0.280,$0.280,false,null,$0.000
SD,1599320517459,PENNINGTON COUNTY JAIL,Inmate Debit,false,8037342100,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
SD,1599320517459,PENNINGTON COUNTY JAIL,Traditional Collect,true,6057333212,$0.000,$0.280,$0.280,$0.280,false,null,$0.000
SD,1599320517459,PENNINGTON COUNTY JAIL,Traditional Collect,false,8037342100,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
SD,1599320517459,PENNINGTON COUNTY JAIL,Voicemail,true,6057333212,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
SD,1599320517459,PENNINGTON COUNTY JAIL,Voicemail,false,8037342100,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
SD,1599320523026,PENNINGTON COUNTY JUVENILE,AdvancedConnect,true,6057333212,$0.000,$0.280,$0.280,$0.280,false,null,$0.000
SD,1599320523026,PENNINGTON COUNTY JUVENILE,AdvancedConnect,false,3027444101,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
SD,1599320523026,PENNINGTON COUNTY JUVENILE,Direct Bill,true,6057333212,$0.000,$0.280,$0.280,$0.280,false,null,$0.000
SD,1599320523026,PENNINGTON COUNTY JUVENILE,Direct Bill,false,3027444101,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
SD,1599320523026,PENNINGTON COUNTY JUVENILE,Inmate Debit,true,6057333212,$0.000,$0.280,$0.280,$0.280,false,null,$0.000
SD,1599320523026,PENNINGTON COUNTY JUVENILE,Inmate Debit,false,3027444101,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
SD,1599320523026,PENNINGTON COUNTY JUVENILE,Traditional Collect,true,6057333212,$0.000,$0.280,$0.280,$0.280,false,null,$0.000
SD,1599320523026,PENNINGTON COUNTY JUVENILE,Traditional Collect,false,3027444101,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
SD,1599320523026,PENNINGTON COUNTY JUVENILE,Voicemail,true,6057333212,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
SD,1599320523026,PENNINGTON COUNTY JUVENILE,Voicemail,false,3027444101,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
SD,1599320533365,PENNINGTON COUNTY SHERIFFS OFFICE-ATTORNEY,AdvancedConnect,true,6057333212,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
SD,1599320533365,PENNINGTON COUNTY SHERIFFS OFFICE-ATTORNEY,AdvancedConnect,false,2177820244,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
SD,1599320533365,PENNINGTON COUNTY SHERIFFS OFFICE-ATTORNEY,Direct Bill,true,6057333212,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
SD,1599320533365,PENNINGTON COUNTY SHERIFFS OFFICE-ATTORNEY,Direct Bill,false,2177820244,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
SD,1599320533365,PENNINGTON COUNTY SHERIFFS OFFICE-ATTORNEY,Inmate Debit,true,6057333212,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
SD,1599320533365,PENNINGTON COUNTY SHERIFFS OFFICE-ATTORNEY,Inmate Debit,false,2177820244,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
SD,1599320533365,PENNINGTON COUNTY SHERIFFS OFFICE-ATTORNEY,Traditional Collect,true,6057333212,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
SD,1599320533365,PENNINGTON COUNTY SHERIFFS OFFICE-ATTORNEY,Traditional Collect,false,2177820244,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
SD,1599320533365,PENNINGTON COUNTY SHERIFFS OFFICE-ATTORNEY,Voicemail,true,6057333212,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
SD,1599320533365,PENNINGTON COUNTY SHERIFFS OFFICE-ATTORNEY,Voicemail,false,2177820244,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
