state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
TN,1598746674137,BEDFORD COUNTY JAIL,AdvancedConnect,true,6157412001,$0.000,$0.220,$0.220,$0.220,false,null,$0.000
TN,1598746674137,BEDFORD COUNTY JAIL,AdvancedConnect,false,6512013400,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
TN,1598746674137,BEDFORD COUNTY JAIL,Direct Bill,true,6157412001,$0.000,$0.220,$0.220,$0.220,false,null,$0.000
TN,1598746674137,BEDFORD COUNTY JAIL,Direct Bill,false,6512013400,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
TN,1598746674137,BEDFORD COUNTY JAIL,Inmate Debit,true,6157412001,$0.000,$0.220,$0.220,$0.220,false,null,$0.000
TN,1598746674137,BEDFORD COUNTY JAIL,Inmate Debit,false,6512013400,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
TN,1598746674137,BEDFORD COUNTY JAIL,Traditional Collect,true,6157412001,$0.000,$0.220,$0.220,$0.220,false,null,$0.000
TN,1598746674137,BEDFORD COUNTY JAIL,Traditional Collect,false,6512013400,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
TN,1598746674137,BEDFORD COUNTY JAIL,Voicemail,true,6157412001,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
TN,1598746674137,BEDFORD COUNTY JAIL,Voicemail,false,6512013400,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
TN,1598746678153,BRADLEY COUNTY JAIL,AdvancedConnect,true,6157412001,$0.000,$1.530,$0.130,$1.530,false,null,$0.000
TN,1598746678153,BRADLEY COUNTY JAIL,AdvancedConnect,false,3027444101,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
TN,1598746678153,BRADLEY COUNTY JAIL,Direct Bill,true,6157412001,$0.000,$1.530,$0.130,$1.530,false,null,$0.000
TN,1598746678153,BRADLEY COUNTY JAIL,Direct Bill,false,3027444101,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
TN,1598746678153,BRADLEY COUNTY JAIL,Inmate Debit,true,6157412001,$0.000,$1.530,$0.130,$1.530,false,null,$0.000
TN,1598746678153,BRADLEY COUNTY JAIL,Inmate Debit,false,3027444101,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
TN,1598746678153,BRADLEY COUNTY JAIL,Traditional Collect,true,6157412001,$0.000,$1.530,$0.130,$1.530,false,null,$0.000
TN,1598746678153,BRADLEY COUNTY JAIL,Traditional Collect,false,3027444101,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
TN,1598746678153,BRADLEY COUNTY JAIL,Voicemail,true,6157412001,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
TN,1598746678153,BRADLEY COUNTY JAIL,Voicemail,false,3027444101,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
TN,1598746681924,BRADLEY COUNTY JAIL WORK RELEASE,AdvancedConnect,true,6157412001,$0.000,$1.530,$0.130,$1.530,false,null,$0.000
TN,1598746681924,BRADLEY COUNTY JAIL WORK RELEASE,AdvancedConnect,false,5033784582,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
TN,1598746681924,BRADLEY COUNTY JAIL WORK RELEASE,Direct Bill,true,6157412001,$0.000,$1.530,$0.130,$1.530,false,null,$0.000
TN,1598746681924,BRADLEY COUNTY JAIL WORK RELEASE,Direct Bill,false,5033784582,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
TN,1598746681924,BRADLEY COUNTY JAIL WORK RELEASE,Inmate Debit,true,6157412001,$0.000,$1.530,$0.130,$1.530,false,null,$0.000
TN,1598746681924,BRADLEY COUNTY JAIL WORK RELEASE,Inmate Debit,false,5033784582,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
