state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
TX,1598746871662,ANDREWS COUNTY JAIL,AdvancedConnect,true,5124632000,$0.000,$2.450,$0.010,$2.450,false,null,$0.000
TX,1598746871662,ANDREWS COUNTY JAIL,AdvancedConnect,false,5737513222,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
TX,1598746871662,ANDREWS COUNTY JAIL,Direct Bill,true,5124632000,$0.000,$2.450,$0.010,$2.450,false,null,$0.000
TX,1598746871662,ANDREWS COUNTY JAIL,Direct Bill,false,5737513222,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
TX,1598746871662,ANDREWS COUNTY JAIL,Inmate Debit,true,5124632000,$0.000,$2.450,$0.010,$2.450,false,null,$0.000
TX,1598746871662,ANDREWS COUNTY JAIL,Inmate Debit,false,5737513222,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
TX,1598746871662,ANDREWS COUNTY JAIL,Traditional Collect,true,5124632000,$0.000,$2.450,$0.010,$2.450,false,null,$0.000
TX,1598746871662,ANDREWS COUNTY JAIL,Traditional Collect,false,5737513222,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
TX,1598746871662,ANDREWS COUNTY JAIL,Voicemail,true,5124632000,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
TX,1598746871662,ANDREWS COUNTY JAIL,Voicemail,false,5737513222,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
TX,1598746875486,BASTROP COUNTY JAIL,AdvancedConnect,true,5124632000,$0.000,$3.500,$0.120,$3.500,false,null,$0.000
TX,1598746875486,BASTROP COUNTY JAIL,AdvancedConnect,false,8605664840,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
TX,1598746875486,BASTROP COUNTY JAIL,Direct Bill,true,5124632000,$0.000,$3.500,$0.120,$3.500,false,null,$0.000
TX,1598746875486,BASTROP COUNTY JAIL,Direct Bill,false,8605664840,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
TX,1598746875486,BASTROP COUNTY JAIL,Inmate Debit,true,5124632000,$0.000,$3.500,$0.120,$3.500,false,null,$0.000
TX,1598746875486,BASTROP COUNTY JAIL,Inmate Debit,false,8605664840,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
TX,1598746875486,BASTROP COUNTY JAIL,Traditional Collect,true,5124632000,$0.000,$3.500,$0.120,$3.500,false,null,$0.000
TX,1598746875486,BASTROP COUNTY JAIL,Traditional Collect,false,8605664840,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
TX,1598746875486,BASTROP COUNTY JAIL,Voicemail,true,5124632000,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
TX,1598746875486,BASTROP COUNTY JAIL,Voicemail,false,8605664840,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
TX,1598746879566,BEDFORD CITY POLICE DEPARTMENT,AdvancedConnect,true,5124632000,$0.000,$0.500,$0.500,$0.500,false,null,$0.000
TX,1598746879566,BEDFORD CITY POLICE DEPARTMENT,AdvancedConnect,false,6157412001,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
TX,1598746879566,BEDFORD CITY POLICE DEPARTMENT,Direct Bill,true,5124632000,$0.000,$0.500,$0.500,$0.500,false,null,$0.000
TX,1598746879566,BEDFORD CITY POLICE DEPARTMENT,Direct Bill,false,6157412001,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
TX,1598746879566,BEDFORD CITY POLICE DEPARTMENT,Inmate Debit,true,5124632000,$0.000,$0.500,$0.500,$0.500,false,null,$0.000
TX,1598746879566,BEDFORD CITY POLICE DEPARTMENT,Inmate Debit,false,6157412001,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
TX,1598746879566,BEDFORD CITY POLICE DEPARTMENT,Traditional Collect,true,5124632000,$0.000,$0.500,$0.500,$0.500,false,null,$0.000
TX,1598746879566,BEDFORD CITY POLICE DEPARTMENT,Traditional Collect,false,6157412001,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
TX,1598746879566,BEDFORD CITY POLICE DEPARTMENT,Voicemail,true,5124632000,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
TX,1598746879566,BEDFORD CITY POLICE DEPARTMENT,Voicemail,false,6157412001,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
TX,1598746883781,BELL COUNTY CENTRAL JAIL,AdvancedConnect,true,5124632000,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
TX,1598746883781,BELL COUNTY CENTRAL JAIL,AdvancedConnect,false,4109743901,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
TX,1598746883781,BELL COUNTY CENTRAL JAIL,Direct Bill,true,5124632000,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
TX,1598746883781,BELL COUNTY CENTRAL JAIL,Direct Bill,false,4109743901,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
TX,1598746883781,BELL COUNTY CENTRAL JAIL,Inmate Debit,true,5124632000,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
TX,1598746883781,BELL COUNTY CENTRAL JAIL,Inmate Debit,false,4109743901,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
TX,1598746883781,BELL COUNTY CENTRAL JAIL,Traditional Collect,true,5124632000,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
TX,1598746883781,BELL COUNTY CENTRAL JAIL,Traditional Collect,false,4109743901,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
TX,1598746883781,BELL COUNTY CENTRAL JAIL,Voicemail,true,5124632000,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
TX,1598746883781,BELL COUNTY CENTRAL JAIL,Voicemail,false,4109743901,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
TX,1598746889745,BELL COUNTY LOOP JAIL,AdvancedConnect,true,5124632000,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
TX,1598746889745,BELL COUNTY LOOP JAIL,AdvancedConnect,false,2253427015,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
TX,1598746889745,BELL COUNTY LOOP JAIL,Direct Bill,true,5124632000,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
TX,1598746889745,BELL COUNTY LOOP JAIL,Direct Bill,false,2253427015,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
TX,1598746889745,BELL COUNTY LOOP JAIL,Inmate Debit,true,5124632000,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
TX,1598746889745,BELL COUNTY LOOP JAIL,Inmate Debit,false,2253427015,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
TX,1598746889745,BELL COUNTY LOOP JAIL,Traditional Collect,true,5124632000,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
TX,1598746889745,BELL COUNTY LOOP JAIL,Traditional Collect,false,2253427015,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
TX,1598746889745,BELL COUNTY LOOP JAIL,Voicemail,true,5124632000,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
TX,1598746889745,BELL COUNTY LOOP JAIL,Voicemail,false,2253427015,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
TX,1598746893472,BRAZORIA COUNTY SHERIFF'S DEPT JAIL,AdvancedConnect,true,5124632000,$0.000,$4.159,$0.641,$4.160,false,null,$0.000
TX,1598746893472,BRAZORIA COUNTY SHERIFF'S DEPT JAIL,AdvancedConnect,false,3038662471,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
TX,1598746893472,BRAZORIA COUNTY SHERIFF'S DEPT JAIL,Direct Bill,true,5124632000,$0.000,$4.159,$0.641,$4.160,false,null,$0.000
TX,1598746893472,BRAZORIA COUNTY SHERIFF'S DEPT JAIL,Direct Bill,false,3038662471,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
TX,1598746893472,BRAZORIA COUNTY SHERIFF'S DEPT JAIL,Inmate Debit,true,5124632000,$0.000,$4.159,$0.641,$4.160,false,null,$0.000
TX,1598746893472,BRAZORIA COUNTY SHERIFF'S DEPT JAIL,Inmate Debit,false,3038662471,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
TX,1598746893472,BRAZORIA COUNTY SHERIFF'S DEPT JAIL,Traditional Collect,true,5124632000,$0.000,$4.159,$0.641,$4.160,false,null,$0.000
TX,1598746893472,BRAZORIA COUNTY SHERIFF'S DEPT JAIL,Traditional Collect,false,3038662471,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
TX,1598746893472,BRAZORIA COUNTY SHERIFF'S DEPT JAIL,Voicemail,true,5124632000,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
TX,1598746893472,BRAZORIA COUNTY SHERIFF'S DEPT JAIL,Voicemail,false,3038662471,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
TX,1598746897737,BURLESON COUNTY JAIL,AdvancedConnect,true,5124632000,$0.000,$3.982,$0.465,$3.990,false,null,$0.000
TX,1598746897737,BURLESON COUNTY JAIL,AdvancedConnect,false,3045882000,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
TX,1598746897737,BURLESON COUNTY JAIL,Direct Bill,true,5124632000,$0.000,$3.982,$0.465,$3.990,false,null,$0.000
TX,1598746897737,BURLESON COUNTY JAIL,Direct Bill,false,3045882000,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
TX,1598746897737,BURLESON COUNTY JAIL,Inmate Debit,true,5124632000,$0.000,$3.982,$0.465,$3.990,false,null,$0.000
TX,1598746897737,BURLESON COUNTY JAIL,Inmate Debit,false,3045882000,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
TX,1598746897737,BURLESON COUNTY JAIL,Traditional Collect,true,5124632000,$0.000,$3.982,$0.465,$3.990,false,null,$0.000
TX,1598746897737,BURLESON COUNTY JAIL,Traditional Collect,false,3045882000,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
