state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
UT,1599321586267,BEAVER COUNTY JAIL,AdvancedConnect,true,8015381000,$0.000,$0.400,$0.400,$0.400,false,null,$0.000
UT,1599321586267,BEAVER COUNTY JAIL,AdvancedConnect,false,6032712121,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
UT,1599321586267,BEAVER COUNTY JAIL,Direct Bill,true,8015381000,$0.000,$0.400,$0.400,$0.400,false,null,$0.000
UT,1599321586267,BEAVER COUNTY JAIL,Direct Bill,false,6032712121,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
UT,1599321586267,BEAVER COUNTY JAIL,Inmate Debit,true,8015381000,$0.000,$0.400,$0.400,$0.400,false,null,$0.000
UT,1599321586267,BEAVER COUNTY JAIL,Inmate Debit,false,6032712121,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
UT,1599321586267,BEAVER COUNTY JAIL,Traditional Collect,true,8015381000,$0.000,$0.400,$0.400,$0.400,false,null,$0.000
UT,1599321586267,BEAVER COUNTY JAIL,Traditional Collect,false,6032712121,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
UT,1599321586267,BEAVER COUNTY JAIL,Voicemail,true,8015381000,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
UT,1599321586267,BEAVER COUNTY JAIL,Voicemail,false,6032712121,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
UT,1599321590146,CACHE COUNTY JAIL,AdvancedConnect,true,8015381000,$0.000,$0.260,$0.260,$0.260,false,null,$0.000
UT,1599321590146,CACHE COUNTY JAIL,AdvancedConnect,false,3027444101,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
UT,1599321590146,CACHE COUNTY JAIL,Direct Bill,true,8015381000,$0.000,$0.260,$0.260,$0.260,false,null,$0.000
UT,1599321590146,CACHE COUNTY JAIL,Direct Bill,false,3027444101,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
UT,1599321590146,CACHE COUNTY JAIL,Inmate Debit,true,8015381000,$0.000,$0.260,$0.260,$0.260,false,null,$0.000
UT,1599321590146,CACHE COUNTY JAIL,Inmate Debit,false,3027444101,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
UT,1599321590146,CACHE COUNTY JAIL,Traditional Collect,true,8015381000,$0.000,$0.260,$0.260,$0.260,false,null,$0.000
UT,1599321590146,CACHE COUNTY JAIL,Traditional Collect,false,3027444101,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
UT,1599321590146,CACHE COUNTY JAIL,Voicemail,true,8015381000,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
UT,1599321590146,CACHE COUNTY JAIL,Voicemail,false,3027444101,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
UT,1599321593939,DAVIS COUNTY JAIL,AdvancedConnect,true,8015381000,$0.000,$0.100,$0.100,$0.100,false,null,$0.000
UT,1599321593939,DAVIS COUNTY JAIL,AdvancedConnect,false,3077777434,$0.000,$0.100,$0.100,$0.100,false,null,$0.000
UT,1599321593939,DAVIS COUNTY JAIL,Direct Bill,true,8015381000,$0.000,$0.100,$0.100,$0.100,false,null,$0.000
UT,1599321593939,DAVIS COUNTY JAIL,Direct Bill,false,3077777434,$0.000,$0.100,$0.100,$0.100,false,null,$0.000
UT,1599321593939,DAVIS COUNTY JAIL,Inmate Debit,true,8015381000,$0.000,$0.100,$0.100,$0.100,false,null,$0.000
UT,1599321593939,DAVIS COUNTY JAIL,Inmate Debit,false,3077777434,$0.000,$0.100,$0.100,$0.100,false,null,$0.000
UT,1599321593939,DAVIS COUNTY JAIL,Traditional Collect,true,8015381000,$0.000,$0.100,$0.100,$0.100,false,null,$0.000
UT,1599321593939,DAVIS COUNTY JAIL,Traditional Collect,false,3077777434,$0.000,$0.100,$0.100,$0.100,false,null,$0.000
UT,1599321593939,DAVIS COUNTY JAIL,Voicemail,true,8015381000,$0.000,$0.100,$0.100,$0.100,false,null,$0.000
UT,1599321593939,DAVIS COUNTY JAIL,Voicemail,false,3077777434,$0.000,$0.100,$0.100,$0.100,false,null,$0.000
UT,1599321600293,DAVIS COUNTY WORK CENTER,AdvancedConnect,true,8015381000,$0.000,$0.100,$0.100,$0.100,false,null,$0.000
UT,1599321600293,DAVIS COUNTY WORK CENTER,AdvancedConnect,false,6082661212,$0.000,$0.100,$0.100,$0.100,false,null,$0.000
UT,1599321600293,DAVIS COUNTY WORK CENTER,Direct Bill,true,8015381000,$0.000,$0.100,$0.100,$0.100,false,null,$0.000
UT,1599321600293,DAVIS COUNTY WORK CENTER,Direct Bill,false,6082661212,$0.000,$0.100,$0.100,$0.100,false,null,$0.000
UT,1599321600293,DAVIS COUNTY WORK CENTER,Inmate Debit,true,8015381000,$0.000,$0.100,$0.100,$0.100,false,null,$0.000
UT,1599321600293,DAVIS COUNTY WORK CENTER,Inmate Debit,false,6082661212,$0.000,$0.100,$0.100,$0.100,false,null,$0.000
UT,1599321600293,DAVIS COUNTY WORK CENTER,Traditional Collect,true,8015381000,$0.000,$0.100,$0.100,$0.100,false,null,$0.000
UT,1599321600293,DAVIS COUNTY WORK CENTER,Traditional Collect,false,6082661212,$0.000,$0.100,$0.100,$0.100,false,null,$0.000
UT,1599321600293,DAVIS COUNTY WORK CENTER,Voicemail,true,8015381000,$0.000,$0.100,$0.100,$0.100,false,null,$0.000
UT,1599321600293,DAVIS COUNTY WORK CENTER,Voicemail,false,6082661212,$0.000,$0.100,$0.100,$0.100,false,null,$0.000
UT,1599321604470,EMERY COUNTY JAIL,AdvancedConnect,true,8015381000,$0.000,$3.300,$0.300,$3.300,false,null,$0.000
UT,1599321604470,EMERY COUNTY JAIL,AdvancedConnect,false,4109743901,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
UT,1599321604470,EMERY COUNTY JAIL,Direct Bill,true,8015381000,$0.000,$3.300,$0.300,$3.300,false,null,$0.000
UT,1599321604470,EMERY COUNTY JAIL,Direct Bill,false,4109743901,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
UT,1599321604470,EMERY COUNTY JAIL,Inmate Debit,true,8015381000,$0.000,$2.500,$0.500,$2.500,false,null,$0.000
UT,1599321604470,EMERY COUNTY JAIL,Inmate Debit,false,4109743901,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
UT,1599321604470,EMERY COUNTY JAIL,Traditional Collect,true,8015381000,$0.000,$3.300,$0.300,$3.300,false,null,$0.000
UT,1599321604470,EMERY COUNTY JAIL,Traditional Collect,false,4109743901,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
UT,1599321604470,EMERY COUNTY JAIL,Voicemail,true,8015381000,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
UT,1599321604470,EMERY COUNTY JAIL,Voicemail,false,4109743901,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
UT,1599321608535,GARFIELD COUNTY JAIL,AdvancedConnect,true,8015381000,$0.000,$3.470,$0.470,$3.470,false,null,$0.000
UT,1599321608535,GARFIELD COUNTY JAIL,AdvancedConnect,false,8037342100,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
UT,1599321608535,GARFIELD COUNTY JAIL,Direct Bill,true,8015381000,$0.000,$3.470,$0.470,$3.470,false,null,$0.000
