state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
VA,1598747829212,ACCOMACK COUNTY JAIL,AdvancedConnect,true,8047862211,$0.000,$0.350,$0.350,$0.350,false,null,$0.000
VA,1598747829212,ACCOMACK COUNTY JAIL,AdvancedConnect,false,2253427015,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
VA,1598747829212,ACCOMACK COUNTY JAIL,Direct Bill,true,8047862211,$0.000,$0.350,$0.350,$0.350,false,null,$0.000
VA,1598747829212,ACCOMACK COUNTY JAIL,Direct Bill,false,2253427015,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
VA,1598747829212,ACCOMACK COUNTY JAIL,Inmate Debit,true,8047862211,$0.000,$0.350,$0.350,$0.350,false,null,$0.000
VA,1598747829212,ACCOMACK COUNTY JAIL,Inmate Debit,false,2253427015,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
VA,1598747829212,ACCOMACK COUNTY JAIL,Traditional Collect,true,8047862211,$0.000,$0.350,$0.350,$0.350,false,null,$0.000
VA,1598747829212,ACCOMACK COUNTY JAIL,Traditional Collect,false,2253427015,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
VA,1598747829212,ACCOMACK COUNTY JAIL,Voicemail,true,8047862211,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
VA,1598747829212,ACCOMACK COUNTY JAIL,Voicemail,false,2253427015,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
VA,1598747833062,ALEXANDRIA DETENTION CENTER,AdvancedConnect,true,8047862211,$0.000,$0.200,$0.200,$0.200,false,null,$0.000
VA,1598747833062,ALEXANDRIA DETENTION CENTER,AdvancedConnect,false,6025424331,$0.000,$0.200,$0.200,$0.200,false,null,$0.000
VA,1598747833062,ALEXANDRIA DETENTION CENTER,Direct Bill,true,8047862211,$0.000,$0.200,$0.200,$0.200,false,null,$0.000
VA,1598747833062,ALEXANDRIA DETENTION CENTER,Direct Bill,false,6025424331,$0.000,$0.200,$0.200,$0.200,false,null,$0.000
VA,1598747833062,ALEXANDRIA DETENTION CENTER,Inmate Debit,true,8047862211,$0.000,$0.200,$0.200,$0.200,false,null,$0.000
VA,1598747833062,ALEXANDRIA DETENTION CENTER,Inmate Debit,false,6025424331,$0.000,$0.200,$0.200,$0.200,false,null,$0.000
VA,1598747833062,ALEXANDRIA DETENTION CENTER,Traditional Collect,true,8047862211,$0.000,$0.200,$0.200,$0.200,false,null,$0.000
VA,1598747833062,ALEXANDRIA DETENTION CENTER,Traditional Collect,false,6025424331,$0.000,$0.200,$0.200,$0.200,false,null,$0.000
VA,1598747833062,ALEXANDRIA DETENTION CENTER,Voicemail,true,8047862211,$0.000,$0.200,$0.200,$0.200,false,null,$0.000
VA,1598747833062,ALEXANDRIA DETENTION CENTER,Voicemail,false,6025424331,$0.000,$0.200,$0.200,$0.200,false,null,$0.000
VA,1598747838186,BOTETOURT-CRAIG COUNTIES PUBLIC SAFETY FACILITY,AdvancedConnect,true,8047862211,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
VA,1598747838186,BOTETOURT-CRAIG COUNTIES PUBLIC SAFETY FACILITY,AdvancedConnect,false,2253427015,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
VA,1598747838186,BOTETOURT-CRAIG COUNTIES PUBLIC SAFETY FACILITY,Direct Bill,true,8047862211,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
VA,1598747838186,BOTETOURT-CRAIG COUNTIES PUBLIC SAFETY FACILITY,Direct Bill,false,2253427015,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
VA,1598747838186,BOTETOURT-CRAIG COUNTIES PUBLIC SAFETY FACILITY,Inmate Debit,true,8047862211,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
VA,1598747838186,BOTETOURT-CRAIG COUNTIES PUBLIC SAFETY FACILITY,Inmate Debit,false,2253427015,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
VA,1598747838186,BOTETOURT-CRAIG COUNTIES PUBLIC SAFETY FACILITY,Traditional Collect,true,8047862211,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
VA,1598747838186,BOTETOURT-CRAIG COUNTIES PUBLIC SAFETY FACILITY,Traditional Collect,false,2253427015,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
VA,1598747838186,BOTETOURT-CRAIG COUNTIES PUBLIC SAFETY FACILITY,Voicemail,true,8047862211,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
