state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
WA,1598747958205,ABERDEEN POLICE DEPT,AdvancedConnect,true,3609024111,$0.000,$2.600,$0.350,$2.600,false,null,$0.000
WA,1598747958205,ABERDEEN POLICE DEPT,AdvancedConnect,false,6177254005,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WA,1598747958205,ABERDEEN POLICE DEPT,Direct Bill,true,3609024111,$0.000,$2.600,$0.350,$2.600,false,null,$0.000
WA,1598747958205,ABERDEEN POLICE DEPT,Direct Bill,false,6177254005,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WA,1598747958205,ABERDEEN POLICE DEPT,Inmate Debit,true,3609024111,$0.000,$2.600,$0.350,$2.600,false,null,$0.000
WA,1598747958205,ABERDEEN POLICE DEPT,Inmate Debit,false,6177254005,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WA,1598747958205,ABERDEEN POLICE DEPT,Traditional Collect,true,3609024111,$0.000,$2.600,$0.350,$2.600,false,null,$0.000
WA,1598747958205,ABERDEEN POLICE DEPT,Traditional Collect,false,6177254005,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WA,1598747958205,ABERDEEN POLICE DEPT,Voicemail,true,3609024111,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
WA,1598747958205,ABERDEEN POLICE DEPT,Voicemail,false,6177254005,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
WA,1598747962117,CHILDREN AND FAMILY JUSTICE CENTER - CFJC,AdvancedConnect,true,3609024111,$0.000,$0.130,$0.130,$0.130,false,null,$0.000
WA,1598747962117,CHILDREN AND FAMILY JUSTICE CENTER - CFJC,AdvancedConnect,false,5737513222,$0.000,$0.130,$0.130,$0.130,false,null,$0.000
WA,1598747962117,CHILDREN AND FAMILY JUSTICE CENTER - CFJC,Direct Bill,true,3609024111,$0.000,$2.100,$0.100,$2.100,false,null,$0.000
WA,1598747962117,CHILDREN AND FAMILY JUSTICE CENTER - CFJC,Direct Bill,false,5737513222,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WA,1598747962117,CHILDREN AND FAMILY JUSTICE CENTER - CFJC,Inmate Debit,true,3609024111,$0.000,$0.130,$0.130,$0.130,false,null,$0.000
WA,1598747962117,CHILDREN AND FAMILY JUSTICE CENTER - CFJC,Inmate Debit,false,5737513222,$0.000,$0.130,$0.130,$0.130,false,null,$0.000
WA,1598747962117,CHILDREN AND FAMILY JUSTICE CENTER - CFJC,Traditional Collect,true,3609024111,$0.000,$2.100,$0.100,$2.100,false,null,$0.000
WA,1598747962117,CHILDREN AND FAMILY JUSTICE CENTER - CFJC,Traditional Collect,false,5737513222,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WA,1598747962117,CHILDREN AND FAMILY JUSTICE CENTER - CFJC,Voicemail,true,3609024111,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
WA,1598747962117,CHILDREN AND FAMILY JUSTICE CENTER - CFJC,Voicemail,false,5737513222,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
WA,1598747969911,CLALLAM COUNTY JUVENILE,AdvancedConnect,true,3609024111,$0.000,$2.050,$0.300,$2.050,false,null,$0.000
WA,1598747969911,CLALLAM COUNTY JUVENILE,AdvancedConnect,false,6057333212,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WA,1598747969911,CLALLAM COUNTY JUVENILE,Direct Bill,true,3609024111,$0.000,$2.050,$0.300,$2.050,false,null,$0.000
WA,1598747969911,CLALLAM COUNTY JUVENILE,Direct Bill,false,6057333212,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WA,1598747969911,CLALLAM COUNTY JUVENILE,Inmate Debit,true,3609024111,$0.000,$2.050,$0.300,$2.050,false,null,$0.000
WA,1598747969911,CLALLAM COUNTY JUVENILE,Inmate Debit,false,6057333212,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WA,1598747969911,CLALLAM COUNTY JUVENILE,Traditional Collect,true,3609024111,$0.000,$2.050,$0.300,$2.050,false,null,$0.000
WA,1598747969911,CLALLAM COUNTY JUVENILE,Traditional Collect,false,6057333212,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WA,1598747969911,CLALLAM COUNTY JUVENILE,Voicemail,true,3609024111,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
WA,1598747969911,CLALLAM COUNTY JUVENILE,Voicemail,false,6057333212,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
WA,1598747974065,COWLITZ COUNTY JAIL,AdvancedConnect,true,3609024111,$0.000,$4.590,$0.640,$4.590,false,null,$0.000
WA,1598747974065,COWLITZ COUNTY JAIL,AdvancedConnect,false,6082661212,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WA,1598747974065,COWLITZ COUNTY JAIL,Direct Bill,true,3609024111,$0.000,$4.590,$0.640,$4.590,false,null,$0.000
WA,1598747974065,COWLITZ COUNTY JAIL,Direct Bill,false,6082661212,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WA,1598747974065,COWLITZ COUNTY JAIL,Inmate Debit,true,3609024111,$0.000,$4.590,$0.640,$4.590,false,null,$0.000
WA,1598747974065,COWLITZ COUNTY JAIL,Inmate Debit,false,6082661212,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WA,1598747974065,COWLITZ COUNTY JAIL,Traditional Collect,true,3609024111,$0.000,$4.590,$0.640,$4.590,false,null,$0.000
WA,1598747974065,COWLITZ COUNTY JAIL,Traditional Collect,false,6082661212,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WA,1598747974065,COWLITZ COUNTY JAIL,Voicemail,true,3609024111,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
WA,1598747974065,COWLITZ COUNTY JAIL,Voicemail,false,6082661212,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
WA,1598747978351,COWLITZ COUNTY JUVENILE FACILITY,AdvancedConnect,true,3609024111,$0.000,$2.600,$0.350,$2.600,false,null,$0.000
WA,1598747978351,COWLITZ COUNTY JUVENILE FACILITY,AdvancedConnect,false,8605664840,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WA,1598747978351,COWLITZ COUNTY JUVENILE FACILITY,Direct Bill,true,3609024111,$0.000,$2.600,$0.350,$2.600,false,null,$0.000
