state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
WI,1598748053608,ADAMS COUNTY JAIL,AdvancedConnect,true,6082661212,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WI,1598748053608,ADAMS COUNTY JAIL,AdvancedConnect,false,9074653500,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WI,1598748053608,ADAMS COUNTY JAIL,Direct Bill,true,6082661212,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WI,1598748053608,ADAMS COUNTY JAIL,Direct Bill,false,9074653500,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WI,1598748053608,ADAMS COUNTY JAIL,Inmate Debit,true,6082661212,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WI,1598748053608,ADAMS COUNTY JAIL,Inmate Debit,false,9074653500,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WI,1598748053608,ADAMS COUNTY JAIL,Traditional Collect,true,6082661212,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WI,1598748053608,ADAMS COUNTY JAIL,Traditional Collect,false,9074653500,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WI,1598748053608,ADAMS COUNTY JAIL,Voicemail,true,6082661212,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
WI,1598748053608,ADAMS COUNTY JAIL,Voicemail,false,9074653500,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
WI,1598748057312,BARRON COUNTY SHERIFF DEPT,AdvancedConnect,true,6082661212,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WI,1598748057312,BARRON COUNTY SHERIFF DEPT,AdvancedConnect,false,4024712244,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WI,1598748057312,BARRON COUNTY SHERIFF DEPT,Direct Bill,true,6082661212,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WI,1598748057312,BARRON COUNTY SHERIFF DEPT,Direct Bill,false,4024712244,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WI,1598748057312,BARRON COUNTY SHERIFF DEPT,Inmate Debit,true,6082661212,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WI,1598748057312,BARRON COUNTY SHERIFF DEPT,Inmate Debit,false,4024712244,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WI,1598748057312,BARRON COUNTY SHERIFF DEPT,Traditional Collect,true,6082661212,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
