state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
WV,1599322008555,WV DJS - DONALD KUHN JUVENILE DIAGNOSTIC & DETENTION CENTER,AdvancedConnect,true,3045882000,$0.000,$1.700,$0.370,$1.700,false,null,$0.000
WV,1599322008555,WV DJS - DONALD KUHN JUVENILE DIAGNOSTIC & DETENTION CENTER,AdvancedConnect,false,6144663555,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WV,1599322008555,WV DJS - DONALD KUHN JUVENILE DIAGNOSTIC & DETENTION CENTER,Direct Bill,true,3045882000,$0.000,$1.700,$0.370,$1.700,false,null,$0.000
WV,1599322008555,WV DJS - DONALD KUHN JUVENILE DIAGNOSTIC & DETENTION CENTER,Direct Bill,false,6144663555,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WV,1599322008555,WV DJS - DONALD KUHN JUVENILE DIAGNOSTIC & DETENTION CENTER,Inmate Debit,true,3045882000,$0.000,$1.700,$0.370,$1.700,false,null,$0.000
WV,1599322008555,WV DJS - DONALD KUHN JUVENILE DIAGNOSTIC & DETENTION CENTER,Inmate Debit,false,6144663555,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WV,1599322008555,WV DJS - DONALD KUHN JUVENILE DIAGNOSTIC & DETENTION CENTER,Traditional Collect,true,3045882000,$0.000,$1.700,$0.370,$1.700,false,null,$0.000
WV,1599322008555,WV DJS - DONALD KUHN JUVENILE DIAGNOSTIC & DETENTION CENTER,Traditional Collect,false,6144663555,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WV,1599322008555,WV DJS - DONALD KUHN JUVENILE DIAGNOSTIC & DETENTION CENTER,Voicemail,true,3045882000,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
WV,1599322008555,WV DJS - DONALD KUHN JUVENILE DIAGNOSTIC & DETENTION CENTER,Voicemail,false,6144663555,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
WV,1599322012175,WV DJS - RUBENSTEIN JUVENILE CENTER,AdvancedConnect,true,3045882000,$0.000,$1.700,$0.370,$1.700,false,null,$0.000
WV,1599322012175,WV DJS - RUBENSTEIN JUVENILE CENTER,AdvancedConnect,false,9198142000,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WV,1599322012175,WV DJS - RUBENSTEIN JUVENILE CENTER,Direct Bill,true,3045882000,$0.000,$1.700,$0.370,$1.700,false,null,$0.000
WV,1599322012175,WV DJS - RUBENSTEIN JUVENILE CENTER,Direct Bill,false,9198142000,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WV,1599322012175,WV DJS - RUBENSTEIN JUVENILE CENTER,Inmate Debit,true,3045882000,$0.000,$1.700,$0.370,$1.700,false,null,$0.000
WV,1599322012175,WV DJS - RUBENSTEIN JUVENILE CENTER,Inmate Debit,false,9198142000,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WV,1599322012175,WV DJS - RUBENSTEIN JUVENILE CENTER,Traditional Collect,true,3045882000,$0.000,$1.700,$0.370,$1.700,false,null,$0.000
WV,1599322012175,WV DJS - RUBENSTEIN JUVENILE CENTER,Traditional Collect,false,9198142000,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
