state,date,facility,service,in_state,number,surCharge,initialAmount,additionalAmount,totalAmount,quoteRule,feeName,ratePerMinute
WY,1599322023580,BIG HORN COUNTY DETENTION CENTER,AdvancedConnect,true,3077777434,$0.000,$0.500,$0.500,$0.500,false,null,$0.000
WY,1599322023580,BIG HORN COUNTY DETENTION CENTER,AdvancedConnect,false,8605664840,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WY,1599322023580,BIG HORN COUNTY DETENTION CENTER,Direct Bill,true,3077777434,$0.000,$0.500,$0.500,$0.500,false,null,$0.000
WY,1599322023580,BIG HORN COUNTY DETENTION CENTER,Direct Bill,false,8605664840,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WY,1599322023580,BIG HORN COUNTY DETENTION CENTER,Inmate Debit,true,3077777434,$0.000,$0.500,$0.500,$0.500,false,null,$0.000
WY,1599322023580,BIG HORN COUNTY DETENTION CENTER,Inmate Debit,false,8605664840,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WY,1599322023580,BIG HORN COUNTY DETENTION CENTER,Traditional Collect,true,3077777434,$0.000,$0.500,$0.500,$0.500,false,null,$0.000
WY,1599322023580,BIG HORN COUNTY DETENTION CENTER,Traditional Collect,false,8605664840,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WY,1599322023580,BIG HORN COUNTY DETENTION CENTER,Voicemail,true,3077777434,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
WY,1599322023580,BIG HORN COUNTY DETENTION CENTER,Voicemail,false,8605664840,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
WY,1599322027209,CONVERSE COUNTY DETENTION CENTER (NEW),AdvancedConnect,true,3077777434,$0.000,$3.350,$0.350,$3.350,false,null,$0.000
WY,1599322027209,CONVERSE COUNTY DETENTION CENTER (NEW),AdvancedConnect,false,3045882000,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WY,1599322027209,CONVERSE COUNTY DETENTION CENTER (NEW),Direct Bill,true,3077777434,$0.000,$3.350,$0.350,$3.350,false,null,$0.000
WY,1599322027209,CONVERSE COUNTY DETENTION CENTER (NEW),Direct Bill,false,3045882000,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WY,1599322027209,CONVERSE COUNTY DETENTION CENTER (NEW),Inmate Debit,true,3077777434,$0.000,$3.350,$0.350,$3.350,false,null,$0.000
WY,1599322027209,CONVERSE COUNTY DETENTION CENTER (NEW),Inmate Debit,false,3045882000,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WY,1599322027209,CONVERSE COUNTY DETENTION CENTER (NEW),Traditional Collect,true,3077777434,$0.000,$3.350,$0.350,$3.350,false,null,$0.000
WY,1599322027209,CONVERSE COUNTY DETENTION CENTER (NEW),Traditional Collect,false,3045882000,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WY,1599322027209,CONVERSE COUNTY DETENTION CENTER (NEW),Voicemail,true,3077777434,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
WY,1599322027209,CONVERSE COUNTY DETENTION CENTER (NEW),Voicemail,false,3045882000,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
WY,1599322030850,CROOK COUNTY DETENTION FACILITY,AdvancedConnect,true,3077777434,$0.000,$0.350,$0.350,$0.350,false,null,$0.000
WY,1599322030850,CROOK COUNTY DETENTION FACILITY,AdvancedConnect,false,8028283333,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WY,1599322030850,CROOK COUNTY DETENTION FACILITY,Direct Bill,true,3077777434,$0.000,$0.350,$0.350,$0.350,false,null,$0.000
WY,1599322030850,CROOK COUNTY DETENTION FACILITY,Direct Bill,false,8028283333,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WY,1599322030850,CROOK COUNTY DETENTION FACILITY,Inmate Debit,true,3077777434,$0.000,$0.350,$0.350,$0.350,false,null,$0.000
WY,1599322030850,CROOK COUNTY DETENTION FACILITY,Inmate Debit,false,8028283333,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WY,1599322030850,CROOK COUNTY DETENTION FACILITY,Traditional Collect,true,3077777434,$0.000,$0.350,$0.350,$0.350,false,null,$0.000
WY,1599322030850,CROOK COUNTY DETENTION FACILITY,Traditional Collect,false,8028283333,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WY,1599322030850,CROOK COUNTY DETENTION FACILITY,Voicemail,true,3077777434,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
WY,1599322030850,CROOK COUNTY DETENTION FACILITY,Voicemail,false,8028283333,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
WY,1599322034482,NATRONA COUNTY DETENTION CENTER,AdvancedConnect,true,3077777434,$0.000,$3.050,$0.480,$3.050,false,null,$0.000
WY,1599322034482,NATRONA COUNTY DETENTION CENTER,AdvancedConnect,false,9165883160,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WY,1599322034482,NATRONA COUNTY DETENTION CENTER,Direct Bill,true,3077777434,$0.000,$3.050,$0.480,$3.050,false,null,$0.000
WY,1599322034482,NATRONA COUNTY DETENTION CENTER,Direct Bill,false,9165883160,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WY,1599322034482,NATRONA COUNTY DETENTION CENTER,Inmate Debit,true,3077777434,$0.000,$3.050,$0.480,$3.050,false,null,$0.000
WY,1599322034482,NATRONA COUNTY DETENTION CENTER,Inmate Debit,false,9165883160,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WY,1599322034482,NATRONA COUNTY DETENTION CENTER,Traditional Collect,true,3077777434,$0.000,$3.050,$0.480,$3.050,false,null,$0.000
WY,1599322034482,NATRONA COUNTY DETENTION CENTER,Traditional Collect,false,9165883160,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WY,1599322034482,NATRONA COUNTY DETENTION CENTER,Voicemail,true,3077777434,$0.000,$0.000,$0.000,$0.000,false,null,$0.000
WY,1599322034482,NATRONA COUNTY DETENTION CENTER,Voicemail,false,9165883160,$0.000,$0.750,$0.000,$0.750,false,null,$0.000
WY,1599322038181,NATRONA COUNTY JUVENILE DETENTION CENTER,AdvancedConnect,true,3077777434,$0.000,$1.910,$0.410,$1.910,false,null,$0.000
WY,1599322038181,NATRONA COUNTY JUVENILE DETENTION CENTER,AdvancedConnect,false,8504887146,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
WY,1599322038181,NATRONA COUNTY JUVENILE DETENTION CENTER,Direct Bill,true,3077777434,$0.000,$1.910,$0.410,$1.910,false,null,$0.000
WY,1599322038181,NATRONA COUNTY JUVENILE DETENTION CENTER,Direct Bill,false,8504887146,$0.000,$0.250,$0.250,$0.250,false,null,$0.000
WY,1599322038181,NATRONA COUNTY JUVENILE DETENTION CENTER,Inmate Debit,true,3077777434,$0.000,$1.910,$0.410,$1.910,false,null,$0.000
WY,1599322038181,NATRONA COUNTY JUVENILE DETENTION CENTER,Inmate Debit,false,8504887146,$0.000,$0.210,$0.210,$0.210,false,null,$0.000
